label	group	route	source	status	cds_len	prot_len	n_mismatch	n_stop_masked	n_masked	n_candidates	rejected	note
ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	ITPR1	uniprot	refseq:XM_067303517.1:132-8384	ok	8250	2750	0	0	0	1		
ITPR1_Bos_taurus_Bovine_Q9TU34	ITPR1	uniprot	ena:AAF00613.1	ok	8127	2709	0	0	0	1		
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	ITPR1	uniprot	refseq:XM_030777051.1:30-8114	ok	8082	2694	0	0	0	1		
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	ITPR1	uniprot	refseq:XM_030776257.1:1-8151	ok	8148	2716	0	0	0	1		
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	ITPR1	uniprot	refseq:XM_005166095.7:143-8278	ok	8133	2711	0	0	0	1		
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	ITPR1	uniprot	refseq:XM_073954375.2:143-8149	ok	8004	2668	0	0	0	1		
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	ITPR1	uniprot	refseq:XM_068224410.2:207-8357	ok	8148	2716	0	0	0	1		
ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	ITPR1	uniprot	uniprot->ensembl:ENSGALT00010052735:gallus_gallus	ok	8337	2779	0	0	0	1		
ITPR1_Homo_sapiens_Human_Q14643	ITPR1	uniprot	uniprot->ensembl:ENST00000649015:homo_sapiens	ok	8274	2758	0	0	0	9	uniprot->ensembl:ENST00000357086:homo_sapiens(length_mismatch,2711aa);uniprot->ensembl:ENST00000357086:homo_sapiens(length_mismatch,2711aa);uniprot->ensembl:ENST00000443694:homo_sapiens(length_mismatch,2744aa);uniprot->ensembl:ENST00000443694:homo_sapiens(length_mismatch,2744aa);uniprot->ensembl:ENST00000456211:homo_sapiens(length_mismatch,2696aa);uniprot->ensembl:ENST00000456211:homo_sapiens(length_mismatch,2696aa);uniprot->ensembl:ENST00000648309:homo_sapiens(length_mismatch,2735aa);uniprot->ensembl:ENST00000648309:homo_sapiens(length_mismatch,2735aa)	
ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	ITPR1	uniprot	uniprot->ensembl:ENSLACT00000003598:latimeria_chalumnae	ok	8175	2725	0	0	0	1		
