symbol	accession	family	pfam	pfam_name	present	n_matches
ITPR1	Q14643	ITPR	PF02815	MIR	1	1
ITPR1	Q14643	ITPR	PF08709	Ins145_P3_rec	1	1
ITPR1	Q14643	ITPR	PF01365	RYDR_ITPR	1	2
ITPR1	Q14643	ITPR	PF08454	RIH_assoc	1	1
ITPR1	Q14643	ITPR	PF00520	Ion_trans	1	1
ITPR1	Q14643	ITPR	PF02026	RyR	0	0
ITPR1	Q14643	ITPR	PF06459	RyR_TM4-6	0	0
ITPR1	Q14643	ITPR	PF21119	RyR_jsol	0	0
ITPR1	Q14643	ITPR	PF00622	SPRY	0	0
ITPR2	Q14571	ITPR	PF02815	MIR	1	1
ITPR2	Q14571	ITPR	PF08709	Ins145_P3_rec	1	1
ITPR2	Q14571	ITPR	PF01365	RYDR_ITPR	1	2
ITPR2	Q14571	ITPR	PF08454	RIH_assoc	1	1
ITPR2	Q14571	ITPR	PF00520	Ion_trans	1	1
ITPR2	Q14571	ITPR	PF02026	RyR	0	0
ITPR2	Q14571	ITPR	PF06459	RyR_TM4-6	0	0
ITPR2	Q14571	ITPR	PF21119	RyR_jsol	0	0
ITPR2	Q14571	ITPR	PF00622	SPRY	0	0
ITPR3	Q14573	ITPR	PF02815	MIR	1	1
ITPR3	Q14573	ITPR	PF08709	Ins145_P3_rec	1	1
ITPR3	Q14573	ITPR	PF01365	RYDR_ITPR	1	2
ITPR3	Q14573	ITPR	PF08454	RIH_assoc	1	1
ITPR3	Q14573	ITPR	PF00520	Ion_trans	1	1
ITPR3	Q14573	ITPR	PF02026	RyR	0	0
ITPR3	Q14573	ITPR	PF06459	RyR_TM4-6	0	0
ITPR3	Q14573	ITPR	PF21119	RyR_jsol	0	0
ITPR3	Q14573	ITPR	PF00622	SPRY	0	0
RYR1	P21817	RYR	PF02815	MIR	1	1
RYR1	P21817	RYR	PF08709	Ins145_P3_rec	1	1
RYR1	P21817	RYR	PF01365	RYDR_ITPR	1	2
RYR1	P21817	RYR	PF08454	RIH_assoc	1	1
RYR1	P21817	RYR	PF00520	Ion_trans	1	1
RYR1	P21817	RYR	PF02026	RyR	1	4
RYR1	P21817	RYR	PF06459	RyR_TM4-6	1	1
RYR1	P21817	RYR	PF21119	RyR_jsol	1	1
RYR1	P21817	RYR	PF00622	SPRY	1	3
RYR2	Q92736	RYR	PF02815	MIR	1	1
RYR2	Q92736	RYR	PF08709	Ins145_P3_rec	1	1
RYR2	Q92736	RYR	PF01365	RYDR_ITPR	1	2
RYR2	Q92736	RYR	PF08454	RIH_assoc	1	1
RYR2	Q92736	RYR	PF00520	Ion_trans	1	1
RYR2	Q92736	RYR	PF02026	RyR	1	4
RYR2	Q92736	RYR	PF06459	RyR_TM4-6	1	1
RYR2	Q92736	RYR	PF21119	RyR_jsol	1	1
RYR2	Q92736	RYR	PF00622	SPRY	1	3
RYR3	Q15413	RYR	PF02815	MIR	1	1
RYR3	Q15413	RYR	PF08709	Ins145_P3_rec	1	1
RYR3	Q15413	RYR	PF01365	RYDR_ITPR	1	2
RYR3	Q15413	RYR	PF08454	RIH_assoc	1	1
RYR3	Q15413	RYR	PF00520	Ion_trans	1	1
RYR3	Q15413	RYR	PF02026	RyR	1	4
RYR3	Q15413	RYR	PF06459	RyR_TM4-6	1	1
RYR3	Q15413	RYR	PF21119	RyR_jsol	1	1
RYR3	Q15413	RYR	PF00622	SPRY	1	3
