gene_a	gene_b	symbol_a	symbol_b	duplication_level
ENSG00000176299	ENSG00000186092	OR4M1	OR4F5	Vertebrata
ENSG00000169484	ENSG00000186092	OR4K14	OR4F5	Vertebrata
ENSG00000176253	ENSG00000186092	OR4K13	OR4F5	Vertebrata
ENSG00000184140	ENSG00000186092	OR4F6	OR4F5	Vertebrata
ENSG00000176290	ENSG00000186092	OR4K3	OR4F5	Vertebrata
ENSG00000176299	ENSG00000284733	OR4M1	OR4F29	Vertebrata
ENSG00000169484	ENSG00000284733	OR4K14	OR4F29	Vertebrata
ENSG00000176253	ENSG00000284733	OR4K13	OR4F29	Vertebrata
ENSG00000184140	ENSG00000284733	OR4F6	OR4F29	Vertebrata
ENSG00000176290	ENSG00000284733	OR4K3	OR4F29	Vertebrata
ENSG00000176299	ENSG00000284662	OR4M1	OR4F16	Vertebrata
ENSG00000169484	ENSG00000284662	OR4K14	OR4F16	Vertebrata
ENSG00000176253	ENSG00000284662	OR4K13	OR4F16	Vertebrata
ENSG00000184140	ENSG00000284662	OR4F6	OR4F16	Vertebrata
ENSG00000176290	ENSG00000284662	OR4K3	OR4F16	Vertebrata
ENSG00000187634	ENSG00000203943	SAMD11	SAMD13	Bilateria
ENSG00000187634	ENSG00000198879	SAMD11	SFMBT2	Bilateria
ENSG00000011258	ENSG00000187634	MBTD1	SAMD11	Bilateria
ENSG00000163935	ENSG00000187634	SFMBT1	SAMD11	Bilateria
ENSG00000163376	ENSG00000187961	KBTBD8	KLHL17	Bilateria
ENSG00000179023	ENSG00000187961	KLHDC7A	KLHL17	Bilateria
ENSG00000162413	ENSG00000187961	KLHL21	KLHL17	Bilateria
ENSG00000185909	ENSG00000187961	KLHDC8B	KLHL17	Bilateria
ENSG00000003096	ENSG00000187961	KLHL13	KLHL17	Bilateria
ENSG00000162873	ENSG00000187961	KLHDC8A	KLHL17	Bilateria
ENSG00000117153	ENSG00000187961	KLHL12	KLHL17	Bilateria
ENSG00000087448	ENSG00000187961	KLHL42	KLHL17	Bilateria
