tip	group	paralog	species	taxid	kingdom	phylum	core_n_ref	core_n_covered	core_coverage	core_identity	pore_n_ref	pore_n_covered	pore_coverage	pore_identity	delta_core_minus_pore	in_test	drop_reason	plc_upid	n_pi_plc	plc_status	stratum
ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	ITPR1	ITPR1	Apteryx mantelli (North Island brown kiwi)	2696672	Metazoa	Chordata	304	303	0.9967	0.67	238	238	1.0	0.7311	-0.0611	True		UP001652627	16	present	vertebrate_itpr
ITPR1_Bos_taurus_Bovine_Q9TU34	ITPR1	ITPR1	Bos taurus (Bovine)	9913	Metazoa	Chordata	304	303	0.9967	0.6634	238	238	1.0	0.7143	-0.0509	True		UP000009136	17	present	vertebrate_itpr
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	ITPR1	ITPR1	Chanos chanos (Milkfish) (Mugil chanos)	29144	Metazoa	Chordata	304	303	0.9967	0.6799	238	238	1.0	0.6849	-0.005	True		UP000504632	23	present	vertebrate_itpr
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	ITPR1	ITPR1	Chanos chanos (Milkfish) (Mugil chanos)	29144	Metazoa	Chordata	304	303	0.9967	0.6898	238	238	1.0	0.7101	-0.0203	True		UP000504632	23	present	vertebrate_itpr
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	ITPR1	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	Metazoa	Chordata	304	303	0.9967	0.67	238	238	1.0	0.6681	0.0019	True		UP000000437	21	present	vertebrate_itpr
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	ITPR1	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	Metazoa	Chordata	304	288	0.9474	0.6944	238	238	1.0	0.6681	0.0263	True		UP000000437	21	present	vertebrate_itpr
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	ITPR1	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	Metazoa	Chordata	304	303	0.9967	0.6898	238	238	1.0	0.7059	-0.0161	True		UP000000437	21	present	vertebrate_itpr
ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	ITPR1	ITPR1	Gallus gallus (Chicken)	9031	Metazoa	Chordata	304	303	0.9967	0.6733	238	238	1.0	0.7311	-0.0578	True		UP000000539	16	present	vertebrate_itpr
ITPR1_Homo_sapiens_Human_Q14643	ITPR1	ITPR1	Homo sapiens (Human)	9606	Metazoa	Chordata	304	303	0.9967	0.6634	238	238	1.0	0.7185	-0.0551	True		UP000005640	15	present	vertebrate_itpr
ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	ITPR1	ITPR1	Latimeria chalumnae (Coelacanth)	7897	Metazoa	Chordata	304	303	0.9967	0.6898	238	238	1.0	0.7143	-0.0245	True		UP000008672	17	present	vertebrate_itpr
ITPR1_Mus_musculus_Mouse_P11881	ITPR1	ITPR1	Mus musculus (Mouse)	10090	Metazoa	Chordata	304	303	0.9967	0.6634	238	238	1.0	0.7227	-0.0593	True		UP000000589	15	present	vertebrate_itpr
ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	ITPR1	ITPR1	Podarcis muralis (Wall lizard) (Lacerta muralis)	64176	Metazoa	Chordata	304	303	0.9967	0.6733	238	238	1.0	0.7269	-0.0536	True		UP000472272	18	present	vertebrate_itpr
ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	ITPR1	ITPR1	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	181472	Metazoa	Chordata	304	303	0.9967	0.6832	238	238	1.0	0.7101	-0.0269	True		UP000472267	23	present	vertebrate_itpr
