label	organism	vclass	cell	locus_idx	status	contig	start	end	bait_paralog	annot_gene	n_keys	call	best	best_score	margin	p_null	null_verdict	score_ITPR1	score_ITPR2	score_ITPR3	reason	keys
Albula_goreensis|GCA_022829145.1|ITPR1.0	Albula goreensis	Actinopteri	ITPR1	0	found_annotated	CM040752.1	21878282	21997885	ITPR1	AGOR_G00136570	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Albula_goreensis|GCA_022829145.1|ITPR1.1	Albula goreensis	Actinopteri	ITPR1	1	found_annotated	CM040754.1	22707866	22825293	ITPR1	AGOR_G00158330	0	no_call		0	0	1.0000	no_call	0	0	0	extra locus in a multi-copy cell	
Albula_goreensis|GCA_022829145.1|ITPR2.0	Albula goreensis	Actinopteri	ITPR2	0	found_annotated	CM040765.1	12442000	12537184	ITPR2	AGOR_G00248680	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Albula_goreensis|GCA_022829145.1|ITPR3.0	Albula goreensis	Actinopteri	ITPR3	0	found_annotated	CM040752.1	36425621	36484235	ITPR3	AGOR_G00140750	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Aldrovandia_affinis|GCA_029706075.1|ITPR1.0	Aldrovandia affinis	Actinopteri	ITPR1	0	found_annotated	JAINUG010000031.1	6749355	6889501	ITPR1	AAFF_G00235840	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Aldrovandia_affinis|GCA_029706075.1|ITPR1.1	Aldrovandia affinis	Actinopteri	ITPR1	1	found_annotated	JAINUG010000036.1	4880415	5041120	ITPR1	AAFF_G00263920	0	no_call		0	0	1.0000	no_call	0	0	0	extra locus in a multi-copy cell	
Aldrovandia_affinis|GCA_029706075.1|ITPR2.0	Aldrovandia affinis	Actinopteri	ITPR2	0	found_annotated	JAINUG010000023.1	4888108	5028123	ITPR2	AAFF_G00173100	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Aldrovandia_affinis|GCA_029706075.1|ITPR3.0	Aldrovandia affinis	Actinopteri	ITPR3	0	found_annotated	JAINUG010000229.1	195116	275382	ITPR3	AAFF_G00170730	0	no_call		0	0	1.0000	no_call	0	0	0	no paralog-named annotation at the locus	
Ameca_splendens|GCA_040091285.1|ITPR1.0	Ameca splendens	Actinopteri	ITPR1	0	assembly_gap	JAHRIP010075822.1	974	18862	ITPR1	ITPR1_3	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ameca_splendens|GCA_040091285.1|ITPR1.1	Ameca splendens	Actinopteri	ITPR1	1	assembly_gap	JAHRIP010040266.1	2402	10671	ITPR1	ITPR1_6	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ameca_splendens|GCA_040091285.1|ITPR1.2	Ameca splendens	Actinopteri	ITPR1	2	assembly_gap	JAHRIP010056752.1	959	31082	ITPR1		0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ameca_splendens|GCA_040091285.1|ITPR2.0	Ameca splendens	Actinopteri	ITPR2	0	assembly_gap	JAHRIP010047186.1	4845	35228	ITPR2	ITPR2_1	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ameca_splendens|GCA_040091285.1|ITPR2.1	Ameca splendens	Actinopteri	ITPR2	1	assembly_gap	JAHRIP010076971.1	3515	15150	ITPR2	ITPR2_3	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ameca_splendens|GCA_040091285.1|ITPR2.2	Ameca splendens	Actinopteri	ITPR2	2	assembly_gap	JAHRIP010084820.1	402	28164	ITPR2	ITPR2_2	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ameca_splendens|GCA_040091285.1|ITPR3.0	Ameca splendens	Actinopteri	ITPR3	0	assembly_gap	JAHRIP010029351.1	928	20580	ITPR3	ITPR3_3	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ameca_splendens|GCA_040091285.1|ITPR3.1	Ameca splendens	Actinopteri	ITPR3	1	assembly_gap	JAHRIP010038062.1	1718	29025	ITPR3	ITPR3_2	0	no_call		0	0	1.0000	no_call	0	0	0	S5 status assembly_gap	
Ammodytes_marinus|GCF_949987685.1|ITPR1.0	Ammodytes marinus	Actinopteri	ITPR1	0	found_annotated	NC_137233.1	30542945	30623633	ITPR1	LOC307249570	20	ITPR1	ITPR1	1	1	0.0083	within_null	1	0	0	no paralog-named annotation at the locus	ATF1;ATF7B;C1QL4B;CDK4;CYP27B1;DIP2B;DTX3L;ESPL1;FAIM2B;MCRS1;METTL1;PFDN5;PFKM;SCN8A;SLC4A8;SUMF1;SUOX;TTLL3;ZC3H10;ZNF740A
