accession	organism	vclass	vorder	class	is_control	status	n_loci	n_primary	n_secondary	best_coverage	best_identity	family_margin	paralog_margin	assigned_via	contig_spans_gene	contig	start	end	strand	bait	frameshifts	stop_codons	contig_edge	longest_n_run	annot_gene	annot_paralog	annot_paralog_matches	rescue_hsps	rescue_best_evalue	rescue_regions	rescue_ambiguous	rescue_elsewhere	annotated_assembly	assembly_level	genome_bp	contig_n50	max_intron	max_intron_capped	reasons	evidence
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	ITPR1	0	tblastn_trace	0	0	0						0								0				0	219	2.13e-52	7	5	0	Y	Scaffold	853262227	8743	200000	0	zero_hit_proteome	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013389965.1/summary.json
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	ITPR2	0	tblastn_trace	0	0	0						0								0				0	200	4.33e-38	2	2	8	Y	Scaffold	853262227	8743	200000	0	zero_hit_proteome	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013389965.1/summary.json
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	ITPR3	0	found_annotated	1	1	0	1.0	0.9476	1.0	0.3324	primary	0	WEIS01036230.1	1967	48807	+	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0	1	726	TODMEX_R03131		0			0	0	0	Y	Scaffold	853262227	8743	200000	0	zero_hit_proteome	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013389965.1/summary.json
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	RYR	1	found_unannotated	1	1	0	0.8074	0.6968	1.0	1.0	primary	0	WEIS01025216.1	1	35164	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	2	0	1	878			0			0	0	0	Y	Scaffold	853262227	8743	200000	0	zero_hit_proteome	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013389965.1/summary.json
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	ITPR1	0	tblastn_trace	0	0	0						0								0				0	259	1.1e-52	6	3	3	Y	Scaffold	854293167	23460	200000	0	missing_paralog	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013400635.1/summary.json
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	ITPR2	0	tblastn_trace	0	0	0						0								0				0	248	8.41e-51	5	0	7	Y	Scaffold	854293167	23460	200000	0	missing_paralog	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013400635.1/summary.json
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	ITPR3	0	found_annotated	1	1	0	1.0	0.9973	1.0	0.3472	primary	0	VYZP01027902.1	2862	41482	-	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1	0	1	1	Itpr3	ITPR3	1			0	0	0	Y	Scaffold	854293167	23460	200000	0	missing_paralog	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013400635.1/summary.json
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	RYR	1	assembly_gap	1	1	0	0.1935	0.5834	1.0	1.0	primary	0	VYZP01073347.1	429	10270	-	H3BGR5|RYR|Latimeria_chalumnae	1	0	1	1629			0			0	0	0	Y	Scaffold	854293167	23460	200000	0	missing_paralog	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_013400635.1/summary.json
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	ITPR1	0	assembly_gap	3	3	0	0.4959	0.9753	1.0	0.3596	primary	0	BMBG01009250.1	1421	60530	+	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0	1	113			0			0	0	0	N	Scaffold	999682512	104200	200000	0	missing_paralog;fragment_only	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_014363365.1/summary.json
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	ITPR2	0	assembly_gap	3	3	0	0.5363	0.982	1.0	0.3155	primary	0	BMBG01010180.1	580	85803	+	A0A672UP22|ITPR2|Strigops_habroptila	0	0	1	26			0			0	0	0	N	Scaffold	999682512	104200	200000	0	missing_paralog;fragment_only	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_014363365.1/summary.json
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	ITPR3	0	assembly_gap	3	3	0	0.4052	0.9935	1.0	1.0	primary	0	BMBG01002764.1	584	8493	-	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0	1	0			0			0	0	0	N	Scaffold	999682512	104200	200000	0	missing_paralog;fragment_only	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_014363365.1/summary.json
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	RYR	1	assembly_gap	4	4	0	0.5938	0.977	1.0	1.0	primary	0	BMBG01011160.1	1889	127688	+	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0	1	0			0			0	0	0	N	Scaffold	999682512	104200	200000	0	missing_paralog;fragment_only	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCA_014363365.1/summary.json
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	ITPR1	0	found_annotated	1	1	0	1.0	0.9637	1.0	0.3117	primary	1	NC_041749.1	96266008	96580008	-	P11881|Itpr1|Mus_musculus|ITPR1	0	0	0	0	ITPR1	ITPR1	1			0	0	0	Y	Chromosome	1859264908	15146802	299905	0	order_rep:Monotremata	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCF_004115215.2/summary.json
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	ITPR2	0	found_annotated	1	1	0	1.0	0.9178	1.0	0.2713	primary	1	NC_041729.1	161959785	162388210	+	Q14571|ITPR2|Homo_sapiens|ITPR2	0	0	0	0	ITPR2	ITPR2	1			0	0	0	Y	Chromosome	1859264908	15146802	299905	0	order_rep:Monotremata	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCF_004115215.2/summary.json
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	ITPR3	0	found_annotated	1	1	0	1.0	0.9148	1.0	0.3423	primary	1	NC_041734.1	67217745	67372510	+	Q14573|ITPR3|Homo_sapiens|ITPR3	0	0	0	0	ITPR3	ITPR3	1			0	0	0	Y	Chromosome	1859264908	15146802	299905	0	order_rep:Monotremata	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCF_004115215.2/summary.json
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	RYR	1	found_annotated	3	3	0	1.0	0.9174	1.0	1.0	primary	1	NC_041746.1	1800239	2031660	+	Q92736|RYR2|Homo_sapiens|RYR2	3	0	0	0	RYR2	RYR2	1			0	0	0	Y	Chromosome	1859264908	15146802	299905	0	order_rep:Monotremata	/Volumes/FANTOM/IP3R_DATA/genome_sweep/GCF_004115215.2/summary.json
