accession	organism	vclass	cell	contig	coverage	identity	aligned_aa	frameshifts	stop_codons	lesion_density	verdict	cell_state	elevated	incomplete	not_live	state_reading_available	is_fossil	reading
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	KL257532.1	0.8239	0.9903	2195	1	0	0.4556	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_000699945.1	Cathartes aura	Aves	ITPR3	KL301852.1	0.7477	0.9781	1992	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	CM008031.1	1	0.8879	2758	1	0	0.3626	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	CM008029.1	1	0.8296	2701	1	0	0.3702	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	CM008022.1	0.9974	0.8775	4954	0	1	0.2019	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	CM008011.1	1	0.7407	5037	5	0	0.9927	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	CM008019.1	0.9968	0.6313	5021	2	1	0.5975	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	KZ509852.1	0.9801	0.8623	2611	2	1	1.149	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	KZ505650.1	1	0.9845	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	KZ505716.1	1	0.6774	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
