accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	group
A0A023B3J3	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	47.1	47.1	1.0		3.8e-11	3.8e-11	0.0	0.013	0	64	0.804	153	GNI_111450	Gregarina niphandrodes	110365	0	Calmodulin	protista_other
A0A023B6E0	unassigned	none	module	best profile score 29.4 < 30 bits	0.0	29.4	29.4	1.0		8.2e-06	8.2e-06	0.0	0.011	0	54	0.206	572	GNI_081840	Gregarina niphandrodes	110365	0	non-specific serine/threonine protein kinase	protista_other
A0A023B9C5	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	46.3	46.3	1.0		6.6e-11	6.6e-11	0.0	0.012	0	59	0.779	149	GNI_051490	Gregarina niphandrodes	110365	0	Calmodulin	protista_other
A0A024FZB1	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	89.1	89.1	1.0		8.7e-24	8.7e-24	0.0	0.026	0	128	0.244	542	BN9_006290	Albugo candida	65357	0	C3H1-type domain-containing protein	protista_other
A0A024G0L5	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	88.9	88.9	1.0		9.9e-24	9.9e-24	0.0	0.026	0	128	0.226	583	BN9_006280	Albugo candida	65357	0	C3H1-type domain-containing protein	protista_other
A0A024G471	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.7e-33	2.7e-33	0.0	0.039	0	192	0.04	6854	BN9_024430	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G476	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.7	120.7	1.0		2.7e-33	2.7e-33	0.0	0.039	0	192	0.04	6830	BN9_024480	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G4G3	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.8e-33	2.8e-33	0.0	0.039	0	192	0.039	6932	BN9_024400	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G4G8	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.8e-33	2.8e-33	0.0	0.039	0	192	0.04	6870	BN9_024450	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G4Q5	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.8e-33	2.8e-33	0.0	0.039	0	192	0.039	6916	BN9_024410	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G4R0	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.8e-33	2.8e-33	0.0	0.039	0	192	0.04	6859	BN9_024460	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G513	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.8e-33	2.8e-33	0.0	0.039	0	192	0.04	6911	BN9_024420	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G518	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.7	120.7	1.0		2.7e-33	2.7e-33	0.0	0.039	0	192	0.04	6825	BN9_024470	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G5R0	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.8e-33	2.8e-33	0.0	0.039	0	192	0.039	6927	BN9_024390	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G5R4	unassigned	none	module	ryr.hmm matched only 192 profile positions (< 200) — a shared module, not a family assignment	0.0	120.6	120.6	1.0		2.8e-33	2.8e-33	0.0	0.039	0	192	0.04	6875	BN9_024440	Albugo candida	65357	0	B30.2/SPRY domain-containing protein	protista_other
A0A024G757	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.8	56.8	1.0		4.7e-14	4.7e-14	0.0	0.015	0	74	0.872	149	BN9_032680	Albugo candida	65357	0	Calmodulin	protista_other
A0A024G764	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.0	56.0	1.0		7.9e-14	7.9e-14	0.0	0.015	0	74	0.886	149	BN9_032780	Albugo candida	65357	0	Calmodulin	protista_other
A0A024G7I3	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	56.8	56.8	1.0		4.7e-14	4.7e-14	0.0	0.013	0	64	0.826	149	BN9_032790	Albugo candida	65357	0	Calmodulin	protista_other
