label	organism	vclass	accession	anchor_gene	n_keys	call	best	best_score	margin	score_ITPR1	score_ITPR2	score_ITPR3
Cervus_elaphus_hippelaphus|GCA_002197005.1|control0	Cervus elaphus hippelaphus	Mammalia	GCA_002197005.1	Celaphus_00004502	0	no_call		0	0	0	0	0
Cervus_elaphus_hippelaphus|GCA_002197005.1|control1	Cervus elaphus hippelaphus	Mammalia	GCA_002197005.1	Celaphus_00011103	0	no_call		0	0	0	0	0
Cervus_elaphus_hippelaphus|GCA_002197005.1|control2	Cervus elaphus hippelaphus	Mammalia	GCA_002197005.1	Celaphus_00019039	0	no_call		0	0	0	0	0
Limosa_lapponica_baueri|GCA_002844005.1|control0	Limosa lapponica baueri	Aves	GCA_002844005.1	llap_8423	0	no_call		0	0	0	0	0
Limosa_lapponica_baueri|GCA_002844005.1|control1	Limosa lapponica baueri	Aves	GCA_002844005.1	llap_2167	0	no_call		0	0	0	0	0
Limosa_lapponica_baueri|GCA_002844005.1|control2	Limosa lapponica baueri	Aves	GCA_002844005.1	llap_513	0	no_call		0	0	0	0	0
Alca_torda|GCA_008658365.1|control0	Alca torda	Aves	GCA_008658365.1	SMURF2	20	no_call		0	0	0	0	0
Alca_torda|GCA_008658365.1|control1	Alca torda	Aves	GCA_008658365.1	LRRC26	20	no_call		0	0	0	0	0
Alca_torda|GCA_008658365.1|control2	Alca torda	Aves	GCA_008658365.1	USP37	20	no_call		0	0	0	0	0
Bucorvus_abyssinicus|GCA_009769605.1|control0	Bucorvus abyssinicus	Aves	GCA_009769605.1	DIAPH3	20	no_call		0	0	0	0	0
Bucorvus_abyssinicus|GCA_009769605.1|control1	Bucorvus abyssinicus	Aves	GCA_009769605.1	ATG101	20	no_call		0	0	0	0	0
Bucorvus_abyssinicus|GCA_009769605.1|control2	Bucorvus abyssinicus	Aves	GCA_009769605.1	MYD88	20	no_call		0	0	0	0	0
Phoenicopterus_ruber_ruber|GCA_009819775.1|control0	Phoenicopterus ruber ruber	Aves	GCA_009819775.1	CYP7B1	20	no_call		0	0	0	0	0
Phoenicopterus_ruber_ruber|GCA_009819775.1|control1	Phoenicopterus ruber ruber	Aves	GCA_009819775.1	COPG2	20	no_call		0	0	0	0	0
Phoenicopterus_ruber_ruber|GCA_009819775.1|control2	Phoenicopterus ruber ruber	Aves	GCA_009819775.1	POC1B	20	no_call		0	0	0	0	0
Cervus_hanglu_yarkandensis|GCA_010411085.1|control0	Cervus hanglu yarkandensis	Mammalia	GCA_010411085.1	G4228_007754	0	no_call		0	0	0	0	0
Cervus_hanglu_yarkandensis|GCA_010411085.1|control1	Cervus hanglu yarkandensis	Mammalia	GCA_010411085.1	G4228_011383	0	no_call		0	0	0	0	0
