accession	organism	vclass	class	status	contig	start	coverage	identity	family_margin	paralog_margin	assigned_via	bait	annot_gene	annot_paralog	annot_agrees
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	assembly_gap	JMFS01131396.1	4289	0.3343	0.9925	1.0	0.2874	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	fragment	KL263936.1	21481	0.387	0.9542	1.0	1.0	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	found_no_annotation	KL257532.1	5164	0.8239	0.9903	1.0	0.3695	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3			0
GCA_000699545.1	Podiceps cristatus	Aves	RYR	assembly_gap	KL283962.1	1097	0.4775	0.9836	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_000699545.1	Podiceps cristatus	Aves	RYR	assembly_gap	JMFS01114174.1	154	0.4394	0.6926	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_000699545.1	Podiceps cristatus	Aves	RYR	assembly_gap	KL256588.1	10269	0.2353	0.976	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_000699945.1	Cathartes aura	Aves	ITPR2	fragment	KL291012.1	81303	0.3752	0.9852	1.0	0.3174	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_000699945.1	Cathartes aura	Aves	ITPR3	found_annotated	KL301852.1	537	0.7477	0.9781	1.0	0.3691	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	N323_11390		0
GCA_000699945.1	Cathartes aura	Aves	RYR	assembly_gap	KL299849.1	2339	0.4831	0.9858	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_000699945.1	Cathartes aura	Aves	RYR	assembly_gap	KL309451.1	1729	0.2593	0.7195	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_000699945.1	Cathartes aura	Aves	RYR	assembly_gap	KL332051.1	2241	0.2589	0.6357	1.0	1.0	primary	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal			0
GCA_000699945.1	Cathartes aura	Aves	RYR	assembly_gap	KL320477.1	2040	0.1556	0.9715	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	found_unannotated	CM008031.1	28422367	1.0	0.8879	1.0	0.3521	primary	Q14643|ITPR1|Homo_sapiens|ITPR1			0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	found_unannotated	CM008029.1	46562293	1.0	0.8296	1.0	0.315	primary	Q14571|ITPR2|Homo_sapiens|ITPR2			0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	found_unannotated	CM008022.1	12245616	0.9974	0.8775	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2			0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	found_unannotated	CM008011.1	60192955	1.0	0.7407	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	found_unannotated	CM008019.1	88509295	0.9968	0.6313	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	found_annotated	KZ509852.1	4513	0.9801	0.8623	1.0	0.3829	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	llap_16032		0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	found_unannotated	KZ505650.1	1556943	1.0	0.9845	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	found_unannotated	KZ505716.1	586247	1.0	0.6774	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	llap_3383		0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	assembly_gap	PPHD01000413.1	7648	0.3516	1.0	1.0	0.3007	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	assembly_gap	PPHD01008249.1	590	0.3188	0.9989	1.0	1.0	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	CIB84_004674		0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	assembly_gap	PPHD01003807.1	6160	0.2111	0.9	1.0	1.0	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2	CIB84_002931		0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	assembly_gap	PPHD01002362.1	4881	0.1589	0.9837	1.0	1.0	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2			0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	assembly_gap	PPHD01009884.1	3	0.6295	0.9988	1.0	0.3408	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	CIB84_005232		0
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	assembly_gap	PPHD01019520.1	82	0.2042	0.9963	1.0	1.0	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	CIB84_007851		0
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	assembly_gap	PPHD01005234.1	2410	0.1985	0.9929	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	assembly_gap	PPHD01004762.1	949	0.1795	0.9832	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	assembly_gap	PPHD01004103.1	719	0.2694	0.6254	1.0	1.0	primary	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal			0
