id	section	claim	expected	found	verdict	note	source	op
AR01	archive	923 IP3 receptor genes are demonstrated in the DNA	923	923	ok		results/methods/gene_recovery.tsv	count
AR02	archive	744 of them have no protein record that reaches them	744	744	ok		results/methods/gene_recovery.tsv	count
AR03	archive	1,232 genome-by-cell genes are demonstrated, both families	1232	1232	ok		results/methods/gene_recovery.tsv	count
AR04	archive	257 ITPR1 genes are unreachable	257	257	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR05	archive	of 309 ITPR1 genes	309	309	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR06	archive	260 ITPR2 genes are unreachable	260	260	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR07	archive	of 307 ITPR2 genes	307	307	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR08	archive	227 ITPR3 genes are unreachable	227	227	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR09	archive	of 307 ITPR3 genes	307	307	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR10	archive	196 ryanodine receptor control cells are unreachable	196	196	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR11	archive	of 309 control cells	309	309	ok		results/methods/gene_recovery_by_cell.tsv	cell
AR12	archive	289 unreachable IP3R genes are in species without a reference proteome	289	289	ok		results/methods/gene_recovery.tsv	count
AR13	archive	186 in species with only fragmentary records	186	186	ok		results/methods/gene_recovery.tsv	count
AR14	archive	254 where records exist and none resolves to the paralogue	254	254	ok		results/methods/gene_recovery.tsv	count
AR15	archive	15 in species with no family record at all	15	15	ok		results/methods/gene_recovery.tsv	count
AR16	archive	179 IP3R genes are held as DNA and as a resolving record	179	179	ok		results/methods/gene_recovery.tsv	count
AR17	archive	order representatives lose 413 genes	413	413	ok		results/methods/gene_recovery_by_scope.tsv	cell
AR18	archive	of 556	556	556	ok		results/methods/gene_recovery_by_scope.tsv	cell
AR19	archive	margin species lose 465 genes	465	465	ok		results/methods/gene_recovery_by_scope.tsv	cell
AR20	archive	of 592	592	592	ok		results/methods/gene_recovery_by_scope.tsv	cell
AR21	archive	Pfam enumeration returns 3,135 gene-scale vertebrate records	3135	3135	ok		results/methods/head_to_head.tsv	cell
AR22	archive	the profile pair returns 3,136	3136	3136	ok		results/methods/head_to_head.tsv	cell
AR23	archive	3,135 are shared	3135	3135	ok		results/methods/head_to_head.tsv	cell
AR24	archive	the sweep's models come from 224 genomes	224	224	ok		results/census_v4/census_v4_stats.json	json
AR25	archive	488 of the models are IP3 receptors	488	488	ok		results/census_v4/census_v4_stats.json	json
AR26	archive	3 lie inside a gene named for another paralogue	3	3	ok		results/census_v4/census_v4_stats.json	json
AR27	archive	2,144 gene-scale loci are audited	2144	2144	ok		results/annotation_audit/annotation_audit_stats.json	json
AR28	archive	1,059 of them are IP3 receptor loci	1059	1059	ok		results/annotation_audit/annotation_audit_stats.json	json
AR29	archive	255 loci sit in assemblies with no gene set	255	255	ok		results/annotation_audit/annotation_audit_stats.json	json
AR30	archive	932 IP3 receptor loci are scorable	932	932	ok		results/annotation_audit/annotation_audit_stats.json	json
AR31	archive	942 ryanodine receptor loci are scorable	942	942	ok		results/annotation_audit/annotation_audit_stats.json	json
AR32	archive	8,306 of the protein records are vertebrate	8306	8306	ok		results/annotation_audit/annotation_audit_stats.json	json
AR33	archive	168 assemblies carry a RefSeq annotation	168	168	ok		results/genome_manifest.tsv	count
AR34	archive	141 carry a GenBank annotation or none	141	141	ok		results/genome_manifest.tsv	count
AR35	archive	the bait panel holds 38 proteins	38	38	ok		results/s5_baits/bait_manifest.tsv	count
AR36	archive	689 IP3R loci are complete	689	689	ok		results/annotation_audit/family_vs_control.tsv	cell
AR37	archive	243 are not	243	243	ok		results/annotation_audit/family_vs_control.tsv	cell
AR38	archive	149 are fragmentary	149	149	ok		results/annotation_audit/family_vs_control.tsv	cell
AR39	archive	14 are split	14	14	ok		results/annotation_audit/family_vs_control.tsv	cell
AR40	archive	38 are unannotated	38	38	ok		results/annotation_audit/family_vs_control.tsv	cell
