accession	call	source	length	excluded_by
A0A016T780	RYR	InterPro	1041	P3 1041 aa < 2000 (not full length)
A0A016T816	RYR	InterPro	1031	P3 1031 aa < 2000 (not full length)
A0A016U0R6	RYR	InterPro	385	P3 385 aa < 2000 (not full length)
A0A016U1N6	RYR	InterPro	398	P3 398 aa < 2000 (not full length)
A0A016U209	RYR	InterPro	350	P3 350 aa < 2000 (not full length)
A0A016U2S5	RYR	InterPro	337	P3 337 aa < 2000 (not full length)
A0A016VUT2	ITPR	InterPro	818	P3 818 aa < 2000 (not full length)
A0A016VVC9	ITPR	InterPro	803	P3 803 aa < 2000 (not full length)
A0A016VVL2	ITPR	InterPro	864	P3 864 aa < 2000 (not full length)
A0A016VWG3	ITPR	InterPro	849	P3 849 aa < 2000 (not full length)
A0A016VWG9	ITPR	InterPro	1843	P3 1843 aa < 2000 (not full length)
A0A016VX74	ITPR	InterPro	867	P3 867 aa < 2000 (not full length)
A0A026VRJ2	RYR	InterPro	354	P3 354 aa < 2000 (not full length)
A0A067BPJ2	ITPR	InterPro	517	P3 517 aa < 2000 (not full length)
A0A067C0Y4	unassigned	InterPro	144	P1 not a family call in census v6
A0A067C5H2	unassigned	InterPro	142	P1 not a family call in census v6
A0A067CP00	ITPR	InterPro	1873	P3 1873 aa < 2000 (not full length)
A0A067CSU7	ITPR	InterPro	1905	P3 1905 aa < 2000 (not full length)
A0A067CX89	unassigned	InterPro	407	P1 not a family call in census v6
A0A067CZJ8	ITPR	InterPro	1070	P3 1070 aa < 2000 (not full length)
A0A067QF10	unassigned	InterPro	110	P1 not a family call in census v6
A0A067QFR8	RYR	InterPro	444	P3 444 aa < 2000 (not full length)
A0A067QPY8	unassigned	InterPro	92	P1 not a family call in census v6
A0A068Y4L9	RYR	InterPro	928	P3 928 aa < 2000 (not full length)
A0A087R6Z5	unassigned	InterPro	73	P1 not a family call in census v6
A0A087TIZ3	RYR	InterPro	919	P3 919 aa < 2000 (not full length)
A0A087TIZ4	RYR	InterPro	1626	P3 1626 aa < 2000 (not full length)
A0A087UU98	unassigned	InterPro	177	P1 not a family call in census v6
A0A087UU99	unassigned	InterPro	159	P1 not a family call in census v6
A0A087UUA0	unassigned	InterPro	142	P1 not a family call in census v6
A0A087UUA3	ITPR	InterPro	290	P3 290 aa < 2000 (not full length)
A0A087UUA7	ITPR	InterPro	264	P3 264 aa < 2000 (not full length)
A0A087V716	unassigned	InterPro	73	P1 not a family call in census v6
A0A087V7R1	unassigned	InterPro	76	P1 not a family call in census v6
A0A087VFN4	RYR	InterPro	273	P3 273 aa < 2000 (not full length)
A0A087VQE3	ITPR	InterPro	1637	P3 1637 aa < 2000 (not full length)
A0A087Y2Z5	ITPR	InterPro	1517	P3 1517 aa < 2000 (not full length)
A0A091ELT2	unassigned	InterPro	86	P1 not a family call in census v6
A0A091EW40	unassigned	InterPro	73	P1 not a family call in census v6
A0A091G574	unassigned	InterPro	73	P1 not a family call in census v6
A0A091GVF9	unassigned	InterPro	76	P1 not a family call in census v6
A0A091H544	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091H7S9	RYR	InterPro	244	P3 244 aa < 2000 (not full length)
A0A091H8B4	unassigned	InterPro	73	P1 not a family call in census v6
A0A091HBJ0	ITPR	InterPro	272	P3 272 aa < 2000 (not full length)
A0A091I5D1	unassigned	InterPro	73	P1 not a family call in census v6
A0A091JKP9	unassigned	InterPro	73	P1 not a family call in census v6
A0A091JXL0	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091K1S9	unassigned	InterPro	48	P1 not a family call in census v6
A0A091KKT7	unassigned	InterPro	40	P1 not a family call in census v6
A0A091KPA8	unassigned	InterPro	76	P1 not a family call in census v6
A0A091KQH4	unassigned	InterPro	76	P1 not a family call in census v6
A0A091KRZ0	ITPR	InterPro	1640	P3 1640 aa < 2000 (not full length)
A0A091KYC0	RYR	InterPro	248	P3 248 aa < 2000 (not full length)
A0A091L2J7	RYR	InterPro	264	P3 264 aa < 2000 (not full length)
A0A091LFC2	unassigned	InterPro	76	P1 not a family call in census v6
A0A091LX29	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091MA22	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091MBN6	unassigned	InterPro	76	P1 not a family call in census v6
A0A091MWX3	unassigned	InterPro	76	P1 not a family call in census v6
A0A091NN28	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091NUY9	RYR	InterPro	239	P3 239 aa < 2000 (not full length)
A0A091P2X3	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091Q5I4	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091Q7E5	unassigned	InterPro	76	P1 not a family call in census v6
A0A091QEF9	unassigned	InterPro	76	P1 not a family call in census v6
A0A091QIL7	unassigned	InterPro	73	P1 not a family call in census v6
A0A091QV28	unassigned	InterPro	73	P1 not a family call in census v6
A0A091R4W2	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091R7I3	ITPR	InterPro	270	P3 270 aa < 2000 (not full length)
A0A091RIJ3	ITPR	InterPro	1637	P3 1637 aa < 2000 (not full length)
A0A091RUZ4	RYR	InterPro	251	P3 251 aa < 2000 (not full length)
A0A091RWL8	unassigned	InterPro	73	P1 not a family call in census v6
A0A091S5Y6	unassigned	InterPro	76	P1 not a family call in census v6
A0A091SMG4	unassigned	InterPro	76	P1 not a family call in census v6
A0A091SNX7	ITPR	InterPro	1650	P3 1650 aa < 2000 (not full length)
A0A091SSE1	ITPR	InterPro	1637	P3 1637 aa < 2000 (not full length)
A0A091T6B2	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091TXD8	unassigned	InterPro	76	P1 not a family call in census v6
A0A091U073	unassigned	InterPro	73	P1 not a family call in census v6
A0A091UC05	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A091UFQ9	ITPR	InterPro	1687	P3 1687 aa < 2000 (not full length)
A0A091US95	unassigned	InterPro	40	P1 not a family call in census v6
A0A091VA37	unassigned	InterPro	76	P1 not a family call in census v6
A0A093BZK9	unassigned	InterPro	73	P1 not a family call in census v6
A0A093C8L7	RYR	InterPro	266	P3 266 aa < 2000 (not full length)
A0A093C928	ITPR	InterPro	1639	P3 1639 aa < 2000 (not full length)
A0A093CK02	unassigned	InterPro	76	P1 not a family call in census v6
A0A093CSX7	ITPR	InterPro	1637	P3 1637 aa < 2000 (not full length)
A0A093EKP4	unassigned	InterPro	73	P1 not a family call in census v6
A0A093EKZ9	unassigned	InterPro	40	P1 not a family call in census v6
A0A093F7F8	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A093FHK5	unassigned	InterPro	73	P1 not a family call in census v6
A0A093H6F0	unassigned	InterPro	76	P1 not a family call in census v6
A0A093HHZ5	ITPR	InterPro	1637	P3 1637 aa < 2000 (not full length)
A0A093I0L3	ITPR	InterPro	1971	P3 1971 aa < 2000 (not full length)
A0A093IJD5	unassigned	InterPro	73	P1 not a family call in census v6
A0A093IU15	unassigned	InterPro	76	P1 not a family call in census v6
A0A093JJJ1	RYR	InterPro	267	P3 267 aa < 2000 (not full length)
A0A093L8T0	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A093QIB3	unassigned	InterPro	76	P1 not a family call in census v6
A0A093QLY1	unassigned	InterPro	73	P1 not a family call in census v6
A0A094KKN7	RYR	InterPro	258	P3 258 aa < 2000 (not full length)
A0A094L751	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A094L9A0	unassigned	InterPro	76	P1 not a family call in census v6
A0A094LLX2	unassigned	InterPro	40	P1 not a family call in census v6
A0A094NB13	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A094NP80	RYR	InterPro	255	P3 255 aa < 2000 (not full length)
A0A096M2M4	RYR	InterPro	1120	P3 1120 aa < 2000 (not full length)
A0A099ZEM9	ITPR	InterPro	270	P3 270 aa < 2000 (not full length)
A0A099ZQL4	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A0A0RR89	unassigned	InterPro	162	P1 not a family call in census v6
A0A0B1S7M8	ITPR	InterPro	579	P3 579 aa < 2000 (not full length)
A0A0B1SHA5	unassigned	InterPro	163	P1 not a family call in census v6
A0A0B1SS08	ITPR	InterPro	625	P3 625 aa < 2000 (not full length)
A0A0B1SSX7	RYR	InterPro	540	P3 540 aa < 2000 (not full length)
A0A0B1T157	RYR	InterPro	296	P3 296 aa < 2000 (not full length)
A0A0B2SAZ5	unassigned	InterPro	652	P1 not a family call in census v6
A0A0B2UW59	RYR	InterPro	635	P3 635 aa < 2000 (not full length)
A0A0B2V7B7	unassigned	InterPro	90	P1 not a family call in census v6
A0A0B2VGZ6	unassigned	InterPro	128	P1 not a family call in census v6
A0A0C2C5S1	unassigned	InterPro	180	P1 not a family call in census v6
A0A0C2CLV8	RYR	InterPro	850	P3 850 aa < 2000 (not full length)
A0A0C2CTN4	RYR	InterPro	1161	P3 1161 aa < 2000 (not full length)
A0A0C2D0C6	ITPR	InterPro	563	P3 563 aa < 2000 (not full length)
A0A0C2FPC5	unassigned	InterPro	311	P1 not a family call in census v6
A0A0C2FS98	unassigned	InterPro	130	P1 not a family call in census v6
A0A0C2G6N1	RYR	InterPro	939	P3 939 aa < 2000 (not full length)
A0A0C2G9F2	unassigned	InterPro	184	P1 not a family call in census v6
A0A0C2GGK8	ITPR	InterPro	512	P3 512 aa < 2000 (not full length)
A0A0D3HYU0	ITPR	InterPro	236	P3 236 aa < 2000 (not full length)
A0A0D3IFT4	ITPR	InterPro	1615	P3 1615 aa < 2000 (not full length)
A0A0D3JYL6	ITPR	InterPro	305	P3 305 aa < 2000 (not full length)
A0A0D6LFT5	RYR	InterPro	1386	P3 1386 aa < 2000 (not full length)
A0A0D6M9A4	ITPR	InterPro	668	P3 668 aa < 2000 (not full length)
A0A0D6MBX8	ITPR	InterPro	1418	P3 1418 aa < 2000 (not full length)
A0A0D8XX81	ITPR	InterPro	1970	P3 1970 aa < 2000 (not full length)
A0A0D8XZF2	ITPR	InterPro	828	P3 828 aa < 2000 (not full length)
A0A0D8Y974	RYR	InterPro	232	P3 232 aa < 2000 (not full length)
A0A0D8Y979	RYR	InterPro	1335	P3 1335 aa < 2000 (not full length)
A0A0D8YBI9	RYR	InterPro	864	P3 864 aa < 2000 (not full length)
A0A0G2QMX0	RYR	InterPro	267	P3 267 aa < 2000 (not full length)
A0A0J7KNH3	ITPR	InterPro	1026	P3 1026 aa < 2000 (not full length)
A0A0J7L472	RYR	InterPro	1889	P3 1889 aa < 2000 (not full length)
A0A0J7L4Z0	RYR	InterPro	1655	P3 1655 aa < 2000 (not full length)
A0A0J7L564	RYR	InterPro	830	P3 830 aa < 2000 (not full length)
A0A0J7NVA4	ITPR	InterPro	1489	P3 1489 aa < 2000 (not full length)
A0A0K0D1J5	ITPR	InterPro	521	P3 521 aa < 2000 (not full length)
A0A0K0DIA6	ITPR	InterPro	378	P3 378 aa < 2000 (not full length)
A0A0K0DQM5	ITPR	InterPro	354	P3 354 aa < 2000 (not full length)
A0A0L0F000	unassigned	InterPro	64	P1 not a family call in census v6
A0A0L0F7N0	unassigned	InterPro	58	P1 not a family call in census v6
A0A0L0FNP3	unassigned	InterPro	132	P1 not a family call in census v6
A0A0L0FPL2	unassigned	InterPro	71	P1 not a family call in census v6
A0A0L0FTF7	unassigned	InterPro	247	P1 not a family call in census v6
A0A0L0FXW8	unassigned	InterPro	155	P1 not a family call in census v6
A0A0L0G2S5	ITPR	InterPro	431	P3 431 aa < 2000 (not full length)
A0A0L7LRU7	ITPR	InterPro	784	P3 784 aa < 2000 (not full length)
A0A0M0JZC8	ITPR	InterPro	422	P3 422 aa < 2000 (not full length)
A0A0M0K0T8	ITPR	InterPro	774	P3 774 aa < 2000 (not full length)
A0A0M0K8W7	ITPR	InterPro	236	P3 236 aa < 2000 (not full length)
A0A0M3IZX2	RYR	InterPro	513	P3 513 aa < 2000 (not full length)
A0A0M3J0C2	RYR	InterPro	492	P3 492 aa < 2000 (not full length)
A0A0M3J2T0	unassigned	InterPro	242	P1 not a family call in census v6
A0A0M3J5J2	RYR	InterPro	308	P3 308 aa < 2000 (not full length)
A0A0M3JAA3	unassigned	InterPro	175	P1 not a family call in census v6
A0A0M3JDS3	unassigned	InterPro	110	P1 not a family call in census v6
A0A0M3K3Q7	RYR	InterPro	267	P3 267 aa < 2000 (not full length)
A0A0N0DYC0	ITPR	InterPro	996	P3 996 aa < 2000 (not full length)
A0A0N0PAE5	ITPR	InterPro	462	P3 462 aa < 2000 (not full length)
A0A0N0VGQ3	unassigned	InterPro	460	P1 not a family call in census v6
A0A0N0VGZ6	ITPR	InterPro	1609	P3 1609 aa < 2000 (not full length)
A0A0N4UI19	RYR	InterPro	1140	P3 1140 aa < 2000 (not full length)
A0A0N4VWY9	unassigned	InterPro	161	P1 not a family call in census v6
A0A0N4VZK4	unassigned	InterPro	119	P1 not a family call in census v6
A0A0N4X3W1	RYR	InterPro	843	P3 843 aa < 2000 (not full length)
A0A0N4Y873	ITPR	InterPro	1212	P3 1212 aa < 2000 (not full length)
A0A0N4YKW9	RYR	InterPro	615	P3 615 aa < 2000 (not full length)
A0A0N4YS30	RYR	InterPro	1028	P3 1028 aa < 2000 (not full length)
A0A0N4YUU7	ITPR	InterPro	677	P3 677 aa < 2000 (not full length)
A0A0N5AQI2	unassigned	InterPro	144	P1 not a family call in census v6
A0A0N5CMI6	RYR	InterPro	1379	P3 1379 aa < 2000 (not full length)
A0A0N5CRT3	ITPR	InterPro	659	P3 659 aa < 2000 (not full length)
A0A0Q3MNI3	ITPR	InterPro	972	P3 972 aa < 2000 (not full length)
A0A0Q3TTL5	ITPR	InterPro	1744	P3 1744 aa < 2000 (not full length)
A0A0Q3X991	RYR	InterPro	1897	P3 1897 aa < 2000 (not full length)
A0A0R1EE22	ITPR	InterPro	256	P3 256 aa < 2000 (not full length)
A0A0R3PUV7	ITPR	InterPro	918	P3 918 aa < 2000 (not full length)
A0A0R3QMC7	RYR	InterPro	1546	P3 1546 aa < 2000 (not full length)
A0A0R3QMQ1	ITPR	InterPro	1473	P3 1473 aa < 2000 (not full length)
A0A0R3TP59	RYR	InterPro	931	P3 931 aa < 2000 (not full length)
A0A0R3WSI5	unassigned	InterPro	139	P1 not a family call in census v6
A0A0R3WVY2	RYR	InterPro	411	P3 411 aa < 2000 (not full length)
A0A0S4INA7	ITPR	InterPro	1134	P3 1134 aa < 2000 (not full length)
A0A0V0Q8S0	unassigned	InterPro	716	P1 not a family call in census v6
A0A0V0Q8T2	ITPR	InterPro	1473	P3 1473 aa < 2000 (not full length)
A0A0V0QKQ8	ITPR	InterPro	774	P3 774 aa < 2000 (not full length)
A0A0V0QLL8	unassigned	InterPro	1036	P1 not a family call in census v6
A0A0V0R3S6	unassigned	InterPro	685	P1 not a family call in census v6
A0A0V0R420	ITPR	InterPro	1858	P3 1858 aa < 2000 (not full length)
A0A0V0R4A7	ITPR	InterPro	1804	P3 1804 aa < 2000 (not full length)
A0A0V1N1C2	RYR	InterPro	1417	P3 1417 aa < 2000 (not full length)
A0A139WP81	unassigned	InterPro	117	P1 not a family call in census v6
A0A140CQB0	ITPR	InterPro	1090	P3 1090 aa < 2000 (not full length)
A0A140CQB1	ITPR	InterPro	1822	P3 1822 aa < 2000 (not full length)
A0A151LZM3	RYR	InterPro	1108	P3 1108 aa < 2000 (not full length)
A0A151MK74	ITPR	InterPro	1073	P3 1073 aa < 2000 (not full length)
A0A151MK79	ITPR	InterPro	1680	P3 1680 aa < 2000 (not full length)
A0A151MK83	ITPR	InterPro	1051	P3 1051 aa < 2000 (not full length)
A0A151MKE7	ITPR	InterPro	1088	P3 1088 aa < 2000 (not full length)
A0A151P054	RYR	InterPro	979	P3 979 aa < 2000 (not full length)
A0A151P0K0	RYR	InterPro	969	P3 969 aa < 2000 (not full length)
A0A152A7I8	conflict	InterPro	2845	P1 not a family call in census v6
A0A154NZD4	RYR	InterPro	318	P3 318 aa < 2000 (not full length)
