accession	organism	group	phylum	contig	start	end	strand	bait	identity	coverage	score	cds_footprint_bp
GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	Chlorophyta	LGRX02003641.1	10549	33606	-	A0AAE0LDZ1|CYMTET_10314|Cymbomonas_tetramitiformis|Chlorophyta|ITPR	1.0	1.0	17464.0	10128
GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	Chlorophyta	LGRX02004233.1	57099	78453	+	A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	0.2157	0.9589	851.0	7043
GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	Chlorophyta	LGRX02010592.1	73160	81546	+	A0ABN8N199|PLOB_00042910|Porites_lobata|Cnidaria|ITPR	0.2153	0.9404	1015.0	7194
GCA_001460835.1	Bodo saltans	discoba	Euglenozoa	CYKH01000090.1	389	6091	+	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	0.2237	0.784	809.0	5640
GCA_001460835.1	Bodo saltans	discoba	Euglenozoa	CYKH01000197.1	4212	17684	+	A0AAN9BAK1|V1264_020598|Littorina_saxatilis|Mollusca|ITPR	0.1993	0.961	646.0	7392
GCA_001606155.1	Tieghemostelium lacteum	amoebozoa	Evosea	LODT01000051.1	849428	858373	-	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	0.4975	1.0	7202.0	8790
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000014.1	5764	25937	-	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2066	0.7928	1128.0	7731
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000077.1	24291	32093	-	A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	0.2102	0.9866	799.0	7335
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000193.1	22327	29930	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.2042	0.9484	610.0	7167
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000256.1	370	55716	-	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2252	0.7706	1224.0	7719
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000273.1	17966	25399	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.193	0.9438	599.0	7302
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000387.1	35439	43244	-	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.2166	0.9802	1092.0	7605
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000441.1	14056	22014	-	A0ABR2W6A1|K7432_003395|Basidiobolus_ranarum|Basidiobolomycota|ITPR	0.2084	0.9688	685.0	6993
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000604.1	34352	41903	+	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	0.2081	0.9538	730.0	7200
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000666.1	8525	32703	+	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2295	0.7913	1260.0	8004
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000676.1	4839	12806	+	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	0.2107	0.7213	898.0	7044
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000692.1	23902	31865	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.1965	0.9777	528.0	7642
GCA_001970955.1	Stentor coeruleus	sar	Ciliophora	MPUH01000766.1	24621	31000	+	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	0.2245	0.8038	834.0	5999
