accession	organism	group	called	identity	coverage	span_bp	cds_footprint_bp	span_inflation	evidence	annot_gene
GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	1	1.0	1.0	23058	10128	2.28	unnamed	CYMTET_10314
GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	1	0.2362	0.6998	21358	7038	3.03	unnamed	CYMTET_11329
GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	1	0.2153	0.9404	8807	7194	1.22	unnamed	CYMTET_21539
GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	1	0.2888	0.1941	20969	1528	13.72	unnamed	CYMTET_3114
GCA_001460835.1	Bodo saltans	discoba	1	0.2307	0.6199	6363	6069	1.05	unnamed	BSAL_52665
GCA_001460835.1	Bodo saltans	discoba	1	0.2434	0.5264	13214	4239	3.12	unnamed	BSAL_18940
GCA_001460835.1	Bodo saltans	discoba	1	0.2276	0.6129	5703	4794	1.19	unnamed	BSAL_55895
GCA_001460835.1	Bodo saltans	discoba	1	0.1993	0.961	14175	7392	1.92	unnamed	BSAL_56455
GCA_001460835.1	Bodo saltans	discoba	1	0.2402	0.3094	2634	2376	1.11	unnamed	BSAL_37210
GCA_001460835.1	Bodo saltans	discoba	1	0.271	0.2527	1986	1986	1.0	unnamed	BSAL_91055
GCA_001606155.1	Tieghemostelium lacteum	amoebozoa	1	0.4975	1.0	79119	8790	9.0	unnamed	DLAC_11299
GCA_001642005.1	Intoshia linei	metazoa	1	0.4038	0.5913	20888	4587	4.55	unnamed	A3Q56_04067
GCA_001642005.1	Intoshia linei	metazoa	1	0.4208	0.4414	10320	3529	2.92	unnamed	A3Q56_05306
GCA_001642005.1	Intoshia linei	metazoa	1	0.3581	0.3536	8749	2802	3.12	unnamed	A3Q56_05269
GCA_001970955.1	Stentor coeruleus	sar	1	0.2295	0.7913	24188	8004	3.02	unnamed	SteCoe_24932
GCA_001970955.1	Stentor coeruleus	sar	1	0.2252	0.7706	60634	7719	7.86	unnamed	SteCoe_13976
GCA_001970955.1	Stentor coeruleus	sar	1	0.2066	0.7928	67991	7731	8.79	unnamed	SteCoe_1330
GCA_001970955.1	Stentor coeruleus	sar	1	0.2214	0.9698	7814	7519	1.04	unnamed	SteCoe_31151
GCA_001970955.1	Stentor coeruleus	sar	1	0.2166	0.9802	7821	7605	1.03	unnamed	SteCoe_18318
GCA_001970955.1	Stentor coeruleus	sar	1	0.2107	0.7213	7968	7044	1.13	unnamed	SteCoe_25135
GCA_001970955.1	Stentor coeruleus	sar	1	0.2245	0.8038	13844	5999	2.31	no_annotation	
GCA_001970955.1	Stentor coeruleus	sar	1	0.2102	0.9866	24512	7335	3.34	unnamed	SteCoe_5764
GCA_001970955.1	Stentor coeruleus	sar	1	0.2081	0.9538	7552	7200	1.05	no_annotation	
GCA_001970955.1	Stentor coeruleus	sar	1	0.2084	0.9688	10638	6993	1.52	unnamed	SteCoe_19775
GCA_001970955.1	Stentor coeruleus	sar	1	0.2042	0.9484	7604	7167	1.06	no_annotation	
GCA_001970955.1	Stentor coeruleus	sar	1	0.2535	0.2999	8006	2535	3.16	unnamed	SteCoe_25455
GCA_001970955.1	Stentor coeruleus	sar	1	0.193	0.9438	7452	7302	1.02	unnamed	SteCoe_14590
GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	fungi	1	0.8755	1.0	9770	7517	1.3	unnamed	K493DRAFT_341790
GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	fungi	1	0.8051	1.0	8312	7548	1.1	unnamed	K493DRAFT_348021
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.9986	1.0	290176	8757	33.14	unnamed	BOX15_Mlig001931g6
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.9921	1.0	34844	8769	3.97	no_annotation	
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.9918	1.0	288820	8757	32.98	unnamed	BOX15_Mlig001931g5
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4679	0.9954	208407	8254	25.25	unnamed	BOX15_Mlig011719g6
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4596	0.9954	125848	8218	15.31	unnamed	BOX15_Mlig006095g2
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4775	0.9523	53961	7923	6.81	unnamed	BOX15_Mlig032795g1
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4608	0.9804	94455	8176	11.55	unnamed	BOX15_Mlig006095g3
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4641	0.9964	57799	8219	7.03	unnamed	BOX15_Mlig011719g2
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4577	0.9886	131416	8419	15.61	unnamed	BOX15_Mlig033347g2
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4572	0.9886	48399	8388	5.77	unnamed	BOX15_Mlig033347g1
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.48	0.9834	24718	7710	3.21	no_annotation	
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.479	0.9834	27403	7705	3.56	no_annotation	
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4682	0.9985	40721	7826	5.2	unnamed	BOX15_Mlig001198g2
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4433	0.8426	83797	7024	11.93	no_annotation	
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.4124	0.9988	218611	7720	28.32	unnamed	BOX15_Mlig033498g2
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.415	0.985	34371	7596	4.52	unnamed	BOX15_Mlig025693g1
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.47	0.7639	21038	6354	3.31	no_annotation	
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.2561	0.6093	28233	4585	6.16	unnamed	BOX15_Mlig011719g3
GCA_002269645.1	Macrostomum lignano	metazoa	1	0.2677	0.5079	24929	3864	6.45	unnamed	BOX15_Mlig033347g5
GCA_002796945.1	Plectus sambesii	metazoa	1	0.5912	0.4668	16140	4047	3.99	no_annotation	
GCA_002796945.1	Plectus sambesii	metazoa	1	0.3217	0.9052	22397	6968	3.21	no_annotation	
GCA_002796945.1	Plectus sambesii	metazoa	1	0.5223	0.3582	8178	3066	2.67	no_annotation	
GCA_002796945.1	Plectus sambesii	metazoa	1	0.1971	0.4613	5021	3798	1.32	no_annotation	
GCA_009757345.1	Campodea augens	metazoa	1	0.6451	0.5314	101473	4227	24.01	no_annotation	
GCA_009757345.1	Campodea augens	metazoa	1	0.686	0.3591	33130	3075	10.77	no_annotation	
GCA_010279815.1	Brachionus plicatilis	metazoa	1	0.8187	0.9993	34426	8979	3.83	no_annotation	
GCA_010279815.1	Brachionus plicatilis	metazoa	1	0.4525	0.9842	17868	7995	2.23	no_annotation	
GCA_011109175.1	Dicyema japonicum	metazoa	1	0.3953	0.9823	295257	7770	38.0	no_annotation	
GCA_014839935.2	Entomophthora muscae	fungi	1	1.0	1.0	7892	7704	1.02	unnamed	DSO57_1024190
GCA_019649035.1	Elysia marginata	metazoa	1	0.6612	0.9592	388446	7897	49.19	unnamed	ElyMa_003498200
GCA_019649035.1	Elysia marginata	metazoa	1	0.4762	0.9822	333150	8169	40.78	no_annotation	
GCA_019649035.1	Elysia marginata	metazoa	1	0.4487	0.9954	86309	8129	10.62	no_annotation	
GCA_019649035.1	Elysia marginata	metazoa	1	0.4566	0.9927	114052	7427	15.36	no_annotation	
GCA_019973955.1	Trichonephila inaurata madagascariensis	metazoa	1	0.9142	1.0	65326	8202	7.96	no_annotation	
GCA_020696425.1	Vermamoeba vermiformis	amoebozoa	1	0.3636	0.7404	9509	7591	1.25	no_annotation	
GCA_020696425.1	Vermamoeba vermiformis	amoebozoa	1	0.3127	0.8155	65715	8207	8.01	no_annotation	
GCA_020696425.1	Vermamoeba vermiformis	amoebozoa	1	0.2246	0.8735	36956	6878	5.37	no_annotation	
GCA_021613535.1	Adineta vaga	metazoa	1	0.503	0.991	320096	8203	39.02	unnamed	I4U23_007190
GCA_021613535.1	Adineta vaga	metazoa	1	0.4941	0.995	381052	8205	46.44	unnamed	I4U23_026087
GCA_025603285.1	Piptocephalis tieghemiana	fungi	1	0.313	0.9908	44230	8292	5.33	unnamed	DHS80DRAFT_24427
GCA_028023455.1	Epiperipatus broadwayi	metazoa	1	0.7295	0.9683	893499	7987	111.87	no_annotation	
GCA_030141605.1	Tubiluchus corallicola	metazoa	1	0.6105	0.657	35333	5349	6.61	no_annotation	
GCA_030141605.1	Tubiluchus corallicola	metazoa	1	0.7521	0.1755	12867	1434	8.97	no_annotation	
GCA_030141605.1	Tubiluchus corallicola	metazoa	1	0.7521	0.1755	12866	1434	8.97	no_annotation	
GCA_030141605.1	Tubiluchus corallicola	metazoa	1	0.6275	0.1808	5606	1458	3.84	no_annotation	
GCA_030267625.1	Triparma retinervis	other	1	0.2949	0.1549	1929	1485	1.3	unnamed	TrRE_jg11506
GCA_030267625.1	Triparma retinervis	other	1	0.2299	0.3152	3082	2739	1.13	unnamed	TrRE_jg3548
GCA_034508575.1	Petrolisthes manimaculis	metazoa	1	0.6259	1.0	431392	8232	52.4	unnamed	Pmani_007659
GCA_034694345.1	Allopauropus danicus	metazoa	1	0.6426	0.2462	2764	2154	1.28	no_annotation	
GCA_034694345.1	Allopauropus danicus	metazoa	1	0.8127	0.1129	1464	942	1.55	no_annotation	
GCA_034698405.1	Symphylella vulgaris	metazoa	1	0.6055	0.1366	2086	1167	1.79	no_annotation	
GCA_034698405.1	Symphylella vulgaris	metazoa	1	0.7143	0.1136	2101	903	2.33	no_annotation	
GCA_034698405.1	Symphylella vulgaris	metazoa	1	0.4791	0.101	3172	789	4.02	no_annotation	
GCA_036172245.1	Raillietiella orientalis	metazoa	1	0.5908	0.9939	311923	8114	38.44	no_annotation	
