id	accession	paralog	group	reference	ref_symbol	align_identity	pfam	label	shared_class	ref_start	ref_end	ref_span	model_start	model_end	n_residues	placed	mean_plddt	median_plddt	frac_ge_70	frac_ge_90	note
model_A0A4P9Y2S6	AF-A0A4P9Y2S6-F1	BJ684DRAFT_20267	Fungi	Q14643	ITPR1	0.3671	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	229	225			19	0					only 19/225 reference residues aligned
model_A0A4P9Y2S6	AF-A0A4P9Y2S6-F1	BJ684DRAFT_20267	Fungi	Q14643	ITPR1	0.3671	PF02815	MIR	shared	233	432	200			29	0					only 29/200 reference residues aligned
model_A0A4P9Y2S6	AF-A0A4P9Y2S6-F1	BJ684DRAFT_20267	Fungi	Q14643	ITPR1	0.3671	PF01365	RIH	shared	474	670	197			97	0					only 97/197 reference residues aligned
model_A0A4P9Y2S6	AF-A0A4P9Y2S6-F1	BJ684DRAFT_20267	Fungi	Q14643	ITPR1	0.3671	PF01365	RIH	shared	1204	1352	149			19	0					only 19/149 reference residues aligned
model_A0A4P9Y2S6	AF-A0A4P9Y2S6-F1	BJ684DRAFT_20267	Fungi	Q14643	ITPR1	0.3671	PF08454	RIH-associated	shared	1971	2077	107			12	0					only 12/107 reference residues aligned
model_A0A4P9Y2S6	AF-A0A4P9Y2S6-F1	BJ684DRAFT_20267	Fungi	Q14643	ITPR1	0.3671	PF00520	Ion_trans pore	generic	2363	2608	246	648	883	187	1	81.64	89.31	0.8075	0.4759	
model_A0A4P9Y2S6	AF-A0A4P9Y2S6-F1	BJ684DRAFT_20267	Fungi	Q14643		0.3671	-	outside annotated domains	none						832	1	60.01	66.03	0.4832	0.1226	
model_A0A6A5BJU9	AF-A0A6A5BJU9-F1	FDP41_006910	Discoba	Q14571	ITPR2	0.3663	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	227	223	77	433	221	1	69.09	77.5	0.6199	0.0633	
model_A0A6A5BJU9	AF-A0A6A5BJU9-F1	FDP41_006910	Discoba	Q14571	ITPR2	0.3663	PF02815	MIR	shared	232	431	200			109	0					only 109/200 reference residues aligned
model_A0A6A5BJU9	AF-A0A6A5BJU9-F1	FDP41_006910	Discoba	Q14571	ITPR2	0.3663	PF01365	RIH	shared	473	670	198			58	0					only 58/198 reference residues aligned
model_A0A6A5BJU9	AF-A0A6A5BJU9-F1	FDP41_006910	Discoba	Q14571	ITPR2	0.3663	PF01365	RIH	shared	1194	1344	151			81	0					only 81/151 reference residues aligned
model_A0A6A5BJU9	AF-A0A6A5BJU9-F1	FDP41_006910	Discoba	Q14571	ITPR2	0.3663	PF08454	RIH-associated	shared	1915	2021	107			17	0					only 17/107 reference residues aligned
model_A0A6A5BJU9	AF-A0A6A5BJU9-F1	FDP41_006910	Discoba	Q14571	ITPR2	0.3663	PF00520	Ion_trans pore	generic	2265	2551	287			36	0					only 36/287 reference residues aligned
model_A0A6A5BJU9	AF-A0A6A5BJU9-F1	FDP41_006910	Discoba	Q14571		0.3663	-	outside annotated domains	none						1017	1	59.89	68.25	0.469	0.0157	
model_A0A8M6Z266	AF-A0A8M6Z266-F1	ITPR3	ITPR3	Q14573	ITPR3	0.7652	PF08709	IP$_3$-binding core (β-trefoil)	shared	3	229	227	3	230	227	1	84.79	87.19	0.9383	0.2467	
model_A0A8M6Z266	AF-A0A8M6Z266-F1	ITPR3	ITPR3	Q14573	ITPR3	0.7652	PF02815	MIR	shared	234	431	198	235	427	193	1	78.94	83.0	0.8601	0.0829	
model_A0A8M6Z266	AF-A0A8M6Z266-F1	ITPR3	ITPR3	Q14573	ITPR3	0.7652	PF01365	RIH	shared	474	670	197	470	666	197	1	81.77	82.88	0.934	0.0863	
model_A0A8M6Z266	AF-A0A8M6Z266-F1	ITPR3	ITPR3	Q14573	ITPR3	0.7652	PF01365	RIH	shared	1188	1327	140	1178	1316	139	1	80.7	81.88	0.9209	0.0	
model_A0A8M6Z266	AF-A0A8M6Z266-F1	ITPR3	ITPR3	Q14573	ITPR3	0.7652	PF08454	RIH-associated	shared	1867	1973	107	1836	1942	107	1	85.72	87.12	0.9813	0.3364	
model_A0A8M6Z266	AF-A0A8M6Z266-F1	ITPR3	ITPR3	Q14573	ITPR3	0.7652	PF00520	Ion_trans pore	generic	2240	2527	288	2197	2474	276	1	72.45	79.78	0.692	0.0109	
model_A0A8M6Z266	AF-A0A8M6Z266-F1	ITPR3	ITPR3	Q14573		0.7652	-	outside annotated domains	none						1496	1	72.54	81.19	0.7152	0.0261	
model_A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.7628	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	227	223	5	227	223	1	81.15	83.62	0.9148	0.0404	
model_A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.7628	PF02815	MIR	shared	232	431	200	232	432	199	1	74.79	81.44	0.7638	0.0352	
model_A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.7628	PF01365	RIH	shared	473	670	198	475	671	197	1	73.25	73.19	0.6701	0.0	
model_A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.7628	PF01365	RIH	shared	1194	1344	151	1186	1336	151	1	79.65	81.5	0.8808	0.0	
model_A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.7628	PF08454	RIH-associated	shared	1915	2021	107	1890	1996	107	1	79.94	83.0	0.8505	0.0935	
model_A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.7628	PF00520	Ion_trans pore	generic	2265	2551	287	2240	2516	276	1	66.07	71.03	0.5254	0.0	
model_A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	ITPR2	ITPR2	Q14571		0.7628	-	outside annotated domains	none						1512	1	66.31	74.09	0.6012	0.0026	
model_A0AAD9FCG5	AF-A0AAD9FCG5-F1	KUDE01_003980	Vertebrata	Q14643	ITPR1	0.8858	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	229	225	5	240	202	1	72.53	76.94	0.6535	0.005	
model_A0AAD9FCG5	AF-A0AAD9FCG5-F1	KUDE01_003980	Vertebrata	Q14643	ITPR1	0.8858	PF02815	MIR	shared	233	432	200	241	436	196	1	67.9	72.5	0.5765	0.0	
model_A0AAD9FCG5	AF-A0AAD9FCG5-F1	KUDE01_003980	Vertebrata	Q14643	ITPR1	0.8858	PF01365	RIH	shared	474	670	197	478	674	197	1	73.71	76.44	0.7005	0.0	
model_A0AAD9FCG5	AF-A0AAD9FCG5-F1	KUDE01_003980	Vertebrata	Q14643	ITPR1	0.8858	PF01365	RIH	shared	1204	1352	149			74	0					only 74/149 reference residues aligned
model_A0AAD9FCG5	AF-A0AAD9FCG5-F1	KUDE01_003980	Vertebrata	Q14643	ITPR1	0.8858	PF08454	RIH-associated	shared	1971	2077	107			0	0					only 0/107 reference residues aligned
model_A0AAD9FCG5	AF-A0AAD9FCG5-F1	KUDE01_003980	Vertebrata	Q14643	ITPR1	0.8858	PF00520	Ion_trans pore	generic	2363	2608	246			0	0					only 0/246 reference residues aligned
model_A0AAD9FCG5	AF-A0AAD9FCG5-F1	KUDE01_003980	Vertebrata	Q14643		0.8858	-	outside annotated domains	none						679	1	61.65	70.31	0.5066	0.0	
model_A0AAE0F2K9	AF-A0AAE0F2K9-F1	CYMTET_42485	Viridiplantae	Q14573	ITPR3	0.3447	PF08709	IP$_3$-binding core (β-trefoil)	shared	3	229	227	5	257	212	1	80.44	85.19	0.8349	0.1651	
model_A0AAE0F2K9	AF-A0AAE0F2K9-F1	CYMTET_42485	Viridiplantae	Q14573	ITPR3	0.3447	PF02815	MIR	shared	234	431	198			94	0					only 94/198 reference residues aligned
model_A0AAE0F2K9	AF-A0AAE0F2K9-F1	CYMTET_42485	Viridiplantae	Q14573	ITPR3	0.3447	PF01365	RIH	shared	474	670	197			55	0					only 55/197 reference residues aligned
model_A0AAE0F2K9	AF-A0AAE0F2K9-F1	CYMTET_42485	Viridiplantae	Q14573	ITPR3	0.3447	PF01365	RIH	shared	1188	1327	140	591	678	84	1	73.57	76.31	0.6548	0.0	
