id	section	claim	expected	found	verdict	note	source	op
CO01	constraint	ITPR2 one-ratio omega on curated sequences only is 0.0318	0.0318	0.0318	ok		results/selection/omega_table.tsv	cell
CO02	constraint	ITPR3 one-ratio omega on curated sequences only is 0.03714	0.03714	0.03714	ok		results/selection/omega_table.tsv	cell
CO03	constraint	14 coding sequences come from genome gene models	14	14	ok		results/selection/cds_status.tsv	count
CO04	constraint	43 coding sequences come from protein-database cross-references	43	43	ok		results/selection/cds_status.tsv	count
CO05	constraint	24 codons were masked across the codon set	24	24	ok		results/selection/cds_status.tsv	sum
CO06	constraint	removing the genome gene models moves omega by at most 0.0112	move ω by at most **0.0112**	move ω by at most **0.0112**	ok		results/selection/report.md	grep
CO07	constraint	the untrimmed codon alignment is 3,253 codons	codon alignment: 3253 codons	codon alignment: 3253 codons	ok		results/selection/report.md	grep
CO08	constraint	161 ITPR1 within-paralogue pairs exceed dS 1.5	161	161	ok		results/methods/saturation.tsv	cell
CO09	constraint	of 171 ITPR1 pairs	171	171	ok		results/methods/saturation.tsv	cell
CO10	constraint	373 pairs over all three paralogues are saturated	373	373	ok		results/methods/saturation.tsv	cell
CO11	constraint	of 420 pairs over all three	420	420	ok		results/methods/saturation.tsv	cell
CO12	constraint	median within-ITPR1 dS is 5.721	5.721	5.721	ok		results/methods/saturation.tsv	cell
CO13	constraint	median within-ITPR2 dS is 4.53	4.53	4.53	ok		results/methods/saturation.tsv	cell
CO14	constraint	median within-ITPR3 dS is 13.483	13.483	13.483	ok		results/methods/saturation.tsv	cell
CO15	constraint	8 sites on the ITPR1 stem clear a BEB posterior of 0.95	8	8	ok		results/selection/beb_sites.tsv	cell
CO16	constraint	ITPR1 two-ratio: foreground 0.0241 against background 0.0432	| ITPR1 | 0.0432 | **0.0241** |	| ITPR1 | 0.0432 | **0.0241** |	ok		results/selection/report.md	grep
CO17	constraint	ITPR2 two-ratio: foreground 0.0435 against background 0.0317	| ITPR2 | 0.0317 | **0.0435** |	| ITPR2 | 0.0317 | **0.0435** |	ok		results/selection/report.md	grep
CO18	constraint	ITPR3 two-ratio: foreground 0.0455 against background 0.0308	| ITPR3 | 0.0308 | **0.0455** |	| ITPR3 | 0.0308 | **0.0455** |	ok		results/selection/report.md	grep
CO19	constraint	the ITPR2 stem's omega2 class holds 0.14149 of sites	0.14149	0.14149	ok		results/selection/bs_restarts.tsv	cell
CO20	constraint	the ITPR3 stem's omega2 class holds 0.278 of sites	0.278	0.278	ok		results/selection/bs_restarts.tsv	cell
CO21	constraint	an ITPR2 stem restart at the best likelihood puts omega2 at 162	162	162.427	ok		results/selection/bs_restarts.tsv	cell
CO22	constraint	the vertebrate layer holds 57 tips	57	57	ok		results/constraint/layer_sizes.tsv	cell
CO23	constraint	the shallow ITPR1 layer holds 19 tips	19	19	ok		results/constraint/layer_sizes.tsv	cell
CO24	constraint	the shallow ITPR2 layer holds 13 tips	13	13	ok		results/constraint/layer_sizes.tsv	cell
CO25	constraint	the ITPR2 linker control mean is 0.7209	0.7209	0.7209	ok		results/constraint/constraint_by_element.tsv	cell
CO26	constraint	the ITPR3 linker control mean is 0.7214	0.7214	0.7214	ok		results/constraint/constraint_by_element.tsv	cell
CO27	constraint	the ITPR2 gate mean JSD is 0.822	0.822	0.822	ok		results/constraint/constraint_by_element.tsv	cell
CO28	constraint	the ITPR3 gate mean JSD is 0.822	0.822	0.822	ok		results/constraint/constraint_by_element.tsv	cell
CO29	constraint	the ITPR1 filter mean JSD is 0.7866	0.7866	0.7866	ok		results/constraint/constraint_by_element.tsv	cell
CO30	constraint	the ITPR2 filter mean JSD is 0.7966	0.7966	0.7966	ok		results/constraint/constraint_by_element.tsv	cell
CO31	constraint	the ITPR3 filter mean JSD is 0.8114	0.8114	0.8114	ok		results/constraint/constraint_by_element.tsv	cell
CO32	constraint	ITPR2 RIH-associated mean JSD is 0.8016	0.8016	0.8016	ok		results/constraint/constraint_by_element.tsv	cell
CO33	constraint	ITPR3 RIH-associated mean JSD is 0.7976	0.7976	0.7976	ok		results/constraint/constraint_by_element.tsv	cell
CO34	constraint	the ITPR1 pore domain without the loop scores 0.7532	0.7532	0.7532	ok		results/constraint/constraint_by_element.tsv	cell
CO35	constraint	the ITPR2 pore domain without the loop scores 0.7497	0.7497	0.7497	ok		results/constraint/constraint_by_element.tsv	cell
CO36	constraint	the ITPR3 pore domain without the loop scores 0.7489	0.7489	0.7489	ok		results/constraint/constraint_by_element.tsv	cell
CO37	constraint	the ITPR2 luminal loop scores 0.4521	0.4521	0.4521	ok		results/constraint/constraint_by_element.tsv	cell
CO38	constraint	the ITPR3 luminal loop scores 0.4846	0.4846	0.4846	ok		results/constraint/constraint_by_element.tsv	cell
