Proteome Id	Organism	Organism Id	Protein count
UP000000625	Escherichia coli (strain K12)	83333	4403
UP000001570	Bacillus subtilis (strain 168)	224308	4288
UP000000416	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	198804	562
UP000000504	Moranella endobia (strain PCIT)	903503	405
UP000000562	Wigglesworthia glossinidia brevipalpis	36870	617
UP000000579	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	1703
UP000000601	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	224915	507
UP000000669	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	372461	362
UP000000807	Mycoplasmoides genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasma genitalium)	243273	483
UP000001584	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332	3997
UP000001806	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	107806	572
UP000002192	Blochmanniella floridana	203907	583
UP000002427	Baumannia cicadellinicola subsp. Homalodisca coagulata	374463	595
UP000003937	secondary endosymbiont of Heteropsylla cubana	134287	576
UP000006811	Buchnera aphidicola (Cinara tujafilina)	261317	359
UP000007464	Blochmanniella vafra (strain BVAF)	859654	587
UP000007794	Blochmanniella pennsylvanica (strain BPEN)	291272	610
UP000009061	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	1142511	618
UP000011067	Candidatus Blochmanniella chromaiodes str. 640	1240471	609
UP000016900	Candidatus Pantoea carbekii	1235990	825
UP000031627	Candidatus Tachikawaea gelatinosa	1410383	613
UP000032420	Candidatus Johnevansia muelleri	1495769	330
UP000056466	Candidatus Palibaumannia cicadellinicola	186490	550
UP000061704	Candidatus Ishikawaella capsulata Mpkobe	476281	623
UP000069926	Candidatus Arsenophonus lipoptenae	634113	625
UP000077654	Buchnera aphidicola subsp. Schlechtendalia chinensis	118110	499
UP000092809	secondary endosymbiont of Trabutina mannipara	1835721	237
UP000095477	Candidatus Hoaglandella endobia	1778263	517
UP000095665	Candidatus Gullanella endobia	1070130	460
UP000095697	Candidatus Mikella endobia	1778264	273
UP000242301	Candidatus Providencia siddallii	1715285	621
UP000242753	Candidatus Westeberhardia cardiocondylae	1594731	372
UP000243633	Buchnera aphidicola subsp. Tuberolachnus salignus	98804	382
UP000256856	Candidatus Purcelliella pentastirinorum	472834	427
UP000266796	Candidatus Kinetoplastidibacterium kentomonadis	1576550	670
UP000274458	Candidatus Annandia adelgestsuga	1302411	285
UP000294462	Candidatus Erwinia haradaeae	1922217	630
UP000298594	Buchnera aphidicola (Brachycaudus cardui)	557993	586
UP000298603	Buchnera aphidicola (Therioaphis trifolii)	1241884	389
UP000298636	Buchnera aphidicola (Stegophylla sp.)	2315800	354
UP000298677	Buchnera aphidicola (Anoecia oenotherae)	1241833	444
UP000298782	Buchnera aphidicola (Thelaxes californica)	1315998	455
UP000317544	Buchnera aphidicola (Nipponaphis monzeni)	2495405	441
UP000683585	Candidatus Profftia tarda	1177216	645
UP001056483	Candidatus Blochmanniella camponoti	108080	610
UP001056622	Candidatus Blochmannia vicinus (nom. nud.)	251540	609
UP001056834	Candidatus Blochmannia ocreatus (nom. nud.)	251538	589
UP001497533	Candidatus Providencia siddallii	1715285	613
UP000000211	Thermus oshimai JL-2	751945	2420
UP000000212	Carnobacterium maltaromaticum LMA28	1234679	3539
UP000000230	Enterobacter sp. (strain 638)	399742	4236
UP000000231	Polynucleobacter asymbioticus (strain DSM 18221 / CIP 109841 / QLW-P1DMWA-1) (Polynucleobacter necessarius subsp. asymbioticus)	312153	2074
UP000000233	Stutzerimonas stutzeri (strain A1501) (Pseudomonas stutzeri)	379731	4092
UP000000235	Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440)	369723	4522
UP000000238	Hahella chejuensis (strain KCTC 2396)	349521	6751
UP000000239	Chromohalobacter israelensis (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11) (Chromohalobacter salexigens)	290398	3298
UP000000245	Acidiphilium cryptum (strain JF-5)	349163	3521
UP000000247	Vesicomyosocius okutanii subsp. Calyptogena okutanii (strain HA)	412965	936
UP000000248	Dichelobacter nodosus (strain VCS1703A)	246195	1273
UP000000256	Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331)	351627	2629
UP000000260	Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii)	290339	4421
UP000000263	Roseiflexus castenholzii (strain DSM 13941 / HLO8)	383372	4324
UP000000265	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	272620	5126
UP000000268	Acaryochloris marina (strain MBIC 11017)	329726	8172
UP000000269	Alkaliphilus oremlandii (strain OhILAs) (Clostridium oremlandii (strain OhILAs))	350688	2828
UP000000270	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG 6465 / NBRC 14845 / NCIMB 13405 / ORS 571)	438753	4708
UP000000271	Bacillus selenitireducens (strain ATCC 700615 / DSM 15326 / MLS10)	439292	3231
UP000000272	Thermosediminibacter oceani (strain ATCC BAA-1034 / DSM 16646 / JW/IW-1228P)	555079	2151
