species	organism	seq	role	cell	failure_mode	cell_status	annot_gene	annot_biotype	annot_frac_cds	genome_copies	annotation_loss	runs	runs_detected	reads	junction_reads	decoy_reads	decoy_covered_bases	reads_per_million	max_covered_bases	ref_len	coverage_frac	junctions_annotated	junctions_annotated_covered	junctions_unannotated	junctions_unannotated_covered	n_tissues_detected	tissues_detected	library_reads
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	fragmentation	found_unannotated					0.537	18	16	1645	940	0	0	11.424	6986	8222	0.8497	48	44	9	9	9	brain;gill;heart;intestine;kidney;liver;muscle;ovary;spleen	144000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	omission	found_unannotated					1.0	18	16	2290	1337	0	0	15.903	6850	8074	0.8484	0	0	55	52	9	brain;gill;heart;intestine;kidney;liver;muscle;ovary;spleen	144000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	fragmentation	found_unannotated					0.581	18	13	1175	719	0	0	8.16	6748	8064	0.8368	34	34	25	23	8	brain;gill;heart;intestine;kidney;liver;muscle;spleen	144000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR		found_annotated	KUDE01_024247	protein_coding	0.828			18	3	681	404	0	0	4.729	11640	14895	0.7815	93	70	21	17	2	brain;intestine	144000000
deleginoides	Dissostichus eleginoides	hk_EEF1A1|deleginoides	housekeeping	EEF1A1						5		18	8	24561	9815	0	0	170.562	1355	1440	0.941	5	5	0	0	5	brain;intestine;liver;ovary;spleen	144000000
deleginoides	Dissostichus eleginoides	hk_GAPDH|deleginoides	housekeeping	GAPDH						3		18	7	97390	86670	0	0	676.319	1005	1005	1.0	10	10	0	0	3	heart;kidney;muscle	144000000
deleginoides	Dissostichus eleginoides	hk_RPL13A|deleginoides	housekeeping	RPL13A						3		18	18	171438	131727	0	0	1190.542	618	618	1.0	6	6	0	0	9	brain;gill;heart;intestine;kidney;liver;muscle;ovary;spleen	144000000
dmawsoni	Dissostichus mawsoni	ITPR1|dmawsoni	failed	ITPR1	omission	found_unannotated					1.0	17	17	2668	1513	0	0	19.618	7392	8228	0.8984	0	0	57	55	9	brain;gill;intestine;kidney;liver;muscle;ovary;skin;spleen	136000000
dmawsoni	Dissostichus mawsoni	ITPR2|dmawsoni	failed	ITPR2	truncation	found_unannotated					0.876	17	17	5495	3223	0	0	40.404	7927	8065	0.9829	1	1	54	50	9	brain;gill;intestine;kidney;liver;muscle;ovary;skin;spleen	136000000
dmawsoni	Dissostichus mawsoni	ITPR3|dmawsoni	failed	ITPR3	truncation	found_unannotated					0.989	17	16	5035	3189	0	0	37.022	8011	8058	0.9942	0	0	59	58	8	brain;gill;intestine;kidney;liver;muscle;skin;spleen	136000000
dmawsoni	Dissostichus mawsoni	RYR|dmawsoni	control_family	RYR		found_annotated	F7725_014813	protein_coding	0.564			17	10	565	356	0	0	4.154	7973	14887	0.5356	80	49	34	21	6	brain;intestine;kidney;liver;skin;spleen	136000000
dmawsoni	Dissostichus mawsoni	hk_EEF1A1|dmawsoni	housekeeping	EEF1A1						5		17	3	826	252	0	0	6.074	1387	1389	0.9986	6	6	0	0	2	brain;intestine	136000000
dmawsoni	Dissostichus mawsoni	hk_GAPDH|dmawsoni	housekeeping	GAPDH						3		17	4	32845	30743	0	0	241.507	1003	1003	1.0	9	9	1	1	1	muscle	136000000
dmawsoni	Dissostichus mawsoni	hk_RPL13A|dmawsoni	housekeeping	RPL13A						1		17	17	87324	79527	0	0	642.088	618	618	1.0	6	6	0	0	9	brain;gill;intestine;kidney;liver;muscle;ovary;skin;spleen	136000000
nalbiflora	Nibea albiflora	ITPR1|nalbiflora	control_paralog	ITPR1		found_annotated	ITPR1	pseudogene	0.98		0.02	32	32	5307	4137	0	0	20.73	8204	8255	0.9938	46	45	11	9	6	gill;kidney;liver;muscle;spleen;testis	256000000
nalbiflora	Nibea albiflora	ITPR2|nalbiflora	failed	ITPR2	omission	found_unannotated					1.0	32	31	5672	4342	0	0	22.156	7952	8021	0.9914	0	0	55	51	6	gill;kidney;liver;muscle;spleen;testis	256000000
nalbiflora	Nibea albiflora	ITPR3|nalbiflora	control_paralog	ITPR3		found_annotated	ITPR2	pseudogene	0.966		0.034	32	31	5340	4185	42	64	20.859	8053	8185	0.9839	41	39	16	16	6	gill;kidney;liver;muscle;spleen;testis	256000000
nalbiflora	Nibea albiflora	RYR|nalbiflora	control_family	RYR		found_unannotated						32	23	1553	1281	0	0	6.066	9267	14961	0.6194	0	0	115	109	3	kidney;liver;testis	256000000
nalbiflora	Nibea albiflora	hk_EEF1A1|nalbiflora	housekeeping	EEF1A1						6		32	18	447	239	0	0	1.746	1343	1389	0.9669	6	6	0	0	4	gill;kidney;spleen;testis	256000000
nalbiflora	Nibea albiflora	hk_GAPDH|nalbiflora	housekeeping	GAPDH						3		32	26	63043	61647	0	0	246.262	1005	1005	1.0	0	0	10	10	5	gill;kidney;liver;muscle;testis	256000000
nalbiflora	Nibea albiflora	hk_RPL13A|nalbiflora	housekeeping	RPL13A						1		32	32	249131	219990	0	0	973.168	618	618	1.0	5	5	1	1	6	gill;kidney;liver;muscle;spleen;testis	256000000
