accession	organism	vclass	vorder	pair	pair_class	n_mapped_a	n_mapped_b	n_links	n_links_2R	n_families	link_symbols
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	7	10	0	0	0	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	17	1	0	1	BHLHE40-BHLHE41
GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	12	1	1	1	GRM7-GRM4
GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	12	0	0	0	
GCF_030867095.1	Alligator mississippiensis	Crocodylia	Crocodylia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	17	1	0	1	BHLHE40-BHLHE41
GCF_030867095.1	Alligator mississippiensis	Crocodylia	Crocodylia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	16	1	1	1	GRM7-GRM4
GCF_030867095.1	Alligator mississippiensis	Crocodylia	Crocodylia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	16	0	0	0	
GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	11	1	0	1	BHLHE40-BHLHE41
GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	5	1	0	1	ARL8B-ARL8A
GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	5	0	0	0	
GCF_949987685.1	Ammodytes marinus	Actinopteri	Uranoscopiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	14	1	0	1	BHLHE40-BHLHE41
GCF_047663525.1	Anas platyrhynchos	Aves	Anseriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	19	1	0	1	BHLHE40-BHLHE41
GCF_047663525.1	Anas platyrhynchos	Aves	Anseriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	17	1	1	1	GRM7-GRM4
GCF_047663525.1	Anas platyrhynchos	Aves	Anseriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_040054535.1	Antennarius striatus	Actinopteri	Lophiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	12	1	0	1	BHLHE40-BHLHE41
GCF_040054535.1	Antennarius striatus	Actinopteri	Lophiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	8	0	0	0	
GCF_040054535.1	Antennarius striatus	Actinopteri	Lophiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	8	0	0	0	
GCF_041296385.2	Aphelocoma coerulescens	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	15	0	0	0	
GCF_041296385.2	Aphelocoma coerulescens	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	16	1	1	1	GRM7-GRM4
GCF_041296385.2	Aphelocoma coerulescens	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	16	0	0	0	
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	8	13	0	0	0	
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	8	8	0	0	0	
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	8	0	0	0	
GCF_000699145.1	Aptenodytes forsteri	Aves	Sphenisciformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	14	1	0	1	BHLHE40-BHLHE41
GCF_000699145.1	Aptenodytes forsteri	Aves	Sphenisciformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	15	1	1	1	GRM7-GRM4
GCF_000699145.1	Aptenodytes forsteri	Aves	Sphenisciformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	15	0	0	0	
GCF_965638725.1	Aptenodytes patagonicus	Aves	Sphenisciformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_965638725.1	Aptenodytes patagonicus	Aves	Sphenisciformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_965638725.1	Aptenodytes patagonicus	Aves	Sphenisciformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_036417845.1	Apteryx mantelli	Aves	Apterygiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
