paralog	element	n_sites	median_beta	mean_beta	frac_purifying_q05	n_usable_alpha	median_omega_usable	n_alpha_at_bound
ITPR1	MIR	189	0.0	0.0288	0.8624	183	0.0	0
ITPR1	RIH_C	145	0.0	0.0381	0.7931	137	0.0	0
ITPR1	RIH_N	186	0.0	0.0139	0.8978	179	0.0	0
ITPR1	RIH_assoc	107	0.0	0.0101	0.8879	104	0.0	0
ITPR1	WHOLE_PROTEIN	2456	0.0	0.0349	0.8603	2348	0.0	11
ITPR1	channel	183	0.0354	0.0476	0.8634	178	0.0088	0
ITPR1	cterm	143	0.0	0.0219	0.8601	133	0.0	2
ITPR1	filter_lining	2	0.0	0.0	1.0	2	0.0	0
ITPR1	gate	5	0.0	0.0	1.0	5	0.0	0
ITPR1	gate_lining	2	0.0	0.0	1.0	2	0.0	0
ITPR1	ip3_contact	10	0.0	0.0	1.0	10	0.0	0
ITPR1	linker_MIR_RIH_N	41	0.0	0.0073	0.9268	40	0.0	0
ITPR1	linker_RIH_C_RIH_assoc	498	0.0	0.0303	0.8675	473	0.0	2
ITPR1	linker_RIH_N_RIH_C	465	0.0	0.0438	0.8538	445	0.0	1
ITPR1	linker_RIH_assoc_channel	269	0.0372	0.0521	0.8625	259	0.0129	2
ITPR1	linker_nterm_trefoil_MIR	3	0.0418	0.1179	1.0	3	0.042	0
ITPR1	luminal_loop	15	0.3275	0.3618	0.2667	15	0.2404	0
ITPR1	nterm_trefoil	200	0.0	0.0187	0.87	187	0.0	4
ITPR1	selectivity_filter	7	0.0	0.0	1.0	7	0.0	0
ITPR2	MIR	190	0.0	0.0478	0.7895	165	0.0	0
ITPR2	RIH_C	149	0.0	0.0506	0.7114	129	0.0	1
ITPR2	RIH_N	186	0.0	0.0411	0.7312	165	0.0	0
ITPR2	RIH_assoc	107	0.0	0.0323	0.7383	93	0.0	0
ITPR2	WHOLE_PROTEIN	2455	0.0	0.0656	0.712	2137	0.0	13
ITPR2	channel	225	0.0	0.0636	0.7467	206	0.0	3
ITPR2	cterm	143	0.0	0.0407	0.7343	118	0.0	0
ITPR2	filter_lining	2	0.0001	0.0001	1.0	2	0.0001	0
ITPR2	gate	5	0.0	0.0	0.6	5	0.0	0
ITPR2	gate_lining	2	0.0	0.0	0.5	2	0.0	0
ITPR2	ip3_contact	10	0.0	0.0	1.0	8	0.0	0
ITPR2	linker_MIR_RIH_N	41	0.0	0.0952	0.7317	37	0.0001	0
ITPR2	linker_RIH_C_RIH_assoc	497	0.0001	0.0827	0.6942	430	0.0162	3
ITPR2	linker_RIH_N_RIH_C	461	0.0	0.0882	0.6898	400	0.0001	4
ITPR2	linker_RIH_assoc_channel	227	0.0	0.0666	0.652	201	0.0	1
ITPR2	linker_nterm_trefoil_MIR	4	0.124	0.1552	0.5	4	0.0733	0
ITPR2	luminal_loop	15	0.3902	0.4383	0.3333	14	0.1841	1
ITPR2	nterm_trefoil	198	0.0	0.0259	0.7374	163	0.0	0
ITPR2	selectivity_filter	7	0.0	0.0196	1.0	7	0.0	0
ITPR3	MIR	189	0.0	0.0444	0.8466	170	0.0	1
ITPR3	RIH_C	139	0.0	0.058	0.7482	121	0.0001	0
ITPR3	RIH_N	185	0.0	0.0519	0.8216	175	0.0002	1
ITPR3	RIH_assoc	107	0.0	0.0282	0.8318	94	0.0	0
ITPR3	WHOLE_PROTEIN	2457	0.0	0.0687	0.7733	2212	0.0	13
ITPR3	channel	226	0.0	0.0406	0.8628	206	0.0	0
ITPR3	cterm	143	0.0	0.0628	0.8042	123	0.0	2
ITPR3	filter_lining	2	0.0	0.0	1.0	2	0.0	0
ITPR3	gate	5	0.0	0.0	1.0	5	0.0	0
ITPR3	gate_lining	2	0.0	0.0	1.0	2	0.0	0
ITPR3	ip3_contact	10	0.0	0.0245	1.0	9	0.0	0
ITPR3	linker_MIR_RIH_N	42	0.0001	0.0747	0.7857	40	0.0001	0
ITPR3	linker_RIH_C_RIH_assoc	504	0.0428	0.1087	0.6925	461	0.0495	0
ITPR3	linker_RIH_N_RIH_C	466	0.0369	0.0868	0.7618	420	0.0228	5
ITPR3	linker_RIH_assoc_channel	226	0.0	0.0502	0.7389	199	0.0	2
ITPR3	linker_nterm_trefoil_MIR	4	0.1262	0.132	0.25	4	0.1781	0
ITPR3	luminal_loop	15	0.3946	0.3646	0.2667	15	0.3342	0
ITPR3	nterm_trefoil	199	0.0	0.0294	0.8241	172	0.0	2
ITPR3	selectivity_filter	7	0.0	0.0	1.0	7	0.0	0
