group	profile	accession	target	species	taxon_id	gene	length	full_evalue	full_score	hmm_coverage	qlen	positions	protein_name
fungi	itpr	A0ABR2W6A1	tr|A0ABR2W6A1|A0ABR2W6A1_9FUNG	Basidiobolus ranarum	34480	K7432_003395	2502	0.0	2077.4	0.969	2684	2601	Uncharacterized protein
fungi	itpr	A0A1Y1XHY3	tr|A0A1Y1XHY3|A0A1Y1XHY3_9FUNG	Basidiobolus meristosporus CBS 931.73	1314790	K493DRAFT_341790	2495	0.0	1889.0	0.942	2684	2528	Uncharacterized protein
fungi	itpr	A0A1Y1YQ92	tr|A0A1Y1YQ92|A0A1Y1YQ92_9FUNG	Basidiobolus meristosporus CBS 931.73	1314790	K493DRAFT_348021	2278	0.0	1647.1	0.853	2684	2289	MIR domain-containing protein
fungi	itpr	A0A1Y2B255	tr|A0A1Y2B255|A0A1Y2B255_9FUNG	Rhizoclosmatium globosum	329046	BCR33DRAFT_724882	3246	0.0	1361.5	0.969	2684	2601	MIR domain-containing protein
fungi	itpr	A0A433QY11	tr|A0A433QY11|A0A433QY11_9FUNG	Jimgerdemannia flammicorona	994334	BC938DRAFT_479224	2599	0.0	1348.6	0.896	2684	2405	MIR domain-containing protein
fungi	itpr	A0A507FK04	tr|A0A507FK04|A0A507FK04_9FUNG	Chytriomyces confervae	246404	CcCBS67573_g02688	3329	0.0	1324.3	0.905	2684	2429	MIR domain-containing protein
fungi	itpr	A0ACC2TPX2	tr|A0ACC2TPX2|A0ACC2TPX2_9FUNG	Entomophthora muscae	34485	DSO57_1024190	2567	0.0	1322.1	0.884	2684	2373	MIR domain-containing protein
fungi	itpr	A0AAD5K078	tr|A0AAD5K078|A0AAD5K078_9FUNG	Phascolomyces articulosus	60185	BDA99DRAFT_575816	2588	0.0	1308.4	0.909	2684	2440	Uncharacterized protein
fungi	itpr	A0AAD7UQL8	tr|A0AAD7UQL8|A0AAD7UQL8_9FUNG	Lichtheimia ornata	688661	O0I10_012669	2610	0.0	1300.3	0.912	2684	2448	Inositol 1,4,5-trisphosphate receptor type 3
fungi	itpr	A0ABR4NID5	tr|A0ABR4NID5|A0ABR4NID5_9FUNG	Polyrhizophydium stewartii	2732419	HK105_200862	4446	0.0	1298.5	0.966	2684	2593	Protein kinase domain-containing protein
fungi	itpr	A0ABR4NG49	tr|A0ABR4NG49|A0ABR4NG49_9FUNG	Polyrhizophydium stewartii	2732419	HK105_201920	3104	0.0	1281.9	0.967	2684	2595	Uncharacterized protein
fungi	itpr	A0A162V9Q6	tr|A0A162V9Q6|A0A162V9Q6_PHYB8	Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555)	763407	PHYBLDRAFT_184553	2551	0.0	1280.0	0.933	2684	2504	IP3 receptor
fungi	itpr	A0ABR3B852	tr|A0ABR3B852|A0ABR3B852_PHYBL	Phycomyces blakesleeanus	4837	J3Q64DRAFT_1846802	2551	0.0	1280.0	0.933	2684	2504	IP3 receptor
fungi	itpr	A0A1X2IXV9	tr|A0A1X2IXV9|A0A1X2IXV9_9FUNG	Absidia repens	90262	BCR42DRAFT_402338	2651	0.0	1263.7	0.972	2684	2609	Uncharacterized protein
fungi	itpr	S2J437	tr|S2J437|S2J437_MUCC1	Mucor circinelloides f. circinelloides (strain 1006PhL)	1220926	HMPREF1544_08383	2592	0.0	1245.6	0.974	2684	2614	MIR domain-containing protein
fungi	itpr	A0AAN7D8C4	tr|A0AAN7D8C4|A0AAN7D8C4_9FUNG	Mucor velutinosus	708070	ATC70_007105	2613	0.0	1245.2	0.974	2684	2614	Uncharacterized protein
fungi	itpr	A0A8H7VCW8	tr|A0A8H7VCW8|A0A8H7VCW8_9FUNG	Mucor plumbeus	97098	INT46_007433	2604	0.0	1226.9	0.973	2684	2612	Uncharacterized protein
fungi	itpr	A0A1X2G6S3	tr|A0A1X2G6S3|A0A1X2G6S3_9FUNG	Hesseltinella vesiculosa	101127	DM01DRAFT_321913	2642	0.0	1217.1	0.974	2684	2614	MIR domain-containing protein
fungi	itpr	A0A168KKP7	tr|A0A168KKP7|A0A168KKP7_MUCCL	Mucor lusitanicus CBS 277.49	747725	MUCCIDRAFT_111891	2620	0.0	1216.1	0.973	2684	2612	Uncharacterized protein
fungi	itpr	A0A0C9M4R7	tr|A0A0C9M4R7|A0A0C9M4R7_9FUNG	Mucor ambiguus	91626	MAM1_0060c03786	2599	0.0	1182.9	0.973	2684	2612	MIR domain-containing protein
fungi	itpr	A0AAD5U9K5	tr|A0AAD5U9K5|A0AAD5U9K5_9FUNG	Clydaea vesicula	447962	HK099_005063	2759	0.0	1156.3	0.911	2684	2445	Inositol 1,4,5-trisphosphate receptor
fungi	itpr	A0A8H7BU48	tr|A0A8H7BU48|A0A8H7BU48_9FUNG	Apophysomyces ossiformis	679940	EC973_001941	2391	0.0	1152.1	0.88	2684	2362	Uncharacterized protein
fungi	itpr	A0A1C7NSC1	tr|A0A1C7NSC1|A0A1C7NSC1_9FUNG	Choanephora cucurbitarum	101091	Itpr3	2547	0.0	1151.6	0.974	2684	2614	Inositol 1,4,5-trisphosphate receptor type 3
fungi	itpr	A0ABR2WSE9	tr|A0ABR2WSE9|A0ABR2WSE9_9FUNG	Basidiobolus ranarum	34480	K7432_008041	1356	0.0	1068.4	0.498	2684	1337	Uncharacterized protein
fungi	itpr	A0A168RJ50	tr|A0A168RJ50|A0A168RJ50_ABSGL	Absidia glauca	4829	ABSGL_12645.1	2540	3.5e-301	1012.5	0.901	2684	2418	Inositol 1,4,5-trisphosphate receptor type 3
fungi	itpr	A0AAD5SYU5	tr|A0AAD5SYU5|A0AAD5SYU5_9FUNG	Physocladia obscura	109957	HK100_001428	2858	2.7e-271	913.3	0.833	2684	2236	Uncharacterized protein (Fragment)
fungi	itpr	A0ABR2WSM3	tr|A0ABR2WSM3|A0ABR2WSM3_9FUNG	Basidiobolus ranarum	34480	K7432_007884	1054	7.8e-223	752.6	0.401	2684	1076	MIR domain-containing protein (Fragment)
fungi	itpr	A0A4P9Y2S6	tr|A0A4P9Y2S6|A0A4P9Y2S6_9FUNG	Piptocephalis cylindrospora	1907219	BJ684DRAFT_20267	1019	2e-175	595.3	0.284	2684	762	Ion transport domain-containing protein
fungi	itpr	A0A367KEP6	tr|A0A367KEP6|A0A367KEP6_RHIST	Rhizopus stolonifer	4846	CU098_000902	1501	5.5e-131	447.9	0.543	2684	1457	RyR/IP3R Homology associated domain-containing protein (Fragment)
fungi	itpr	A0AAD5XWK9	tr|A0AAD5XWK9|A0AAD5XWK9_9FUNG	Clydaea vesicula	447962	HK099_002856	2327	1.4e-122	420.0	0.696	2684	1868	Uncharacterized protein
fungi	itpr	A0AAD5U2Z8	tr|A0AAD5U2Z8|A0AAD5U2Z8_9FUNG	Clydaea vesicula	447962	HK099_002047	1920	5.6e-116	398.1	0.656	2684	1761	Uncharacterized protein (Fragment)
fungi	itpr	A0A4P9W363	tr|A0A4P9W363|A0A4P9W363_9FUNG	Blyttiomyces helicus	388810	BDK51DRAFT_47624	756	1e-103	357.4	0.209	2684	561	RyR and IP3R homology associated-domain-containing protein
fungi	itpr	A0A8H7QTF2	tr|A0A8H7QTF2|A0A8H7QTF2_9FUNG	Mucor saturninus	64648	INT47_004440	309	3.7e-43	156.5	0.059	2684	158	Ion transport domain-containing protein (Fragment)
