accession	organism	vclass	vorder	assembly_level	contig_n50	contig_spans_gene	cell	n_loci	n_copies	n_intact_copies	n_contigs	same_contig_copies	max_coverage	annot_named	copy_contigs
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	0	ITPR1	1	0	0	0	0	0.3343	0	
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	0	ITPR2	1	0	0	0	0	0.387	0	
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	0	ITPR3	1	1	1	1	0	0.8239	0	KL257532.1
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	0	RYR	3	0	0	0	0	0.4775	0	
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	0	ITPR2	1	0	0	0	0	0.3752	0	
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	0	ITPR3	1	1	1	1	0	0.7477	1	KL301852.1
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	0	RYR	4	0	0	0	0	0.4831	0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	0	ITPR1	1	1	1	1	0	1.0	0	CM008031.1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	0	ITPR2	1	1	1	1	0	1.0	0	CM008029.1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	0	RYR	3	3	3	3	0	1.0	0	CM008011.1;CM008019.1;CM008022.1
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Scaffold	21257	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Scaffold	21257	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Scaffold	21257	0	ITPR3	1	1	1	1	0	0.9801	1	KZ509852.1
