gene	other	contrast	class_bucket	n_positions	n_identical	frac_identical	comparator_frac	comparator_n	odds_ratio	p_fisher
ITPR1	ITPR2	P/LP vs all aligned columns	P/LP	39	37	0.9487	0.7026	2666	7.833	0.0003
ITPR1	ITPR2	B/LB vs all aligned columns	B/LB	15	9	0.6	0.7026	2666	0.635	0.4016
ITPR1	ITPR2	VUS vs all aligned columns	VUS	687	416	0.6055	0.7026	2666	0.65	1.66903e-06
ITPR1	ITPR2	P/LP vs B/LB	P/LP	39	37	0.9487	0.6	15	12.333	0.0038
ITPR1	ITPR3	P/LP vs all aligned columns	P/LP	39	35	0.8974	0.6405	2615	4.91	0.0006
ITPR1	ITPR3	B/LB vs all aligned columns	B/LB	15	5	0.3333	0.6405	2615	0.281	0.0268
ITPR1	ITPR3	VUS vs all aligned columns	VUS	661	347	0.525	0.6405	2615	0.62	7.15393e-08
ITPR1	ITPR3	P/LP vs B/LB	P/LP	39	35	0.8974	0.3333	15	17.5	8.00573e-05
ITPR2	ITPR1	P/LP vs all aligned columns	P/LP	1	1	1.0	0.7026	2666	inf	1.0
ITPR2	ITPR1	B/LB vs all aligned columns	B/LB	11	4	0.3636	0.7026	2666	0.242	0.0209
ITPR2	ITPR1	VUS vs all aligned columns	VUS	241	149	0.6183	0.7026	2666	0.686	0.0084
ITPR2	ITPR1	P/LP vs B/LB	P/LP	1	1	1.0	0.3636	11	inf	0.4167
ITPR2	ITPR3	P/LP vs all aligned columns	P/LP	1	1	1.0	0.6628	2616	inf	1.0
ITPR2	ITPR3	B/LB vs all aligned columns	B/LB	10	3	0.3	0.6628	2616	0.218	0.0372
ITPR2	ITPR3	VUS vs all aligned columns	VUS	232	135	0.5819	0.6628	2616	0.708	0.0142
ITPR2	ITPR3	P/LP vs B/LB	P/LP	1	1	1.0	0.3	10	inf	0.3636
ITPR3	ITPR1	P/LP vs all aligned columns	P/LP	5	4	0.8	0.6405	2615	2.245	0.6602
ITPR3	ITPR1	B/LB vs all aligned columns	B/LB	17	7	0.4118	0.6405	2615	0.393	0.073
ITPR3	ITPR1	VUS vs all aligned columns	VUS	352	199	0.5653	0.6405	2615	0.73	0.0068
ITPR3	ITPR1	P/LP vs B/LB	P/LP	5	4	0.8	0.4118	17	5.714	0.3108
ITPR3	ITPR2	P/LP vs all aligned columns	P/LP	5	4	0.8	0.6628	2616	2.035	0.6688
ITPR3	ITPR2	B/LB vs all aligned columns	B/LB	17	9	0.5294	0.6628	2616	0.572	0.3035
ITPR3	ITPR2	VUS vs all aligned columns	VUS	351	206	0.5869	0.6628	2616	0.723	0.0059
ITPR3	ITPR2	P/LP vs B/LB	P/LP	5	4	0.8	0.5294	17	3.556	0.3602
POOLED	ITPR1	P/LP vs B/LB	P/LP	6	5	0.8333	0.3929	28	7.727	0.0782
POOLED	ITPR2	P/LP vs B/LB	P/LP	44	41	0.9318	0.5625	32	10.63	0.0002
POOLED	ITPR3	P/LP vs B/LB	P/LP	40	36	0.9	0.32	25	19.125	1.70819e-06
