accession	organism	vclass	cell	bait	clade	family	class	contig_a	start_a	end_a	strand_a	cov_a	contig_b	start_b	end_b	strand_b	cov_b	q_overlap_frac	genomic_gap_bp	same_contig	same_strand	within_one_locus
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM008011.1	60192955	60327999	-	0.9972	CM008019.1	88509295	89000825	-	0.9972	1	-1	0	1	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM008011.1	60192955	60327999	-	0.9972	CM008022.1	12245628	13191845	+	0.9972	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM008019.1	88509295	89000825	-	0.9972	CM008022.1	12245628	13191845	+	0.9972	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM008011.1	60192955	60333350	-	1	CM008019.1	88509295	89000828	-	0.9968	1	-1	0	1	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM008011.1	60192955	60333350	-	1	CM008022.1	12245616	13191845	+	0.9974	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM008019.1	88509295	89000828	-	0.9968	CM008022.1	12245616	13191845	+	0.9974	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM008011.1	60192955	60333350	-	1	CM008019.1	88509295	89000828	-	0.9969	1	-1	0	1	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM008011.1	60192955	60333350	-	1	CM008022.1	12245616	13191845	+	0.9975	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM008019.1	88509295	89000828	-	0.9969	CM008022.1	12245616	13191845	+	0.9975	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM008011.1	60192955	60333350	-	1	CM008019.1	88509295	89000828	-	0.997	1	-1	0	1	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM008011.1	60192955	60333350	-	1	CM008022.1	12245616	13191845	+	0.9976	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM008019.1	88509295	89000828	-	0.997	CM008022.1	12245616	13191845	+	0.9976	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM008011.1	60192955	60327999	-	1	CM008019.1	88509295	89000825	-	1	1	-1	0	1	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM008011.1	60192955	60327999	-	1	CM008022.1	12245628	13191845	+	1	1	-1	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM008019.1	88509295	89000825	-	1	CM008022.1	12245628	13191845	+	1	1	-1	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0A4W3I1N0	RYR	RYR	dispersed	KZ505650.1	1666277	1978394	+	0.9972	KZ505716.1	586247	763511	-	0.9972	1	-1	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	KZ505650.1	1666274	1978394	+	0.9968	KZ505716.1	586247	805857	-	1	1	-1	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0AAJ7XD62	RYR	RYR	dispersed	KZ505650.1	1666274	1978394	+	0.9969	KZ505716.1	586247	805857	-	1	1	-1	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0AC58GZ77	RYR	RYR	dispersed	KZ505650.1	1666274	1978394	+	0.997	KZ505716.1	586247	805857	-	1	1	-1	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	H3BGR5	RYR	RYR	dispersed	KZ505650.1	1666277	1978394	+	1	KZ505716.1	586247	763511	-	1	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A4W3I1N0	RYR	RYR	dispersed	QEPC01001878.1	319223	437983	-	0.9972	QEPC01010682.1	4279290	5346596	+	1	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A4W3I1N0	RYR	RYR	dispersed	QEPC01001878.1	319223	437983	-	0.9972	QEPC01010852.1	1870486	2749155	+	0.9972	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A4W3I1N0	RYR	RYR	dispersed	QEPC01010682.1	4279290	5346596	+	1	QEPC01010852.1	1870486	2749155	+	0.9972	1	-1	0	1	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	QEPC01001878.1	319223	437986	-	0.9968	QEPC01010682.1	4003349	5346596	+	1	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	QEPC01001878.1	319223	437986	-	0.9968	QEPC01010852.1	1631536	2749155	+	1	1	-1	0	0	0
