job	set	n_classes	omegas	props	omega_max	p_omega_max	class_above_one
m1a_ITPR1	ITPR1	2	0.02114;1.00000	0.97951;0.02049	1	0.02049	0
m2a_ITPR1	ITPR1	3	0.02114;1.00000;20.81630	0.97951;0.02049;0.00000	20.8163	0	1
m7_ITPR1	ITPR1	10	0.00000;0.00002;0.00020;0.00093;0.00293;0.00744;0.01655;0.03421;0.07007;0.16616	0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000	0.16616	0.1	0
m8_ITPR1	ITPR1	11	0.00000;0.00003;0.00025;0.00105;0.00311;0.00754;0.01615;0.03239;0.06469;0.15034;1.00000	0.09969;0.09969;0.09969;0.09969;0.09969;0.09969;0.09969;0.09969;0.09969;0.09969;0.00307	1	0.00307	0
m1a_ITPR2	ITPR2	2	0.03360;1.00000	0.94464;0.05536	1	0.05536	0
m2a_ITPR2	ITPR2	3	0.03360;1.00000;36.48064	0.94464;0.05536;0.00000	36.4806	0	1
m7_ITPR2	ITPR2	10	0.00000;0.00007;0.00056;0.00231;0.00670;0.01592;0.03345;0.06571;0.12770;0.28042	0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000	0.28042	0.1	0
m8_ITPR2	ITPR2	11	0.00000;0.00009;0.00069;0.00259;0.00700;0.01575;0.03169;0.06016;0.11379;0.24573;1.00000	0.09932;0.09932;0.09932;0.09932;0.09932;0.09932;0.09932;0.09932;0.09932;0.09932;0.00680	1	0.0068	0
m1a_ITPR3	ITPR3	2	0.03442;1.00000	0.94109;0.05891	1	0.05891	0
m2a_ITPR3	ITPR3	3	0.03442;1.00000;94.21333	0.94109;0.05891;0.00000	94.2133	0	1
m7_ITPR3	ITPR3	10	0.00000;0.00012;0.00085;0.00312;0.00831;0.01845;0.03675;0.06905;0.12920;0.27430	0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000;0.10000	0.2743	0.1	0
m8_ITPR3	ITPR3	11	0.00000;0.00014;0.00094;0.00327;0.00840;0.01814;0.03532;0.06518;0.12027;0.25324;1.00000	0.09961;0.09961;0.09961;0.09961;0.09961;0.09961;0.09961;0.09961;0.09961;0.09961;0.00394	1	0.00394	0
