accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	group
A0A022PPE5	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	44.8	44.8	1.0		8e-10	8e-10	0.0	0.011	0	54	0.216	518	MIMGU_mgv1a004597mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022PQY8	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	32.5	32.5	1.0		4.1e-06	4.1e-06	0.0	0.012	0	59	0.196	578	MIMGU_mgv1a003552mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022PTT1	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	33.4	33.4	1.0		2.2e-06	2.2e-06	0.0	0.013	0	64	0.72	168	MIMGU_mgv1a015081mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022Q411	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	40.9	40.9	1.0		1.2e-08	1.2e-08	0.0	0.012	0	59	0.221	515	MIMGU_mgv1a004683mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022Q4U8	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	44.4	44.4	1.0		1.1e-09	1.1e-09	0.0	0.013	0	64	0.836	146	MIMGU_mgv1a023810mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein (Fragment)	viridiplantae
A0A022Q6U9	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	39.7	39.7	1.0		2.8e-08	2.8e-08	0.0	0.013	0	64	0.635	192	MIMGU_mgv1a018292mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022Q8X1	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	48.7	48.7	1.0		5.5e-11	5.5e-11	0.0	0.013	0	64	0.82	150	MIMGU_mgv1a023732mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022QA84	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	58.8	58.8	1.0		4.8e-14	4.8e-14	0.0	0.015	0	74	0.872	149	MIMGU_mgv1a015687mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022QB08	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	44.2	44.2	1.0		1.2e-09	1.2e-09	0.0	0.012	0	59	0.823	141	MIMGU_mgv1a019170mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein (Fragment)	viridiplantae
A0A022QBH5	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	34.3	34.3	1.0		1.2e-06	1.2e-06	0.0	0.012	0	59	0.522	228	MIMGU_mgv1a013198mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022QEA6	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	45.2	45.2	1.0		6e-10	6e-10	0.0	0.012	0	59	0.781	151	MIMGU_mgv1a019086mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022QFE6	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	31.9	31.9	1.0		6e-06	6e-06	0.0	0.012	0	59	0.216	528	MIMGU_mgv1a004415mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022QHA4	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	49.7	49.7	1.0		2.7e-11	2.7e-11	0.0	0.012	0	59	0.214	528	MIMGU_mgv1a004414mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022QN39	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	32.6	32.6	1.0		3.8e-06	3.8e-06	0.0	0.011	0	54	0.594	187	MIMGU_mgv1a025962mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022QR46	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	36.2	36.2	1.0		3.1e-07	3.1e-07	0.0	0.012	0	59	0.577	201	MIMGU_mgv1a0126791mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein (Fragment)	viridiplantae
A0A022QUX0	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	42.7	42.7	1.0		3.6e-09	3.6e-09	0.0	0.019	0	94	0.226	434	MIMGU_mgv1a006700mg	Erythranthe guttata	4155	0	B30.2/SPRY domain-containing protein	viridiplantae
A0A022QX29	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	85.9	85.9	1.0		3.4e-22	3.4e-22	0.0	0.026	0	128	0.099	1270	MIMGU_mgv1a000312mg	Erythranthe guttata	4155	0	RING-type E3 ubiquitin transferase	viridiplantae
A0A022R0Y0	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	41.7	41.7	1.0		7e-09	7e-09	0.0	0.011	0	54	0.206	539	MIMGU_mgv1a004201mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022R2X5	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	32.6	32.6	1.0		3.9e-06	3.9e-06	0.0	0.012	0	59	0.558	208	MIMGU_mgv1a013873mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022R5Z6	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	57.7	57.7	1.0		1e-13	1e-13	0.0	0.015	0	74	0.872	149	MIMGU_mgv1a015693mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022R666	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	43.8	43.8	1.0		1.6e-09	1.6e-09	0.0	0.012	0	59	0.212	532	MIMGU_mgv1a004350mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022RBH6	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	37.3	37.3	1.0		1.5e-07	1.5e-07	0.0	0.011	0	54	0.628	183	MIMGU_mgv1a014630mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022RFA5	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	32.0	32.0	1.0		5.9e-06	5.9e-06	0.0	0.013	0	64	0.192	630	MIMGU_mgv1a002855mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022RJP8	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	35.0	35.0	1.0		7.3e-07	7.3e-07	0.0	0.011	0	54	0.717	159	MIMGU_mgv1a015381mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022RKI4	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	38.8	38.8	1.0		5.2e-08	5.2e-08	0.0	0.019	0	94	0.317	312	MIMGU_mgv1a022239mg	Erythranthe guttata	4155	0	B30.2/SPRY domain-containing protein (Fragment)	viridiplantae
A0A022RN24	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	47.5	47.5	1.0		1.2e-10	1.2e-10	0.0	0.012	0	59	0.781	151	MIMGU_mgv1a021942mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022S018	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	33.1	33.1	1.0		2.7e-06	2.7e-06	0.0	0.012	0	59	0.691	165	MIMGU_mgv1a015181mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022S061	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	58.9	58.9	1.0		4.5e-14	4.5e-14	0.0	0.015	0	74	0.872	149	MIMGU_mgv1a015677mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022S086	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	40.0	40.0	1.0		2.3e-08	2.3e-08	0.0	0.011	0	54	0.211	531	MIMGU_mgv1a004352mg	Erythranthe guttata	4155	0	non-specific serine/threonine protein kinase	viridiplantae
A0A022S192	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	41.9	41.9	1.0		5.9e-09	5.9e-09	0.0	0.011	0	54	0.753	150	MIMGU_mgv1a021796mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022S193	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	32.9	32.9	1.0		3.1e-06	3.1e-06	0.0	0.012	0	59	0.76	154	MIMGU_mgv1a022077mg	Erythranthe guttata	4155	0	EF-hand domain-containing protein	viridiplantae
A0A022S1V6	unassigned	none	module	ryr.hmm matched only 99 profile positions (< 200) — a shared module, not a family assignment	0.0	38.0	38.0	1.0		9e-08	9e-08	0.0	0.02	0	99	0.238	454	MIMGU_mgv1a006179mg	Erythranthe guttata	4155	0	B30.2/SPRY domain-containing protein	viridiplantae
A0A061DGX6	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	36.1	36.1	1.0		3.3e-07	3.3e-07	0.0	0.011	0	54	0.675	169	TCM_000608	Theobroma cacao	3641	0	Centrin2 isoform 1	viridiplantae
A0A061DHV0	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	41.3	41.3	1.0		9.3e-09	9.3e-09	0.0	0.013	0	64	0.638	188	TCM_000601	Theobroma cacao	3641	0	Calcium-binding EF-hand family protein, putative	viridiplantae
A0A061DI86	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	93.0	93.0	1.0		2.4e-24	2.4e-24	0.0	0.027	0	133	0.101	1274	TCM_001227	Theobroma cacao	3641	0	RING-type E3 ubiquitin transferase	viridiplantae
A0A061E1R7	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	36.5	36.5	1.0		2.6e-07	2.6e-07	0.0	0.013	0	64	0.214	562	TCM_007580	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061E9N9	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	43.6	43.6	1.0		1.8e-09	1.8e-09	0.0	0.011	0	54	0.568	199	TCM_011044	Theobroma cacao	3641	0	Polcalcin Jun o, putative	viridiplantae
A0A061EGG0	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	40.8	40.8	1.0		1.2e-08	1.2e-08	0.0	0.011	0	54	0.75	152	TCM_019204	Theobroma cacao	3641	0	Calmodulin like 23, putative	viridiplantae
A0A061EJ37	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	34.8	34.8	1.0		8.3e-07	8.3e-07	0.0	0.012	0	59	0.541	220	TCM_020039	Theobroma cacao	3641	0	Calcium-binding EF-hand family protein	viridiplantae
A0A061EMF4	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	51.8	51.8	1.0		6.5e-12	6.5e-12	0.0	0.013	0	64	0.796	152	TCM_020731	Theobroma cacao	3641	0	Calmodulin 8 isoform 1	viridiplantae
A0A061F324	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	48.9	48.9	1.0		4.8e-11	4.8e-11	0.0	0.013	0	64	0.812	149	TCM_026360	Theobroma cacao	3641	0	Calmodulin-like 11	viridiplantae
A0A061F4S0	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	46.4	46.4	1.0		2.7e-10	2.7e-10	0.0	0.012	0	59	0.215	536	TCM_030876	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061FEI6	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	42.1	42.1	1.0		5.3e-09	5.3e-09	0.0	0.012	0	59	0.216	527	TCM_034289	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061FKU8	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	42.4	42.4	1.0		4.3e-09	4.3e-09	0.0	0.013	0	64	0.229	516	TCM_034291	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061FWP8	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	37.3	37.3	1.0		1.5e-07	1.5e-07	0.0	0.012	0	59	0.698	169	TCM_012743	Theobroma cacao	3641	0	Calcium-binding EF-hand family protein	viridiplantae
A0A061G650	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	45.3	45.3	1.0		5.8e-10	5.8e-10	0.0	0.012	0	59	0.213	531	TCM_016367	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061G729	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.7	35.7	1.0		4.4e-07	4.4e-07	0.0	0.012	0	59	0.718	163	TCM_016579	Theobroma cacao	3641	0	Calcium-binding EF-hand family protein	viridiplantae
A0A061GH30	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	45.5	45.5	1.0		4.9e-10	4.9e-10	0.0	0.012	0	59	0.212	538	TCM_030220	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061GT93	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	33.1	33.1	1.0		2.6e-06	2.6e-06	0.0	0.012	0	59	0.222	532	TCM_040717	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061GTC2	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	40.5	40.5	1.0		1.6e-08	1.6e-08	0.0	0.019	0	94	0.221	452	TCM_040751	Theobroma cacao	3641	0	Set1/Ash2 histone methyltransferase complex subunit ASH2	viridiplantae
A0A061GUM0	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	45.6	45.6	1.0		4.6e-10	4.6e-10	0.0	0.011	0	54	0.209	535	TCM_040893	Theobroma cacao	3641	0	non-specific serine/threonine protein kinase	viridiplantae
A0A061GVM0	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	57.9	57.9	1.0		8.9e-14	8.9e-14	0.0	0.015	0	74	0.707	184	TCM_041153	Theobroma cacao	3641	0	Calmodulin 5	viridiplantae
A0A061GVM8	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	32.0	32.0	1.0		5.8e-06	5.8e-06	0.0	0.011	0	54	0.485	233	TCM_038140	Theobroma cacao	3641	0	Calcium-binding EF-hand family protein, putative isoform 1	viridiplantae
A0A067DXF3	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	39.0	39.0	1.0		4.5e-08	4.5e-08	0.0	0.011	0	54	0.562	203	CISIN_1g028812mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067E8K0	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.2	35.2	1.0		6.2e-07	6.2e-07	0.0	0.012	0	59	0.667	177	CISIN_1g030421mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067ECJ0	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	36.4	36.4	1.0		2.8e-07	2.8e-07	0.0	0.013	0	64	0.831	124	CISIN_1g040628mg	Citrus sinensis	2711	0	EF-hand domain-containing protein (Fragment)	viridiplantae
A0A067EDD7	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	45.3	45.3	1.0		5.7e-10	5.7e-10	0.0	0.012	0	59	0.744	156	CISIN_1g031616mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067EGL1	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	32.9	32.9	1.0		3e-06	3e-06	0.0	0.012	0	59	0.712	163	CISIN_1g037787mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067ESR3	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	46.3	46.3	1.0		2.8e-10	2.8e-10	0.0	0.013	0	64	0.807	150	CISIN_1g031903mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067EXD5	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	38.8	38.8	1.0		5.3e-08	5.3e-08	0.0	0.012	0	59	0.781	151	CISIN_1g037200mg	Citrus sinensis	2711	0	EF-hand domain-containing protein (Fragment)	viridiplantae
A0A067F0V1	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	34.9	34.9	1.0		7.8e-07	7.8e-07	0.0	0.012	0	59	0.627	185	CISIN_1g041237mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067F2C3	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	58.9	58.9	1.0		4.5e-14	4.5e-14	0.0	0.015	0	74	0.872	149	CISIN_1g0315341mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067F570	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	31.4	31.4	1.0		9e-06	9e-06	0.0	0.013	0	64	0.239	531	CISIN_1g009594mg	Citrus sinensis	2711	0	non-specific serine/threonine protein kinase	viridiplantae
A0A067F5Y5	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	43.2	43.2	1.0		2.5e-09	2.5e-09	0.0	0.011	0	54	0.386	293	CISIN_1g0096581mg	Citrus sinensis	2711	0	non-specific serine/threonine protein kinase (Fragment)	viridiplantae
A0A067F6W5	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	41.5	41.5	1.0		7.9e-09	7.9e-09	0.0	0.011	0	54	0.739	153	CISIN_1g031791mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067F9Q1	unassigned	none	module	ryr.hmm matched only 138 profile positions (< 200) — a shared module, not a family assignment	0.0	95.9	95.9	1.0		3.3e-25	3.3e-25	0.0	0.028	0	138	0.108	1273	CISIN_1g000809mg	Citrus sinensis	2711	0	RING-type E3 ubiquitin transferase	viridiplantae
A0A067FC43	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	37.8	37.8	1.0		1e-07	1e-07	0.0	0.011	0	54	0.574	195	CISIN_1g029304mg	Citrus sinensis	2711	0	EF-hand domain-containing protein	viridiplantae
A0A067FDF2	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	37.5	37.5	1.0		1.3e-07	1.3e-07	0.0	0.019	0	94	0.178	552	CISIN_1g035919mg	Citrus sinensis	2711	0	B30.2/SPRY domain-containing protein	viridiplantae
A0A067FQG3	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.9	35.9	1.0		3.7e-07	3.7e-07	0.0	0.012	0	59	0.195	585	CISIN_1g007895mg	Citrus sinensis	2711	0	non-specific serine/threonine protein kinase	viridiplantae
