profile	id	accession	clade	call	gene	species	taxon_id	phylum	length	arch	reviewed	note
itpr	Q14643|ITPR1|Homo_sapiens|ITPR1	Q14643	ITPR1	ITPR	ITPR1	Homo sapiens	9606	Chordata	2758	5/5	1	human, Swiss-Prot, the reference
itpr	P11881|Itpr1|Mus_musculus|ITPR1	P11881	ITPR1	ITPR	Itpr1	Mus musculus	10090	Chordata	2749	5/5	1	mouse, Swiss-Prot
itpr	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	A0A8V0ZJT0	ITPR1	ITPR	ITPR1	Gallus gallus	9031	Chordata	2779	5/5	0	chicken
itpr	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	A0A8J0T3U5	ITPR1	ITPR	itpr1	Xenopus tropicalis	8364	Chordata	2743	5/5	0	Xenopus tropicalis
itpr	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	A0A8M2BDG0	ITPR1	ITPR	itpr1a	Danio rerio	7955	Chordata	2711	5/5	0	zebrafish itpr1a (3R duplicate)
itpr	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	H3A1P5	ITPR1	ITPR	ITPR1	Latimeria chalumnae	7897	Chordata	2725	5/5	0	coelacanth — the sarcopterygian outgroup
itpr	Q14571|ITPR2|Homo_sapiens|ITPR2	Q14571	ITPR2	ITPR	ITPR2	Homo sapiens	9606	Chordata	2701	5/5	1	human, Swiss-Prot
itpr	Q9Z329|Itpr2|Mus_musculus|ITPR2	Q9Z329	ITPR2	ITPR	Itpr2	Mus musculus	10090	Chordata	2701	5/5	1	mouse, Swiss-Prot
itpr	F1P1X4|ITPR2|Gallus_gallus|ITPR2	F1P1X4	ITPR2	ITPR	ITPR2	Gallus gallus	9031	Chordata	2700	5/5	0	chicken
itpr	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	A0A6I8RGU0	ITPR2	ITPR	itpr2	Xenopus tropicalis	8364	Chordata	2705	5/5	0	Xenopus tropicalis
itpr	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	A0A8M9PQQ3	ITPR2	ITPR	itpr2	Danio rerio	7955	Chordata	2665	5/5	0	zebrafish
itpr	Q14573|ITPR3|Homo_sapiens|ITPR3	Q14573	ITPR3	ITPR	ITPR3	Homo sapiens	9606	Chordata	2671	5/5	1	human, Swiss-Prot
itpr	P70227|Itpr3|Mus_musculus|ITPR3	P70227	ITPR3	ITPR	Itpr3	Mus musculus	10090	Chordata	2670	5/5	1	mouse, Swiss-Prot
itpr	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	A0A8V1ACE6	ITPR3	ITPR	ITPR3	Gallus gallus	9031	Chordata	2664	5/5	0	chicken
itpr	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	A0A8J0SYK9	ITPR3	ITPR	itpr3	Xenopus tropicalis	8364	Chordata	2673	5/5	0	Xenopus tropicalis
