accession	organism	vclass	vorder	assembly_level	contig_n50	contig_spans_gene	cell	cell_status	slot	locus_idx	locus_clade	assigned_via	contig	start	end	strand	bait	identity	coverage	aligned_aa	q_start	q_end	bait_len	frameshifts	stop_codons	lesions	lesion_density	integrity	family_margin	paralog_margin	contig_edge	longest_n_run	annot_gene	annot_frac_cds	annot_paralog_matches	merged_models	merged_from	is_copy	excluded_reason
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	False	ITPR1	assembly_gap	cell	0	ITPR1	primary	JMFS01131396.1	4289	29317	+	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9925	0.3343	929	81	1009	2779	0	0	0	0.0	intact	1.0	0.2874	True	0		0.0	False	1		False	coverage_below_full
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	False	ITPR2	fragment	cell	0	ITPR2	primary	KL263936.1	21481	98516	+	A0A672UP22|ITPR2|Strigops_habroptila	0.9542	0.387	1045	1656	2700	2700	0	0	0	0.0	intact	1.0	1.0	False	31		0.0	False	1		False	coverage_below_full
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	False	ITPR3	found_no_annotation	cell	0	ITPR3	primary	KL257532.1	5164	25874	-	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9903	0.8239	2195	470	2664	2664	1	0	1	0.4556	intact	1.0	0.3695	True	0		0.0	False	1		True	
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	False	RYR	assembly_gap	cell	1	RYR	primary	JMFS01114174.1	154	75510	-	A0A3Q0HBW9|RYR|Alligator_sinensis	0.6926	0.4394	2191	2767	4957	4986	0	0	0	0.0	intact	1.0	1.0	True	0		0.0	False	1		False	coverage_below_full
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	False	RYR	assembly_gap	cell	2	RYR	primary	KL256588.1	10269	62184	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.976	0.2353	1169	3800	4968	4968	0	0	0	0.0	intact	1.0	1.0	True	64		0.0	False	1		False	coverage_below_full
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	Scaffold	17412	False	RYR	assembly_gap	cell	0	RYR	primary	KL283962.1	1097	101573	+	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9836	0.4775	2372	349	2720	4968	0	0	0	0.0	intact	1.0	1.0	True	446		0.0	False	1		False	coverage_below_full
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	False	ITPR2	fragment	cell	0	ITPR2	primary	KL291012.1	81303	160305	-	A0A672UP22|ITPR2|Strigops_habroptila	0.9852	0.3752	1013	1688	2700	2700	0	0	0	0.0	intact	1.0	0.3174	False	92		0.0	False	1		False	coverage_below_full
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	False	ITPR3	found_annotated	cell	0	ITPR3	primary	KL301852.1	537	20480	+	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9781	0.7477	1992	238	2229	2664	0	0	0	0.0	intact	1.0	0.3691	True	42	N323_11390	0.997	False	1		True	
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	False	RYR	assembly_gap	cell	0	RYR	primary	KL299849.1	2339	87205	+	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9858	0.4831	2400	1214	3613	4968	0	0	0	0.0	intact	1.0	1.0	True	164		0.0	False	1		False	coverage_below_full
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	False	RYR	assembly_gap	cell	1	RYR	primary	KL309451.1	1729	34915	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.7195	0.2593	1288	3681	4968	4968	1	0	1	0.7764	intact	1.0	1.0	True	42		0.0	False	1		False	coverage_below_full
