accession	organism	vclass	cell	ledger_status	gene_present	has_reference_proteome	proteome_id	n_family_protein_records_species	n_records_resolving_to_any_cell	n_records_resolving_to_cell	recovery_channel
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	assembly_gap	1	1	UP000053854	2	0	0	genome_only:records_exist_but_none_full_length
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	fragment	1	1	UP000053854	2	0	0	genome_only:records_exist_but_none_full_length
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	found_no_annotation	1	1	UP000053854	2	0	0	genome_only:records_exist_but_none_full_length
GCA_000699545.1	Podiceps cristatus	Aves	RYR	assembly_gap	1	1	UP000053854	2	0	0	genome_only:records_exist_but_none_full_length
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	1	1	UP000053745	1	0	0	genome_only:records_exist_but_none_full_length
GCA_000699945.1	Cathartes aura	Aves	ITPR2	fragment	1	1	UP000053745	1	0	0	genome_only:records_exist_but_none_full_length
GCA_000699945.1	Cathartes aura	Aves	ITPR3	found_annotated	1	1	UP000053745	1	0	0	genome_only:records_exist_but_none_full_length
GCA_000699945.1	Cathartes aura	Aves	RYR	assembly_gap	1	1	UP000053745	1	0	0	genome_only:records_exist_but_none_full_length
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	found_unannotated	1	1	UP000242450	13	0	0	genome_only:records_exist_but_none_full_length
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	found_unannotated	1	1	UP000242450	13	0	0	genome_only:records_exist_but_none_full_length
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	1	1	UP000242450	13	0	0	genome_only:records_exist_but_none_full_length
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	found_unannotated	1	1	UP000242450	13	0	0	genome_only:records_exist_but_none_full_length
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	1	1	UP000233556	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	1	1	UP000233556	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	found_annotated	1	1	UP000233556	8	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	found_unannotated	1	1	UP000233556	8	1	1	protein_database_and_genome
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	assembly_gap	1	1	UP000237246	8	0	0	genome_only:records_exist_but_none_full_length
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	assembly_gap	1	1	UP000237246	8	0	0	genome_only:records_exist_but_none_full_length
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	assembly_gap	1	1	UP000237246	8	0	0	genome_only:records_exist_but_none_full_length
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	assembly_gap	1	1	UP000237246	8	0	0	genome_only:records_exist_but_none_full_length
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	found_no_annotation	1	1	UP000694392	9	5	1	protein_database_and_genome
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	found_no_annotation	1	1	UP000694392	9	5	0	genome_only:no_record_resolves_to_this_paralog
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	found_no_annotation	1	1	UP000694392	9	5	0	genome_only:no_record_resolves_to_this_paralog
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	found_no_annotation	1	1	UP000694392	9	5	4	protein_database_and_genome
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR1	assembly_gap	1	1	UP000694406	30	8	0	genome_only:no_record_resolves_to_this_paralog
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR2	assembly_gap	1	1	UP000694406	30	8	0	genome_only:no_record_resolves_to_this_paralog
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR3	assembly_gap	1	1	UP000694406	30	8	0	genome_only:no_record_resolves_to_this_paralog
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	found_no_annotation	1	1	UP000694406	30	8	8	protein_database_and_genome
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	found_no_annotation	1	0		0	0	0	genome_only:no_reference_proteome
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	found_no_annotation	1	0		0	0	0	genome_only:no_reference_proteome
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	found_no_annotation	1	0		0	0	0	genome_only:no_reference_proteome
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	found_no_annotation	1	0		0	0	0	genome_only:no_reference_proteome
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	found_no_annotation	1	1	UP000295264	1	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	found_no_annotation	1	1	UP000295264	1	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	found_no_annotation	1	1	UP000295264	1	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	found_no_annotation	1	1	UP000295264	1	1	1	protein_database_and_genome
GCA_008658365.1	Alca torda	Aves	ITPR1	found_annotated	1	1	UP000536033	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_008658365.1	Alca torda	Aves	ITPR2	found_annotated	1	1	UP000536033	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_008658365.1	Alca torda	Aves	ITPR3	found_annotated	1	1	UP000536033	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_008658365.1	Alca torda	Aves	RYR	found_annotated	1	1	UP000536033	6	1	1	protein_database_and_genome
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	found_annotated	1	1	UP000551127	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	found_annotated	1	1	UP000551127	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	found_annotated	1	1	UP000551127	5	2	1	protein_database_and_genome
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	found_annotated	1	1	UP000551127	5	2	1	protein_database_and_genome
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	found_annotated	1	1	UP000053700	1	0	0	genome_only:records_exist_but_none_full_length
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	found_annotated	1	1	UP000053700	1	0	0	genome_only:records_exist_but_none_full_length
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	found_annotated	1	1	UP000053700	1	0	0	genome_only:records_exist_but_none_full_length
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	found_annotated	1	1	UP000053700	1	0	0	genome_only:records_exist_but_none_full_length
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	found_annotated	1	1	UP000631465	0	0	0	genome_only:no_family_record_for_species
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	found_annotated	1	1	UP000631465	0	0	0	genome_only:no_family_record_for_species
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	found_annotated	1	1	UP000631465	0	0	0	genome_only:no_family_record_for_species
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	found_annotated	1	1	UP000631465	0	0	0	genome_only:no_family_record_for_species
