accession	organism	annotated	n_protein_coding	median_gene_span	p90_gene_span	max_gene_span	n_itpr_loci	n_found_annotated
GCA_000699545.1	Podiceps cristatus	Y	0	0	0	0	3	0
GCA_000699945.1	Cathartes aura	Y	11361	4860	28339	219283	2	1
GCA_002197005.1	Cervus elaphus hippelaphus	Y	19243	9384	38591	4711805	2	0
GCA_002844005.1	Limosa lapponica baueri	Y	23009	6062	37299	617551	1	1
GCA_002909625.1	Bambusicola thoracicus	Y	17763	3281	14220	125307	3	0
GCA_003113815.1	Sphenodon punctatus	N	0	0	0	0	3	0
GCA_004320025.1	Laticauda laticaudata	N	0	0	0	0	3	0
GCA_006937325.1	Anomalopteryx didiformis	N	0	0	0	0	3	0
GCA_007760645.1	Sousa chinensis	N	0	0	0	0	3	0
GCA_008658365.1	Alca torda	Y	15256	16763	91847	1291292	3	4
GCA_009769605.1	Bucorvus abyssinicus	Y	15282	11295	74194	1197519	3	4
GCA_009819775.1	Phoenicopterus ruber ruber	Y	15395	14122	87164	1346933	3	4
GCA_010411085.1	Cervus hanglu yarkandensis	Y	19312	11705	99849	2207535	3	4
GCA_011823955.1	Dissostichus mawsoni	Y	29240	7022	33914	404676	3	1
GCA_013389825.1	Crypturellus undulatus	Y	14065	5104	37817	457653	2	1
GCA_013389885.1	Geococcyx californianus	Y	13481	4752	30074	312295	1	0
GCA_013389965.1	Todus mexicanus	Y	10073	2899	12506	109791	1	1
GCA_013389985.1	Dryoscopus gambensis	Y	12314	4883	28423	328979	3	1
GCA_013390065.1	Chloropsis hardwickii	Y	13520	5791	43194	587635	3	2
GCA_013390105.1	Tichodroma muraria	Y	11497	3752	19275	214225	1	1
GCA_013396355.1	Menura novaehollandiae	Y	14444	5813	44818	509422	3	2
GCA_013396465.1	Smithornis capensis	Y	13856	6047	47753	604428	3	2
GCA_013396485.1	Ptilorrhoa leucosticta	Y	13511	6013	47488	606593	3	1
GCA_013396675.1	Eubucco bourcierii	Y	14172	6721	41891	475710	3	3
GCA_013396835.1	Psilopogon haemacephalus	Y	13550	6402	42389	521406	3	2
GCA_013396875.1	Vireo altiloquus	Y	14114	5552	43076	590076	3	2
GCA_013396935.1	Baryphthengus martii	Y	13396	5703	37895	470142	3	1
GCA_013396975.1	Bucco capensis	Y	14416	5800	37581	596685	2	0
GCA_013397015.1	Myiagra hebetior	Y	13909	5984	45216	749682	3	3
GCA_013397245.1	Thryothorus ludovicianus	Y	13691	5861	41417	587028	3	0
GCA_013397295.1	Polioptila caerulea	Y	13551	6163	43965	555894	2	2
GCA_013397395.1	Sinosuthora webbiana	Y	14265	5803	44318	581404	3	2
GCA_013397465.1	Furnarius figulus	Y	13878	5947	40330	469483	3	2
GCA_013397495.1	Mionectes macconnelli	Y	14186	5886	45567	464810	2	1
GCA_013397535.1	Pterocles burchelli	Y	13870	6289	45668	444958	3	2
GCA_013397635.1	Columbina picui	Y	12298	6085	46985	445366	2	2
GCA_013397815.1	Aleadryas rufinucha	Y	13899	5716	42329	537824	3	1
GCA_013397895.1	Origma solitaria	Y	14477	5553	42342	462200	3	2
GCA_013397955.1	Grantiella picta	Y	14078	5539	42571	463402	3	2
GCA_013398125.1	Aegotheles bennettii	Y	13701	6292	43640	466447	3	2
GCA_013398155.1	Pedionomus torquatus	Y	13321	6594	44837	733006	3	3
GCA_013398175.1	Climacteris rufus	Y	14096	5653	42923	544229	3	3
GCA_013398455.1	Loxia curvirostra	Y	14578	5691	42992	581321	3	2
GCA_013398575.1	Certhia familiaris	Y	13157	5083	41784	431877	3	3
GCA_013398615.1	Brachypodius melanocephalos	Y	12867	5811	44089	577285	3	2
GCA_013398795.1	Elachura formosa	Y	14015	5487	42778	448888	2	1
GCA_013398835.1	Emberiza fucata	Y	13208	5548	40398	423567	3	2
GCA_013398935.1	Ceuthmochares aereus	Y	12210	6252	44751	397425	3	1
GCA_013398955.1	Callaeas wilsoni	Y	14567	5216	36874	396383	3	2
GCA_013398975.1	Catharus fuscescens	Y	13926	5473	39274	597463	3	2
GCA_013399035.1	Quiscalus mexicanus	Y	13606	5204	33920	317253	3	1
GCA_013399075.1	Chloroceryle aenea	Y	12200	6894	44013	596617	3	3
GCA_013399305.1	Rostratula benghalensis	Y	14222	6604	48103	480984	3	3
GCA_013399395.1	Nyctiprogne leucopyga	Y	13386	5860	36943	364902	3	2
GCA_013399455.1	Anthoscopus minutus	Y	13582	5034	28778	468060	3	0
GCA_013399495.1	Corythaixoides concolor	Y	14239	6354	47504	490479	3	2
GCA_013399565.1	Podilymbus podiceps	Y	14202	6512	46636	400607	3	2
GCA_013399735.1	Tyrannus savana	Y	13574	5497	41240	606095	3	1
GCA_013399775.1	Semnornis frantzii	Y	10815	3771	17545	143900	1	1
GCA_013399795.1	Zosterops hypoxanthus	Y	13718	5098	37735	524078	3	1
GCA_013399855.1	Oxyruncus cristatus	Y	14046	6312	46251	952154	3	1
GCA_013399895.1	Serilophus lunatus	Y	14124	6074	45170	512889	3	2
GCA_013400075.1	Hippolais icterina	Y	13649	5736	42575	722433	3	1
GCA_013400195.1	Aramus guarauna	Y	14295	6783	49614	581365	3	3
GCA_013400215.1	Cisticola juncidis	Y	13396	5961	43931	934203	3	2
GCA_013400415.1	Scytalopus superciliaris	Y	13855	6215	44583	488599	3	2
GCA_013400445.1	Leiothrix lutea	Y	13282	5721	40296	380813	2	1
GCA_013400515.1	Erpornis zantholeuca	Y	13321	5122	31433	335238	3	2
GCA_013400585.1	Chloropsis cyanopogon	Y	12574	4663	27045	324699	3	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Y	12390	4034	20073	234817	1	1
GCA_013400655.1	Mystacornis crossleyi	Y	10577	3139	21345	264471	1	1
GCA_013400675.1	Oxylabes madagascariensis	Y	8998	2576	16314	151862	2	0
GCA_013400695.1	Neodrepanis coruscans	Y	8840	2511	15921	107222	2	0
GCA_013400735.1	Pomatostomus ruficeps	Y	13299	4728	27332	265936	2	1
GCA_013400815.1	Centropus bengalensis	Y	13170	5730	40820	399188	3	2
GCA_013400855.1	Buphagus erythrorhynchus	Y	11105	3205	20731	182274	1	0
GCA_013400895.1	Thalassarche chlororhynchos	Y	11830	4337	24236	302511	2	2
GCA_013400915.1	Pardalotus punctatus	Y	13671	5351	40818	839677	3	1
GCA_013400955.1	Drymodes brunneopygia	Y	13565	5070	38402	571352	3	2
GCA_013400995.1	Oreotrochilus melanogaster	Y	12134	6732	41141	449897	3	1
GCA_013401035.1	Horornis vulcanius	Y	9896	2367	13606	162714	2	0
GCA_013401195.1	Pomatorhinus ruficollis	Y	12971	6128	46956	837313	1	1
GCA_013401215.1	Atlantisia rogersi	Y	13725	3814	23904	209549	3	0
GCA_013401255.1	Urocolius indicus	Y	14081	5951	41743	394296	3	1
GCA_013401295.1	Glareola pratincola	Y	13787	6678	47375	808409	3	1
GCA_013401315.1	Balaeniceps rex	Y	12229	4427	24941	304763	3	1
GCA_013401355.1	Ceyx cyanopectus	Y	12043	3476	22934	218032	2	0
GCA_014281875.1	Nibea albiflora	Y	15965	3561	21752	203185	3	2
GCA_014363365.1	Leucopsar rothschildi	N	0	0	0	0	3	0
GCA_014839755.1	Sylvia borin	Y	15258	12959	74218	1158710	3	4
GCA_015883425.2	Lamprotornis superbus	Y	14254	17554	79826	1914103	3	4
GCA_017639675.1	Aplochiton taeniatus	Y	18398	6333	35087	625848	3	4
GCA_018340635.1	Bothrops jararaca	N	0	0	0	0	2	0
GCA_019447015.1	Hymenochirus boettgeri	Y	20654	19488	112320	891038	3	3
GCA_020745705.1	Hemiprocne comata	N	0	0	0	0	3	0
GCA_022829145.1	Albula goreensis	Y	23626	10631	44344	366713	3	4
GCA_023764695.1	Pygathrix nigripes	N	0	0	0	0	3	0
GCA_023974075.1	Chaenocephalus aceratus	Y	37982	4981	25989	600485	3	2
GCA_027704905.1	Muraenolepis orangiensis	Y	34543	4378	21949	207805	3	4
GCA_028571685.1	Heterohyrax brucei	Y	19070	17182	134778	2527492	3	4
GCA_029706075.1	Aldrovandia affinis	Y	44179	5969	36200	401062	3	3
GCA_031216635.1	Dissostichus eleginoides	Y	32225	5222	23134	402556	3	1
GCA_031835075.1	Saguinus oedipus	Y	41005	1238	10985	137795	3	0
GCA_032275445.1	Crypturellus soui	N	0	0	0	0	3	0
GCA_033238685.1	Lates japonicus	Y	30085	4687	19250	98291	3	2
GCA_035590135.1	Circaetus pectoralis	N	0	0	0	0	3	0
GCA_036247105.2	Cirrhinus mrigala	Y	58247	374	1857	42003	3	0
GCA_036250305.1	Ataeniobius toweri	Y	31620	3250	14181	114036	3	1
GCA_036250325.1	Characodon lateralis	Y	32626	3931	15489	134551	3	0
GCA_040091285.1	Ameca splendens	Y	38611	2884	13690	161727	3	0
GCA_040091305.1	Ilyodon furcidens	Y	37951	2594	12092	82207	3	0
GCA_040091325.1	Goodea atripinnis	Y	33208	2182	9209	389839	3	0
GCA_040091335.1	Xenoophorus captivus	Y	29579	2034	8308	52117	3	0
GCA_040091345.1	Xenotaenia resolanae	Y	20681	2959	11579	133354	3	0
GCA_043380575.1	Atractosteus spatula	N	0	0	0	0	3	0
GCA_046255725.1	Amblyopsis spelaea	N	0	0	0	0	3	0
GCA_047511595.1	Polymixia lowei	N	0	0	0	0	3	0
GCA_048126345.2	Notoryctes typhlops	N	0	0	0	0	3	0
GCA_048569125.1	Diretmus argenteus	Y	24023	8653	49835	1133506	3	4
GCA_050084785.1	Liparis tanakae	N	0	0	0	0	3	0
GCA_051992705.1	Lepidogalaxias salamandroides	N	0	0	0	0	3	0
GCA_054084135.1	Copsychus sechellarum	N	0	0	0	0	3	0
GCA_054099775.1	Steatornis caripensis	Y	15869	12747	85306	1348935	3	4
GCA_054644205.1	Lestoros inca	N	0	0	0	0	3	0
GCA_054883175.1	Datnioides polota	N	0	0	0	0	3	0
GCA_054883375.1	Arapaima gigas	N	0	0	0	0	3	0
GCA_056506795.1	Pristigenys meyeri	N	0	0	0	0	3	0
GCA_056776345.1	Spizella passerina	N	0	0	0	0	3	0
GCA_056783565.1	Hiodon alosoides	Y	24738	8567	39215	585308	3	4
GCA_056783665.1	Albula glossodonta	N	0	0	0	0	3	0
GCA_056824565.1	Stylephorus chordatus	N	0	0	0	0	3	0
GCA_056824585.1	Alepocephalus tenebrosus	N	0	0	0	0	3	0
GCA_057876775.1	Echinorhinus cookei	N	0	0	0	0	3	0
GCA_058224745.1	Acrocephalus arundinaceus	N	0	0	0	0	3	0
GCA_058707665.1	Platax teira	N	0	0	0	0	3	0
GCA_900312595.1	Guentherus altivela	N	0	0	0	0	2	0
GCA_951230385.1	Staurois parvus	Y	78191	756	24611	302517	3	0
GCA_965364685.1	Capros aper	N	0	0	0	0	3	0
GCA_980438365.1	Acanthurus tractus	N	0	0	0	0	3	0
GCA_984656905.1	Parequula melbournensis	N	0	0	0	0	3	0
GCA_987193245.1	Pontoporia blainvillei	N	0	0	0	0	3	0
GCF_000001405.40	Homo sapiens	Y	23306	20728	140016	2473620	3	4
GCF_000001635.27	Mus musculus	Y	22198	16861	107821	2691556	3	4
GCF_000004195.4	Xenopus tropicalis	Y	21832	15424	76832	1312976	3	4
GCF_000243295.1	Trichechus manatus latirostris	Y	19114	20058	139137	2703848	3	4
GCF_000298275.1	Orycteropus afer afer	Y	19014	17858	165603	2137828	3	4
GCF_000299155.1	Elephantulus edwardii	Y	20443	16513	140906	2584888	3	4
GCF_000334495.1	Tupaia belangeri chinensis	Y	21079	18439	123151	1871701	3	4
GCF_000687185.1	Egretta garzetta	Y	14296	15672	79861	1334919	3	4
GCF_000687285.1	Phaethon lepturus	Y	15065	9986	42318	347595	3	2
