cell	column	phase	n_loci_with	n_loci	prevalence
ITPR1	215	2	186	188	0.9894
ITPR1	283	1	186	188	0.9894
ITPR1	463	0	187	188	0.9947
ITPR1	504	1	1	188	0.0053
ITPR1	514	0	187	188	0.9947
ITPR1	579	0	187	188	0.9947
ITPR1	624	1	1	188	0.0053
ITPR1	716	0	187	188	0.9947
ITPR1	784	0	187	188	0.9947
ITPR1	845	2	1	188	0.0053
ITPR1	917	0	187	188	0.9947
ITPR1	1017	1	1	188	0.0053
ITPR1	1049	0	181	188	0.9628
ITPR1	1063	0	3	188	0.016
ITPR1	1088	0	161	188	0.8564
ITPR1	1089	1	1	188	0.0053
ITPR1	1090	0	5	188	0.0266
ITPR1	1090	1	1	188	0.0053
ITPR1	1091	0	2	188	0.0106
ITPR1	1091	1	10	188	0.0532
ITPR1	1129	2	1	188	0.0053
ITPR1	1130	0	5	188	0.0266
ITPR1	1275	2	185	188	0.984
ITPR1	1296	0	1	188	0.0053
ITPR1	1306	1	1	188	0.0053
ITPR1	1491	0	184	188	0.9787
ITPR1	1513	1	1	188	0.0053
ITPR1	1617	2	186	188	0.9894
ITPR1	1690	0	1	188	0.0053
ITPR1	1748	0	186	188	0.9894
ITPR1	1753	0	1	188	0.0053
ITPR1	1895	0	187	188	0.9947
ITPR1	2138	2	187	188	0.9947
ITPR1	2308	2	184	188	0.9787
ITPR1	2328	0	1	188	0.0053
ITPR1	2855	2	186	188	0.9894
ITPR1	2927	0	1	188	0.0053
ITPR1	3505	2	1	188	0.0053
ITPR1	3508	0	2	188	0.0106
ITPR1	3615	2	187	188	0.9947
ITPR1	3858	2	1	188	0.0053
ITPR1	3864	0	186	188	0.9894
ITPR1	3867	0	1	188	0.0053
ITPR1	3962	0	1	188	0.0053
ITPR1	4021	1	1	188	0.0053
ITPR1	4042	1	1	188	0.0053
ITPR1	4044	1	19	188	0.1011
ITPR1	4061	1	129	188	0.6862
ITPR1	4062	2	12	188	0.0638
ITPR1	4137	1	19	188	0.1011
ITPR1	4138	2	6	188	0.0319
ITPR1	4386	0	186	188	0.9894
ITPR1	4403	1	1	188	0.0053
ITPR1	4449	1	1	188	0.0053
ITPR1	4451	1	1	188	0.0053
ITPR1	4463	1	1	188	0.0053
ITPR1	4534	1	1	188	0.0053
ITPR1	4535	1	182	188	0.9681
ITPR1	4604	2	100	188	0.5319
ITPR1	4626	0	77	188	0.4096
ITPR1	4649	0	9	188	0.0479
ITPR1	4812	0	187	188	0.9947
ITPR1	4814	0	1	188	0.0053
ITPR1	4896	0	1	188	0.0053
ITPR1	4898	0	9	188	0.0479
ITPR1	4899	0	58	188	0.3085
ITPR1	4900	0	3	188	0.016
ITPR1	4901	0	95	188	0.5053
ITPR1	4901	2	1	188	0.0053
ITPR1	4902	0	12	188	0.0638
ITPR1	4902	2	1	188	0.0053
ITPR1	4958	0	1	188	0.0053
ITPR1	4959	1	1	188	0.0053
ITPR1	4960	0	1	188	0.0053
ITPR1	4960	1	1	188	0.0053
ITPR1	5016	0	188	188	1
ITPR1	5043	1	1	188	0.0053
ITPR1	5183	2	1	188	0.0053
ITPR1	5281	0	188	188	1
ITPR1	5394	0	188	188	1
ITPR1	5602	0	188	188	1
ITPR1	5825	2	6	188	0.0319
ITPR1	6035	0	188	188	1
ITPR1	6105	0	188	188	1
ITPR1	6303	0	186	188	0.9894
ITPR1	6553	1	188	188	1
ITPR1	6778	0	188	188	1
ITPR1	7283	2	188	188	1
ITPR1	7716	0	112	188	0.5957
ITPR1	7717	1	3	188	0.016
ITPR1	7717	2	1	188	0.0053
ITPR1	7718	1	2	188	0.0106
ITPR1	7719	1	1	188	0.0053
ITPR1	7727	0	1	188	0.0053
ITPR1	7728	2	1	188	0.0053
ITPR1	7730	0	87	188	0.4628
ITPR1	7731	0	1	188	0.0053
ITPR1	7732	2	1	188	0.0053
ITPR1	7734	2	1	188	0.0053
ITPR1	7736	0	1	188	0.0053
ITPR1	7737	2	1	188	0.0053
ITPR1	7743	0	1	188	0.0053
ITPR1	7744	0	154	188	0.8191
ITPR1	7757	0	6	188	0.0319
ITPR1	7788	0	185	188	0.984
ITPR1	7853	1	1	188	0.0053
ITPR1	7854	1	2	188	0.0106
ITPR1	7855	1	5	188	0.0266
ITPR1	7856	1	56	188	0.2979
ITPR1	7865	1	100	188	0.5319
ITPR1	7865	2	17	188	0.0904
ITPR1	7866	1	1	188	0.0053
ITPR1	7866	2	1	188	0.0053
ITPR1	7867	1	1	188	0.0053
ITPR1	7887	1	1	188	0.0053
ITPR1	7888	1	2	188	0.0106
ITPR1	7953	0	1	188	0.0053
ITPR1	8020	0	188	188	1
ITPR1	8149	1	1	188	0.0053
ITPR1	8150	1	179	188	0.9521
ITPR1	8151	2	1	188	0.0053
ITPR1	8156	1	1	188	0.0053
ITPR1	8157	1	1	188	0.0053
ITPR1	8158	1	3	188	0.016
ITPR1	8160	1	1	188	0.0053
ITPR1	8466	0	187	188	0.9947
ITPR1	8598	2	1	188	0.0053
ITPR1	8599	0	186	188	0.9894
ITPR1	8651	1	1	188	0.0053
ITPR1	8710	0	187	188	0.9947
ITPR1	8803	0	187	188	0.9947
ITPR1	9042	0	187	188	0.9947
ITPR1	9187	0	1	188	0.0053
ITPR1	9198	0	184	188	0.9787
ITPR1	9206	1	2	188	0.0106
ITPR1	9207	1	1	188	0.0053
ITPR1	9232	1	1	188	0.0053
ITPR1	9291	0	1	188	0.0053
ITPR1	9292	1	1	188	0.0053
ITPR1	9303	1	186	188	0.9894
ITPR1	9722	2	1	188	0.0053
ITPR1	9728	1	1	188	0.0053
ITPR1	9731	1	185	188	0.984
ITPR1	9890	0	187	188	0.9947
ITPR1	9898	1	1	188	0.0053
ITPR1	10144	2	1	188	0.0053
ITPR1	10173	0	186	188	0.9894
ITPR1	10178	1	1	188	0.0053
ITPR1	10221	1	1	188	0.0053
ITPR1	10244	1	2	188	0.0106
ITPR1	10245	1	7	188	0.0372
ITPR1	10246	1	10	188	0.0532
ITPR1	10255	1	98	188	0.5213
ITPR1	10271	1	23	188	0.1223
ITPR1	10273	1	2	188	0.0106
ITPR1	10273	2	2	188	0.0106
ITPR1	10274	2	1	188	0.0053
ITPR1	10275	2	2	188	0.0106
