Proteome Id	Organism	Organism Id	Protein count
UP000006548	Arabidopsis thaliana (Mouse-ear cress)	3702	39272
UP000059680	Oryza sativa subsp. japonica (Rice)	39947	48896
UP000243839	Ipomoea nil (Japanese morning glory) (Pharbitis nil)	35883	109
UP000000226	Phaseolus vulgaris (Kidney bean) (French bean)	3885	31051
UP000000768	Sorghum bicolor (Sorghum) (Sorghum vulgare)	4558	41412
UP000001058	Volvox carteri f. nagariensis	3068	14335
UP000001514	Selaginella moellendorffii (Gemmiferous spikemoss) (Kungiselaginella moellendorffii)	88036	33150
UP000001568	Ostreococcus lucimarinus (strain CCE9901)	436017	7403
UP000001876	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)	564608	10250
UP000002009	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)	296587	10115
UP000004994	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	4081	34663
UP000004995	Setaria italica (Foxtail millet) (Panicum italicum)	4555	39466
UP000006038	Oryza brachyantha (malo sina)	4533	31989
UP000006591	Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	4536	46176
UP000006729	Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)	3694	77340
UP000006882	Prunus persica (Peach) (Amygdalus persica)	3760	38738
UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	18840
UP000007015	Oryza sativa subsp. indica (Rice)	39946	37440
UP000007264	Coccomyxa subellipsoidea (strain C-169) (Green microalga)	574566	9799
UP000007305	Zea mays (Maize)	4577	63237
UP000007306	Oryza glaberrima (African rice)	4538	31807
UP000008021	Oryza meridionalis	40149	40192
UP000008022	Oryza rufipogon (Brownbeard rice) (Asian wild rice)	4529	45598
UP000008141	Chlorella variabilis (Green alga)	554065	9751
UP000008694	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)	81972	32161
UP000008810	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	15368	44786
UP000008827	Glycine max (Soybean) (Glycine hispida)	3847	74859
UP000009170	Ostreococcus tauri (Marine green alga)	70448	7751
UP000009183	Vitis vinifera (Grape)	29760	29867
UP000011115	Solanum tuberosum (Potato)	4113	53020
UP000011116	Hordeum vulgare subsp. vulgare (Domesticated barley)	112509	35906
UP000011750	Brassica campestris (Field mustard)	3711	40824
