accession	verdict	gene	species	length	pfams	origin	source
A0A3B3IS59	no seed signature annotated	ITPR1	Homo sapiens	408		bundle:2026-08-18_123618_s0_smoke_human	UniProt
A0A3B3ISE3	no seed signature annotated	ITPR1	Homo sapiens	249		bundle:2026-08-18_123618_s0_smoke_human	UniProt
A0A3B3ISR4	no seed signature annotated	ITPR1	Homo sapiens	177		bundle:2026-08-18_123618_s0_smoke_human	UniProt
A0A3B3ITM1	no seed signature annotated	ITPR1	Homo sapiens	175		bundle:2026-08-18_123618_s0_smoke_human	UniProt
A0A3B3ITQ4	no seed signature annotated	ITPR1	Homo sapiens	188	PF00520	bundle:2026-08-18_123618_s0_smoke_human	UniProt
AAB04947.2	outside UniProt namespace	ITPR1		2710		bundle:2026-08-18_123618_s0_smoke_human	NCBI
AAC50064.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_123618_s0_smoke_human	NCBI
AAI44564.1	outside UniProt namespace	ITPR1		721		bundle:2026-08-18_123618_s0_smoke_human	NCBI
AAI46647.1	outside UniProt namespace	ITPR3		1049		bundle:2026-08-18_123618_s0_smoke_human	NCBI
AAI54571.1	outside UniProt namespace	itpr3		226		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
ABM22418.1	outside UniProt namespace	ryr3		274		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
AFI41831.1	outside UniProt namespace	ITPR2		50		bundle:2026-08-18_123618_s0_smoke_human	NCBI
BAF73476.1	outside UniProt namespace	ryr1b		5076		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
BAF75948.1	outside UniProt namespace	ryr3		409		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
CAR5219793.1	outside UniProt namespace	ITPR1		2575		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5220162.1	outside UniProt namespace	ITPR1		2580		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5221941.1	outside UniProt namespace	ITPR2		2371		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5221943.1	outside UniProt namespace	ITPR2		187		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
CAR5223730.1	outside UniProt namespace	ITPR3		367		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
