accession	organism	vclass	cell	status	contig_n50	n_consensus_symbols	n_present	frac_present	verdict
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	assembly_gap	17412	12			no_gene_table
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	fragment	17412	12			no_gene_table
GCA_000699545.1	Podiceps cristatus	Aves	RYR	assembly_gap	17412	10			no_gene_table
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	15248	12	0	0.0	neighbourhood_missing
GCA_000699945.1	Cathartes aura	Aves	ITPR2	fragment	15248	12	0	0.0	neighbourhood_missing
GCA_000699945.1	Cathartes aura	Aves	RYR	assembly_gap	15248	10	0	0.0	neighbourhood_missing
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	7944	12	0	0.0	neighbourhood_missing
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	21257	12	0	0.0	neighbourhood_missing
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	21257	12	0	0.0	neighbourhood_missing
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	assembly_gap	10597	12	0	0.0	neighbourhood_missing
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	assembly_gap	10597	12	0	0.0	neighbourhood_missing
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	assembly_gap	10597	12	0	0.0	neighbourhood_missing
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	assembly_gap	10597	10	0	0.0	neighbourhood_missing
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR1	assembly_gap	35581	12			no_gene_table
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR2	assembly_gap	35581	12			no_gene_table
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR3	assembly_gap	35581	12			no_gene_table
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	tblastn_trace	99502	12	8	0.667	neighbourhood_present
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	tblastn_trace	47040	12	8	0.667	neighbourhood_present
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	tblastn_trace	47040	12	10	0.833	neighbourhood_present
GCA_013389885.1	Geococcyx californianus	Aves	RYR	assembly_gap	47040	10	7	0.7	neighbourhood_present
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	tblastn_trace	8743	12	9	0.75	neighbourhood_present
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	8743	12	5	0.417	neighbourhood_missing
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	assembly_gap	29388	10	6	0.6	neighbourhood_present
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	tblastn_trace	14901	12	10	0.833	neighbourhood_present
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	tblastn_trace	14901	12	7	0.583	neighbourhood_present
GCA_013390105.1	Tichodroma muraria	Aves	RYR	tblastn_trace_ambiguous	14901	10	6	0.6	neighbourhood_present
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR3	assembly_gap	77643	12	10	0.833	neighbourhood_present
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	assembly_gap	26549	12	9	0.75	neighbourhood_present
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	assembly_gap	36269	12	8	0.667	neighbourhood_present
GCA_013396935.1	Baryphthengus martii	Aves	ITPR1	assembly_gap	70136	12	12	1.0	neighbourhood_present
GCA_013396935.1	Baryphthengus martii	Aves	RYR	assembly_gap	70136	10	7	0.7	neighbourhood_present
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	66968	12	8	0.667	neighbourhood_present
GCA_013396975.1	Bucco capensis	Aves	ITPR3	assembly_gap	66968	12	8	0.667	neighbourhood_present
GCA_013396975.1	Bucco capensis	Aves	RYR	assembly_gap	66968	10	9	0.9	neighbourhood_present
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR1	assembly_gap	60402	12	9	0.75	neighbourhood_present
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR3	assembly_gap	60402	12	10	0.833	neighbourhood_present
GCA_013397245.1	Thryothorus ludovicianus	Aves	RYR	assembly_gap	60402	10	9	0.9	neighbourhood_present
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	50944	12	10	0.833	neighbourhood_present
GCA_013397465.1	Furnarius figulus	Aves	RYR	assembly_gap	55547	10	8	0.8	neighbourhood_present
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR1	assembly_gap	72805	12	10	0.833	neighbourhood_present
