accession	organism	taxid	group	kingdom	phylum	class	order	assembly_name	level	refseq_category	annotated	annotation_source	release_date	total_length_bp	scaffold_n50	contig_n50	spans_gene	contiguity_bar_bp	bar_source	fasta_gb	est_zip_gb	reasons	notes
GCF_000313135.1	Acanthamoeba castellanii str. Neff	1257118	amoebozoa		Discosea		Longamoebia	Acastellanii.strNEFF v1	Scaffold	reference genome	Y	RefSeq	2013-01-09	42019824	344205	44970	Y	8813	median span of 2 measured amoebozoa gene(s)	0.042	0.013	phylum_rep	Discosea
GCF_000004695.1	Dictyostelium discoideum AX4	352472	amoebozoa		Evosea	Eumycetozoa	Dictyosteliales	dicty_2.7	Chromosome	reference genome	Y	RefSeq	2009-08-24	34149409	5450249	341816	Y	8813	median span of 2 measured amoebozoa gene(s)	0.034	0.010	phylum_rep;anchor	Evosea | 44689
GCA_001606155.1	Tieghemostelium lacteum	361077	amoebozoa		Evosea	Eumycetozoa	Dictyosteliales	ASM160615v1	Contig	reference genome	Y	GenBank	2016-04-04	23375662	1098390	1098390	Y	8813	median span of 2 measured amoebozoa gene(s)	0.023	0.007	copy_number	Tieghemostelium lacteum (Slime mold) (Dictyostelium lacteum)
GCA_020696425.1	Vermamoeba vermiformis	5778	amoebozoa		Tubulinea	Echinamoebida		ASM2069642v1	Scaffold	reference genome	N	GenBank	2021-11-01	39458332	527084	527084	Y	8813	median span of 2 measured amoebozoa gene(s)	0.039	0.012	phylum_rep	Tubulinea
GCA_001460835.1	Bodo saltans	75058	discoba		Euglenozoa	Kinetoplastea	Eubodonida	BSAL	Scaffold	reference genome	Y	GenBank	2015-11-25	39864394	31876	16731	Y	9426	median span of 1 measured discoba gene(s)	0.040	0.012	copy_number	Bodo saltans (Flagellated protozoan)
GCF_000002725.2	Leishmania major strain Friedlin	347515	discoba		Euglenozoa	Kinetoplastea	Trypanosomatida	ASM272v2	Complete Genome	reference genome	Y	RefSeq	2011-02-14	32855089	1091540	1091540	Y	9426	median span of 1 measured discoba gene(s)	0.033	0.010	phylum_rep	Euglenozoa
GCF_008403515.1	Naegleria fowleri	5763	discoba		Heterolobosea	Eutetramitea	Acrasida	ASM840351v1	Scaffold	reference genome	Y	RefSeq	2019-09-17	29500442	717491	238855	Y	9426	median span of 1 measured discoba gene(s)	0.030	0.009	phylum_rep;copy_number	Heterolobosea | Naegleria fowleri (Brain eating amoeba)
GCA_023515745.1	Amoeboaphelidium protococcarum	1243177	fungi	Fungi	Aphelidiomycota	Aphelidea		ASM2351574v1	Scaffold	reference genome	Y	GenBank	2022-05-20	24704406	2170272	1101699	Y	9363	median span of 1 measured fungi gene(s)	0.025	0.007	phylum_rep	Aphelidiomycota
GCA_001600815.1	Alloascoidea hylecoeti	54196	fungi	Fungi	Ascomycota	Alloascoideomycetes	Alloascoideales	JCM_7604_assembly_v001	Scaffold	reference genome	N	GenBank	2016-03-01	24815695	949999	224558	Y	9363	median span of 1 measured fungi gene(s)	0.025	0.007	class_rep	Alloascoideomycetes
GCA_026054675.1	Alyxoria varia	91480	fungi	Fungi	Ascomycota	Arthoniomycetes	Arthoniales	ASM2605467v1	Contig	reference genome	Y	GenBank	2022-11-07	25325852	348177	348177	Y	9363	median span of 1 measured fungi gene(s)	0.025	0.008	class_rep	Arthoniomycetes
GCF_000143535.2	Botrytis cinerea B05.10	332648	fungi	Fungi	Ascomycota	Leotiomycetes	Helotiales	ASM14353v4	Complete Genome	reference genome	Y	RefSeq	2015-02-05	42630066	2617329	2617329	Y	9363	median span of 1 measured fungi gene(s)	0.043	0.013	class_rep;absence_clade	Leotiomycetes | Leotiomycetes
GCF_011074865.1	Brettanomyces nanus	13502	fungi	Fungi	Ascomycota	Pichiomycetes	Pichiales	ASM1107486v2	Complete Genome	reference genome	Y	RefSeq	2020-12-03	10117252	3303233	3303233	Y	9363	median span of 1 measured fungi gene(s)	0.010	0.003	class_rep;absence_clade	Pichiomycetes | Pichiomycetes
GCA_026023815.1	Candelaria pacifica	460848	fungi	Fungi	Ascomycota	Candelariomycetes	Candelariales	ASM2602381v1	Scaffold	reference genome	Y	GenBank	2022-11-07	28982752	254030	250805	Y	9363	median span of 1 measured fungi gene(s)	0.029	0.009	class_rep	Candelariomycetes
GCA_026023565.1	Cirrosporium novae-zelandiae	1130053	fungi	Fungi	Ascomycota	Xylobotryomycetes	Xylobotryales	ASM2602356v1	Contig	reference genome	Y	GenBank	2022-11-07	31405350	658914	658914	Y	9363	median span of 1 measured fungi gene(s)	0.031	0.009	class_rep	Xylobotryomycetes
GCF_018416015.2	Coccidioides posadasii str. Silveira	443226	fungi	Fungi	Ascomycota	Eurotiomycetes	Onygenales	ASM1841601v2	Complete Genome	reference genome	Y	RefSeq	2022-02-01	28193268	8079863	8079863	Y	9363	median span of 1 measured fungi gene(s)	0.028	0.008	class_rep;absence_clade	Eurotiomycetes | Eurotiomycetes
GCF_020509005.1	Fulvia fulva	5499	fungi	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Cfulv_R5_v5	Complete Genome	reference genome	Y	RefSeq	2022-01-24	67169167	5777465	5777465	Y	9363	median span of 1 measured fungi gene(s)	0.067	0.020	class_rep;absence_clade	Dothideomycetes | Dothideomycetes
GCF_050947815.1	Fusarium sambucinum	5128	fungi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	OSU_Fsam_2.1	Complete Genome	reference genome	Y	RefSeq	2025-06-17	38591179	9651250	9651250	Y	9363	median span of 1 measured fungi gene(s)	0.039	0.012	phylum_rep;class_rep;absence_clade;absence_clade	Ascomycota | Sordariomycetes | Ascomycota | Sordariomycetes
GCA_020080175.1	Glutinoglossum americanum	1670608	fungi	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	ASM2008017v1	Scaffold	reference genome	Y	GenBank	2021-09-21	26395934	117181	95982	Y	9363	median span of 1 measured fungi gene(s)	0.026	0.008	class_rep	Geoglossomycetes
GCA_009733715.1	Herpomyces periplanetae	1749284	fungi	Fungi	Ascomycota	Laboulbeniomycetes	Herpomycetales	ASM973371v1	Scaffold	reference genome	N	GenBank	2019-12-06	14996527	95243	95243	Y	9363	median span of 1 measured fungi gene(s)	0.015	0.004	class_rep	Laboulbeniomycetes
GCF_000002515.2	Kluyveromyces lactis	28985	fungi	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	ASM251v1	Complete Genome	reference genome	Y	RefSeq	2004-07-02	10689156	1753957	1753957	Y	9363	median span of 1 measured fungi gene(s)	0.011	0.003	class_rep;absence_clade	Saccharomycetes | Saccharomycetes
GCF_014066315.1	Letharia lupina	560253	fungi	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lelup_v1.1	Contig	reference genome	Y	RefSeq	2020-08-06	49166941	2098233	2098233	Y	9363	median span of 1 measured fungi gene(s)	0.049	0.015	class_rep;absence_clade	Lecanoromycetes | Lecanoromycetes
GCF_003444635.1	Morchella importuna	1174673	fungi	Fungi	Ascomycota	Pezizomycetes	Pezizales	ASM344463v2	Scaffold	reference genome	Y	RefSeq	2018-09-04	50927171	978718	958716	Y	9363	median span of 1 measured fungi gene(s)	0.051	0.015	class_rep;absence_clade	Pezizomycetes | Pezizomycetes
GCA_001929475.1	Neolecta irregularis DAH-3	1198029	fungi	Fungi	Ascomycota	Neolectomycetes	Neolectales	NeoIirr1.0	Scaffold	reference genome	Y	GenBank	2017-01-04	14157967	16688	15654	Y	9363	median span of 1 measured fungi gene(s)	0.014	0.004	class_rep	Neolectomycetes
GCF_000182925.2	Neurospora crassa OR74A	367110	fungi	Fungi	Ascomycota	Sordariomycetes	Sordariales	NC12	Chromosome	reference genome	Y	RefSeq	2013-10-25	41037538	6000761	656009	Y	9363	median span of 1 measured fungi gene(s)	0.041	0.012	anchor	367110
GCA_016906335.1	Novakomyces olei	2605921	fungi	Fungi	Ascomycota	Novakomycetes	Novakomycetales	ASM1690633v1	Contig	reference genome	N	GenBank	2021-02-18	14339745	1687658	1687658	Y	9363	median span of 1 measured fungi gene(s)	0.014	0.004	class_rep	Novakomycetes
GCF_000225545.1	Orbilia oligospora ATCC 24927	756982	fungi	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	AOL24927 1.0	Scaffold	reference genome	Y	RefSeq	2011-09-08	40072829	2037373	575766	Y	9363	median span of 1 measured fungi gene(s)	0.040	0.012	class_rep;absence_clade	Orbiliomycetes | Orbiliomycetes
GCF_000349005.2	Pneumocystis murina B123	1069680	fungi	Fungi	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumo_murina_B123_V4	Contig	reference genome	Y	RefSeq	2015-12-22	7501343	492849	492849	Y	9363	median span of 1 measured fungi gene(s)	0.008	0.002	class_rep	Pneumocystomycetes
GCF_002105105.1	Protomyces lactucae-debilis	2754530	fungi	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Prola1	Contig	reference genome	Y	RefSeq	2017-04-20	12928838	565986	565986	Y	9363	median span of 1 measured fungi gene(s)	0.013	0.004	class_rep	Taphrinomycetes
GCF_000146045.2	Saccharomyces cerevisiae S288C	559292	fungi	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	R64	Complete Genome	reference genome	Y	RefSeq	2014-12-17	12071326	924431	924431	Y	9363	median span of 1 measured fungi gene(s)	0.012	0.004	anchor	559292
GCF_001661265.1	Saitoella complicata NRRL Y-17804	698492	fungi	Fungi	Ascomycota	Saitoellomycetes	Saitoellales	Saico1	Scaffold	reference genome	Y	RefSeq	2016-09-09	14136186	436079	289829	Y	9363	median span of 1 measured fungi gene(s)	0.014	0.004	class_rep	Saitoellomycetes
GCA_026026165.1	Sarea resinae	273283	fungi	Fungi	Ascomycota	Sareomycetes	Sareales	ASM2602616v1	Contig	reference genome	Y	GenBank	2022-11-07	25517000	270143	270143	Y	9363	median span of 1 measured fungi gene(s)	0.026	0.008	class_rep	Sareomycetes
GCF_027921745.1	Schizosaccharomyces osmophilus	2545709	fungi	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	ASM2792174v1	Complete Genome	reference genome	Y	RefSeq	2023-01-20	11416521	3504162	3504162	Y	9363	median span of 1 measured fungi gene(s)	0.011	0.003	class_rep	Schizosaccharomycetes
GCA_026025825.1	Sclerophora amabilis	2939403	fungi	Fungi	Ascomycota	Coniocybomycetes	Coniocybales	ASM2602582v1	Scaffold	reference genome	Y	GenBank	2022-11-07	25042950	134396	134396	Y	9363	median span of 1 measured fungi gene(s)	0.025	0.008	class_rep	Coniocybomycetes
GCA_001599295.1	Sporopachydermia quercuum	54094	fungi	Fungi	Ascomycota	Sporopachydermiomycetes	Sporopachydermiales	JCM_9486_assembly_v001	Scaffold	reference genome	N	GenBank	2016-03-01	16411463	1903616	852576	Y	9363	median span of 1 measured fungi gene(s)	0.016	0.005	class_rep	Sporopachydermiomycetes
GCF_001640025.1	Sugiyamaella lignohabitans	796027	fungi	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	ASM164002v2	Complete Genome	reference genome	Y	RefSeq	2016-05-06	15938258	4956242	4956242	Y	9363	median span of 1 measured fungi gene(s)	0.016	0.005	class_rep	Dipodascomycetes
GCA_001661475.1	Tortispora caseinolytica NRRL Y-17796	767744	fungi	Fungi	Ascomycota	Trigonopsidomycetes	Trigonopsidales	Canca1	Scaffold	reference genome	Y	GenBank	2016-09-15	9180161	3113199	572105	Y	9363	median span of 1 measured fungi gene(s)	0.009	0.003	class_rep	Trigonopsidomycetes
GCA_026025055.1	Watsoniomyces obsoletus	2796175	fungi	Fungi	Ascomycota	Lichinomycetes	Lichinales	ASM2602505v1	Scaffold	reference genome	Y	GenBank	2022-11-07	27112840	52823	51986	Y	9363	median span of 1 measured fungi gene(s)	0.027	0.008	class_rep	Lichinomycetes
GCF_001619985.1	Xylona heveae TC161	1328760	fungi	Fungi	Ascomycota	Xylonomycetes	Xylonales	Xylona heveae TC161 v1.0	Scaffold	reference genome	Y	RefSeq	2016-04-14	24337763	1905886	360689	Y	9363	median span of 1 measured fungi gene(s)	0.024	0.007	class_rep	Xylonomycetes
GCF_038497815.1	[Lipomyces] oligophaga	45792	fungi	Fungi	Ascomycota	Lipomycetes	Lipomycetales	Lipoli1	Scaffold	reference genome	Y	RefSeq	2024-04-24	13579278	1558445	1558445	Y	9363	median span of 1 measured fungi gene(s)	0.014	0.004	class_rep;absence_clade	Lipomycetes | Lipomycetes
GCA_002104905.1	Basidiobolus meristosporus CBS 931.73	1314790	fungi	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basme2finSC	Contig	reference genome	Y	GenBank	2017-04-20	89489060	106019	106019	Y	9363	median span of 1 measured fungi gene(s)	0.089	0.027	phylum_rep	Basidiobolomycota
GCA_021432655.1	Atractiella rhizophila	1938712	fungi	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	Atrsp2	Scaffold	reference genome	Y	GenBank	2021-12-27	51470471	73724	41655	Y	9363	median span of 1 measured fungi gene(s)	0.051	0.015	class_rep	Atractiellomycetes
GCA_055755435.1	Basidioascus undulatus	1230402	fungi	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	ASM5575543v1	Contig	reference genome	Y	GenBank	2026-03-09	34779436	2282943	2282943	Y	9363	median span of 1 measured fungi gene(s)	0.035	0.010	class_rep	Geminibasidiomycetes
GCA_058224955.1	Classicula fluitans	203533	fungi	Fungi	Basidiomycota	Classiculomycetes	Classiculales	ASM5822495v1	Scaffold	reference genome	Y	GenBank	2026-06-16	52665275	159752	24327	Y	9363	median span of 1 measured fungi gene(s)	0.053	0.016	class_rep	Classiculomycetes
GCF_039999085.1	Cystobasidium minutum MCA 4210	1397322	fungi	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Rhomi1	Scaffold	reference genome	Y	RefSeq	2024-05-28	20824934	3450099	1853410	Y	9363	median span of 1 measured fungi gene(s)	0.021	0.006	class_rep	Cystobasidiomycetes
GCF_000292625.1	Dacryopinax primogenitus	1858805	fungi	Fungi	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacryopinax sp. DJM 731 SSP1 v1.0	Scaffold	reference genome	Y	RefSeq	2012-08-23	29503487	1233089	66431	Y	9363	median span of 1 measured fungi gene(s)	0.030	0.009	class_rep	Dacrymycetes
GCF_036426115.1	Kwoniella botswanensis	1268659	fungi	Fungi	Basidiomycota	Tremellomycetes	Tremellales	ASM3642611v1	Complete Genome	reference genome	Y	RefSeq	2024-02-07	23007246	18234046	18234046	Y	9363	median span of 1 measured fungi gene(s)	0.023	0.007	phylum_rep;class_rep;absence_clade;absence_clade	Basidiomycota | Tremellomycetes | Basidiomycota | Tremellomycetes
GCF_003290485.1	Malassezia restricta	76775	fungi	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	ASM329048v1	Complete Genome	reference genome	Y	RefSeq	2018-07-09	7330907	1222814	1222814	Y	9363	median span of 1 measured fungi gene(s)	0.007	0.002	class_rep;absence_clade	Malasseziomycetes | Malasseziomycetes
GCF_003144205.1	Meira miltonrushii	1280837	fungi	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Meimi1	Scaffold	reference genome	Y	RefSeq	2018-05-21	17383515	4542697	624146	Y	9363	median span of 1 measured fungi gene(s)	0.017	0.005	class_rep;absence_clade	Exobasidiomycetes | Exobasidiomycetes
GCF_000708205.1	Mixia osmundae IAM 14324	764103	fungi	Fungi	Basidiomycota	Mixiomycetes	Mixiales	Mixia osmundae v1.0	Scaffold	reference genome	Y	RefSeq	2014-06-23	13634488	1194905	426173	Y	9363	median span of 1 measured fungi gene(s)	0.014	0.004	class_rep	Mixiomycetes
GCA_029717555.1	Peribolospora baueri	2923028	fungi	Fungi	Basidiomycota	Peribolosporomycetes	Peribolosporales	ASM2971755v1	Scaffold	reference genome	N	GenBank	2023-04-13	22677019	201233	198399	Y	9363	median span of 1 measured fungi gene(s)	0.023	0.007	class_rep	Peribolosporomycetes
GCA_058224995.1	Phyllozyma linderae	69979	fungi	Fungi	Basidiomycota	Spiculogloeomycetes	Spiculogloeales	ASM5822499v1	Scaffold	reference genome	Y	GenBank	2026-06-16	18244034	2010320	636672	Y	9363	median span of 1 measured fungi gene(s)	0.018	0.005	class_rep	Spiculogloeomycetes
GCF_026914185.1	Puccinia triticina	208348	fungi	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	ASM2691418v1	Complete Genome	reference genome	Y	RefSeq	2022-12-15	122823596	7485535	7485535	Y	9363	median span of 1 measured fungi gene(s)	0.123	0.037	class_rep;absence_clade	Pucciniomycetes | Pucciniomycetes
GCF_016906535.1	Rhizoctonia solani	456999	fungi	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	ASM1690653v1	Complete Genome	reference genome	Y	RefSeq	2021-02-18	40703773	2303118	2303118	Y	9363	median span of 1 measured fungi gene(s)	0.041	0.012	class_rep;absence_clade	Agaricomycetes | Agaricomycetes
GCF_001329695.1	Rhodotorula graminis WP1	578459	fungi	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Rhoba1_1	Scaffold	reference genome	Y	RefSeq	2015-10-19	21013998	1420730	167431	Y	9363	median span of 1 measured fungi gene(s)	0.021	0.006	class_rep;absence_clade	Microbotryomycetes | Microbotryomycetes
GCF_005498985.1	Sporisorium graminicola	280036	fungi	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	PGRAM_IIB_1.0	Chromosome	reference genome	Y	RefSeq	2019-06-06	19565848	966477	823447	Y	9363	median span of 1 measured fungi gene(s)	0.020	0.006	class_rep;absence_clade	Ustilaginomycetes | Ustilaginomycetes
GCA_058224865.1	Sterigmatomyces hyphaenes	44565	fungi	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	ASM5822486v1	Scaffold	reference genome	Y	GenBank	2026-06-16	17894169	720429	553954	Y	9363	median span of 1 measured fungi gene(s)	0.018	0.005	class_rep	Agaricostilbomycetes
GCF_000400465.1	Wallemia ichthyophaga EXF-994	1299270	fungi	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemia ichthyophaga version 1.0	Scaffold	reference genome	Y	RefSeq	2013-05-20	9655632	436658	346931	Y	9363	median span of 1 measured fungi gene(s)	0.010	0.003	class_rep	Wallemiomycetes
GCA_000151295.1	Allomyces macrogynus ATCC 38327	578462	fungi	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	A_macrogynus_V3	Scaffold	reference genome	Y	GenBank	2010-02-18	57060573	1114524	35497	Y	9363	median span of 1 measured fungi gene(s)	0.057	0.017	phylum_rep	Blastocladiomycota
GCF_041956535.1	Calcarisporiella thermophila	911321	fungi	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calth1	Scaffold	reference genome	Y	RefSeq	2024-09-16	28155144	849248	128554	Y	9363	median span of 1 measured fungi gene(s)	0.028	0.008	phylum_rep	Calcarisporiellomycota
GCF_000203795.2	Batrachochytrium dendrobatidis JAM81	684364	fungi	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales	v1.1	Scaffold	reference genome	Y	RefSeq	2011-04-12	23810896	1484462	318527	Y	9363	median span of 1 measured fungi gene(s)	0.024	0.007	phylum_rep;anchor	Chytridiomycota | 109871
GCA_014839935.2	Entomophthora muscae	34485	fungi	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	UCR_Emusc_Berkeley_Nanopore.2	Scaffold	reference genome	Y	GenBank	2023-05-18	1031188800	329569	267422	Y	9363	median span of 1 measured fungi gene(s)	1.031	0.309	phylum_rep	Entomophthoromycota
GCF_026210795.1	Rhizophagus irregularis	588596	fungi	Fungi	Glomeromycota	Glomeromycetes	Glomerales	ASM2621079v1	Chromosome	reference genome	Y	RefSeq	2022-11-16	146773001	5085394	3900757	Y	9363	median span of 1 measured fungi gene(s)	0.147	0.044	phylum_rep;absence_clade;absence_clade	Glomeromycota | Glomeromycota | Glomeromycetes
GCF_002104995.1	Linderina pennispora	61395	fungi	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Linpe1	Contig	reference genome	Y	RefSeq	2017-04-20	26202545	908848	908848	Y	9363	median span of 1 measured fungi gene(s)	0.026	0.008	phylum_rep;absence_clade;absence_clade	Kickxellomycota | Kickxellomycota | Kickxellomycetes
GCF_000091225.2	Encephalitozoon cuniculi GB-M1	284813	fungi	Fungi	Microsporidia			ASM9122v2	Chromosome	reference genome	Y	RefSeq	2017-03-09	2497519	220294	218329	Y	9363	median span of 1 measured fungi gene(s)	0.002	0.001	anchor	6035
GCF_036630325.1	Vairimorpha necatrix	6039	fungi	Fungi	Microsporidia			ASM3663032v1	Complete Genome	reference genome	Y	RefSeq	2024-02-15	15005441	1281651	1281651	Y	9363	median span of 1 measured fungi gene(s)	0.015	0.005	phylum_rep;absence_clade	Microsporidia | Microsporidia
GCA_025558095.1	Hyaloraphidium curvatum	82268	fungi	Fungi	Monoblepharomycota	Hyaloraphidiomycetes	Hyaloraphidiales	Hyacur1	Scaffold	reference genome	Y	GenBank	2022-10-03	31926619	722379	722379	Y	9363	median span of 1 measured fungi gene(s)	0.032	0.010	phylum_rep	Monoblepharomycota
GCF_002105155.1	Lobosporangium transversale	64571	fungi	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Lobtra1	Contig	reference genome	Y	RefSeq	2017-04-20	42768949	672590	672590	Y	9363	median span of 1 measured fungi gene(s)	0.043	0.013	phylum_rep;absence_clade;absence_clade	Mortierellomycota | Mortierellomycota | Mortierellomycetes
