accession	organism	vorder	anchor	anchor_organism	orientation	margin
GCA_014281875.1	Nibea albiflora		GCF_029633855.1	Hoplias malabaricus	1	0.2581
GCA_014281875.1	Nibea albiflora		GCF_041902795.1	Electrophorus electricus	1	0.253
GCA_014281875.1	Nibea albiflora		GCF_052040795.1	Danio rerio	1	0.2562
GCA_014281875.1	Nibea albiflora		GCF_902362185.1	Chanos chanos	0	0.351
GCA_014281875.1	Nibea albiflora		GCF_902167405.1	Gadus morhua	1	0.2452
GCA_048569125.1	Diretmus argenteus	Trachichthyiformes	GCA_014281875.1	Nibea albiflora	1	0.1769
GCA_048569125.1	Diretmus argenteus	Trachichthyiformes	GCF_029633855.1	Hoplias malabaricus	0	0.195
GCA_048569125.1	Diretmus argenteus	Trachichthyiformes	GCF_041902795.1	Electrophorus electricus	0	0.1895
GCA_048569125.1	Diretmus argenteus	Trachichthyiformes	GCF_052040795.1	Danio rerio	0	0.1467
GCA_048569125.1	Diretmus argenteus	Trachichthyiformes	GCF_902362185.1	Chanos chanos	1	0.4242
GCA_048569125.1	Diretmus argenteus	Trachichthyiformes	GCF_902167405.1	Gadus morhua	0	0.6749
GCA_056783565.1	Hiodon alosoides	Hiodontiformes	GCA_014281875.1	Nibea albiflora	1	0.1178
GCA_056783565.1	Hiodon alosoides	Hiodontiformes	GCF_029633855.1	Hoplias malabaricus	0	0.3631
GCA_056783565.1	Hiodon alosoides	Hiodontiformes	GCF_041902795.1	Electrophorus electricus	0	0.3619
GCA_056783565.1	Hiodon alosoides	Hiodontiformes	GCF_052040795.1	Danio rerio	0	0.3803
GCA_056783565.1	Hiodon alosoides	Hiodontiformes	GCF_902362185.1	Chanos chanos	1	0.2717
GCA_056783565.1	Hiodon alosoides	Hiodontiformes	GCF_902167405.1	Gadus morhua	0	0.3457
GCF_011004845.1	Esox lucius	Esociformes	GCA_014281875.1	Nibea albiflora	0	0.2838
GCF_011004845.1	Esox lucius	Esociformes	GCF_029633855.1	Hoplias malabaricus	1	0.4267
GCF_011004845.1	Esox lucius	Esociformes	GCF_041902795.1	Electrophorus electricus	1	0.4213
GCF_011004845.1	Esox lucius	Esociformes	GCF_052040795.1	Danio rerio	1	0.3877
