accession	organism	vclass	vorder	group	contig_spans_gene	ITPR1_copies	ITPR2_copies	ITPR3_copies	RYR_copies	ITPR1_contigs	ITPR1_same_contig
GCF_017654505.1	Polyodon spathula	Actinopteri	Acipenseriformes	extra_wgd	1	2	2	2	6	NC_054549.1;NC_054556.1	0
GCF_965601325.1	Salmo salar	Actinopteri	Salmoniformes	extra_wgd	1	4	2	2	10	NC_138302.1;NC_138312.1	1
GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	pre_3R_outgroup	1	1	1	1	3	NC_089852.1	0
GCA_043380575.1	Atractosteus spatula	Actinopteri	Semionotiformes	pre_3R_outgroup	1	1	1	1	3	CM092437.1	0
GCF_900747795.2	Erpetoichthys calabaricus	Cladistia	Polypteriformes	pre_3R_outgroup	1	1	1	1	3	NC_041411.2	0
GCF_040954835.1	Lepisosteus oculatus	Actinopteri	Semionotiformes	pre_3R_outgroup	1	1	1	1	3	NC_090699.1	0
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	teleost	1	2	1	1	6	OZ413072.1	1
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	teleost	1	2	1	1	5	CM165712.1;CM165714.1	0
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	teleost	1	2	1	1	5	CM040752.1;CM040754.1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	teleost	1	2	1	1	5	JAINUG010000031.1;JAINUG010000036.1	0
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	teleost	1	2	1	1	6	CM166150.1	1
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	Percopsiformes	teleost	1	2	1	1	6	CM101355.1	1
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	teleost	0	0	0	0	1		0
GCF_949987685.1	Ammodytes marinus	Actinopteri	Uranoscopiformes	teleost	1	2	1	1	6	NC_137233.1	1
GCF_040054535.1	Antennarius striatus	Actinopteri	Lophiiformes	teleost	1	2	1	1	6	NC_090780.1	1
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	teleost	1	1	1	1	6	CM030173.1	0
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	teleost	1	2	1	1	4	CM142465.1	1
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	teleost	0	0	0	1	3		0
GCF_949987555.1	Borostomias antarcticus	Actinopteri	Stomiiformes	teleost	1	2	1	1	6	NC_140240.1;NC_140244.1	0
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	teleost	1	2	1	1	6	OZ263291.1	1
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	teleost	1	2	1	1	6	CM043789.1	1
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	Chaetodontiformes	teleost	1	2	1	1	6	NC_092058.1	1
GCF_033026475.1	Channa argus	Actinopteri	Anabantiformes	teleost	1	2	1	1	6	NC_090201.1	1
GCF_902362185.1	Chanos chanos	Actinopteri	Gonorynchiformes	teleost	1	2	1	1	6	NC_044500.1	1
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	teleost	0	0	1	0	0		0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	Labriformes	teleost	1	2	1	1	6	NC_054867.1	1
GCF_963514085.1	Chelon labrosus	Actinopteri	Mugiliformes	teleost	1	2	1	1	6	NC_140340.1	1
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	teleost	1	2	1	1	6	CM070012.1;CM070017.1	0
GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	teleost	1	2	1	1	6	NC_084594.1	1
GCF_963514075.1	Conger conger	Actinopteri	Anguilliformes	teleost	1	2	1	1	5	NC_083769.1;NC_083773.1	0
GCF_052040795.1	Danio rerio	Actinopteri	Cypriniformes	teleost	1	2	1	1	6	NC_141026.1;NC_141031.1	0
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	teleost	1	2	1	1	6	CM142224.1	1
GCA_048569125.1	Diretmus argenteus	Actinopteri	Trachichthyiformes	teleost	1	2	2	1	6	CM109045.1	1
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	teleost	1	2	1	1	6	CM062265.1	1
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	teleost	1	2	1	1	6	JAAKFY010000006.1	1
GCF_041902795.1	Electrophorus electricus	Actinopteri	Gymnotiformes	teleost	1	2	1	1	5	NC_137503.1;NC_137518.1	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	teleost	1	2	1	1	6	NC_085870.1	1
GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	teleost	1	2	1	1	7	NC_084731.1	1
GCF_011004845.1	Esox lucius	Actinopteri	Esociformes	teleost	1	2	1	1	6	NC_047585.1	1
GCF_902167405.1	Gadus morhua	Actinopteri	Gadiformes	teleost	1	2	1	1	6	NC_044060.1	1
