accession	species	group	phylum	arch_call	confidence	seq_call	agrees	decisive	margin	best_itpr_bait	id_to_itpr	best_ryr_bait	id_to_ryr	metric
A0AAV2LHX1	Knipowitschia caucasica (Caucasian dwarf goby) (Pomatoschistus caucasicus)	Vertebrata	Chordata	RYR	high	RYR	1	1	-0.6027	BAIT_ITPR|Hs_ITPR2_Q14571	0.2251	BAIT_RYR|Hs_RYR2_Q92736	0.8278	covered_only
A0ACM8CH91	Saccoglossus kowalevskii (Acorn worm)	Metazoa (non-vertebrate)	Hemichordata	RYR	high	RYR	1	1	-0.291	BAIT_ITPR|Hs_ITPR3_Q14573	0.2289	BAIT_RYR|Hs_RYR2_Q92736	0.5198	covered_only
A0A1S3I436	Lingula anatina (Brachiopod) (Lingula unguis)	Metazoa (non-vertebrate)	Brachiopoda	RYR	high	RYR	1	1	-0.2869	BAIT_ITPR|Hs_ITPR2_Q14571	0.2348	BAIT_RYR|Hs_RYR2_Q92736	0.5216	covered_only
Q8TA74	Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)	Metazoa (non-vertebrate)	Echinodermata	RYR	high	RYR	1	1	-0.2775	BAIT_ITPR|Hs_ITPR3_Q14573	0.2308	BAIT_RYR|Hs_RYR2_Q92736	0.5082	covered_only
A0AAE0Y8B9	Elysia crispata (lettuce slug)	Metazoa (non-vertebrate)	Mollusca	RYR	high	RYR	1	1	-0.2733	BAIT_ITPR|Hs_ITPR2_Q14571	0.2374	BAIT_RYR|Hs_RYR2_Q92736	0.5107	covered_only
A0ABM1DXK4	Priapulus caudatus (Priapulid worm)	Metazoa (non-vertebrate)	Priapulida	RYR	high	RYR	1	1	-0.2706	BAIT_ITPR|Hs_ITPR1_Q14643	0.2008	BAIT_RYR|Hs_RYR2_Q92736	0.4714	covered_only
X1Z8I7	Capitella teleta (Polychaete worm)	Metazoa (non-vertebrate)	Annelida	RYR	high	RYR	1	1	-0.2641	BAIT_ITPR|Hs_ITPR2_Q14571	0.2323	BAIT_RYR|Hs_RYR2_Q92736	0.4964	covered_only
A0A4S2KV39	Temnothorax longispinosus	Metazoa (non-vertebrate)	Arthropoda	RYR	high	RYR	1	1	-0.2543	BAIT_ITPR|Hs_ITPR2_Q14571	0.24	BAIT_RYR|Hs_RYR2_Q92736	0.4942	covered_only
A0A1W0WNM8	Hypsibius exemplaris (Freshwater tardigrade)	Metazoa (non-vertebrate)	Tardigrada	RYR	high	RYR	1	1	-0.2538	BAIT_ITPR|Hs_ITPR2_Q14571	0.2185	BAIT_RYR|Hs_RYR2_Q92736	0.4723	covered_only
A0A813R8P9	Rotaria sordida	Metazoa (non-vertebrate)	Rotifera	RYR	high	RYR	1	1	-0.2337	BAIT_ITPR|Hs_ITPR2_Q14571	0.2296	BAIT_RYR|Hs_RYR2_Q92736	0.4634	covered_only
A0A7J7KHS8	Bugula neritina (Brown bryozoan) (Sertularia neritina)	Metazoa (non-vertebrate)	Bryozoa	RYR	medium	RYR	1	1	-0.233	BAIT_ITPR|Hs_ITPR2_Q14571	0.2568	BAIT_RYR|Hs_RYR2_Q92736	0.4898	covered_only
A0A915EYX6	Echinococcus canadensis	Metazoa (non-vertebrate)	Platyhelminthes	RYR	high	RYR	1	1	-0.2092	BAIT_ITPR|Hs_ITPR2_Q14571	0.2378	BAIT_RYR|Hs_RYR2_Q92736	0.447	covered_only
B3RK74	Trichoplax adhaerens (Trichoplax reptans)	Metazoa (non-vertebrate)	Placozoa	RYR	high	RYR	1	1	-0.2041	BAIT_ITPR|Hs_ITPR1_Q14643	0.2148	BAIT_RYR|Hs_RYR2_Q92736	0.4188	covered_only
A8XUM8	Caenorhabditis briggsae	Metazoa (non-vertebrate)	Nematoda	RYR	high	RYR	1	1	-0.2025	BAIT_ITPR|Hs_ITPR2_Q14571	0.2383	BAIT_RYR|Hs_RYR2_Q92736	0.4408	covered_only
A0A0D2WXI6	Capsaspora owczarzaki (strain ATCC 30864)	Eukaryota (other)		RYR	high	RYR	1	0	-0.0899	BAIT_ITPR|Hs_ITPR3_Q14573	0.2133	BAIT_RYR|Hs_RYR2_Q92736	0.3032	covered_only
A0AAV7K8I1	Oopsacas minuta	Metazoa (non-vertebrate)	Porifera	RYR	high	RYR	1	0	-0.0884	BAIT_ITPR|Hs_ITPR1_Q14643	0.1948	BAIT_RYR|Hs_RYR2_Q92736	0.2832	covered_only
A0A0M0J4V2	Chrysochromulina tobinii	Eukaryota (other)	Haptophyta	ITPR	medium	RYR	0	0	-0.0007	BAIT_ITPR|Hs_ITPR1_Q14643	0.244	BAIT_RYR|Hs_RYR2_Q92736	0.2447	covered_only
A0A1X0NWX8	Trypanosoma theileri	Discoba	Euglenozoa	ITPR	medium	ITPR	1	0	0.0003	BAIT_ITPR|Hs_ITPR1_Q14643	0.22	BAIT_RYR|Hs_RYR2_Q92736	0.2197	covered_only
A0A152A7I8	Tieghemostelium lacteum (Slime mold) (Dictyostelium lacteum)	Amoebozoa	Evosea	RYR	medium	ITPR	0	0	0.0005	BAIT_ITPR|Hs_ITPR3_Q14573	0.1926	BAIT_RYR|Hs_RYR2_Q92736	0.192	covered_only
A0A1Q9CN86	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	SAR		RYR	low	ITPR	0	0	0.005	BAIT_ITPR|Hs_ITPR2_Q14571	0.1973	BAIT_RYR|Hs_RYR1_P21817	0.1924	covered_only
A0AAE0LDZ1	Cymbomonas tetramitiformis	Viridiplantae	Chlorophyta	ITPR	medium	ITPR	1	0	0.011	BAIT_ITPR|Hs_ITPR2_Q14571	0.2185	BAIT_RYR|Hs_RYR2_Q92736	0.2074	covered_only
A0ABQ8UZM6	Paratrimastix pyriformis	Eukaryota (other)	Preaxostyla	ITPR	medium	ITPR	1	0	0.0129	BAIT_ITPR|Hs_ITPR1_Q14643	0.2256	BAIT_RYR|Hs_RYR2_Q92736	0.2127	covered_only
A0A1X2IXV9	Absidia repens	Fungi	Mucoromycota	ITPR	medium	ITPR	1	0	0.0147	BAIT_ITPR|Hs_ITPR1_Q14643	0.235	BAIT_RYR|Hs_RYR2_Q92736	0.2203	covered_only
A0ABR4NID5	Polyrhizophydium stewartii	Fungi	Chytridiomycota	ITPR	high	ITPR	1	0	0.0213	BAIT_ITPR|Hs_ITPR3_Q14573	0.2507	BAIT_RYR|Hs_RYR2_Q92736	0.2294	covered_only
A0A078A1U0	Stylonychia lemnae (Ciliate)	SAR	Ciliophora	ITPR	medium	ITPR	1	0	0.0233	BAIT_ITPR|Hs_ITPR2_Q14571	0.2183	BAIT_RYR|Hs_RYR2_Q92736	0.195	covered_only
A0A9W7FTI7	Triparma laevis f. longispina	SAR		ITPR	high	ITPR	1	0	0.0244	BAIT_ITPR|Hs_ITPR1_Q14643	0.2249	BAIT_RYR|Hs_RYR1_P21817	0.2005	covered_only
A0A1S3H6V5	Lingula anatina (Brachiopod) (Lingula unguis)	Metazoa (non-vertebrate)	Brachiopoda	ITPR	medium	ITPR	1	0	0.0255	BAIT_ITPR|Hs_ITPR1_Q14643	0.2304	BAIT_RYR|Hs_RYR2_Q92736	0.2049	covered_only
A0AAN7YWK4	Dictyostelium firmibasis	Amoebozoa	Evosea	ITPR	medium	ITPR	1	0	0.0282	BAIT_ITPR|Hs_ITPR1_Q14643	0.2304	BAIT_RYR|Hs_RYR2_Q92736	0.2022	covered_only
A0ACC2TPX2	Entomophthora muscae	Fungi	Entomophthoromycota	ITPR	high	ITPR	1	0	0.0303	BAIT_ITPR|Hs_ITPR1_Q14643	0.2372	BAIT_RYR|Hs_RYR2_Q92736	0.2069	covered_only
