Proteome Id	Organism	Organism Id	Protein count
UP000000803	Drosophila melanogaster (Fruit fly)	7227	21947
UP000001940	Caenorhabditis elegans	6239	26629
UP000008549	Caenorhabditis briggsae	6238	21744
UP000069940	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	26331
UP000000304	Drosophila simulans (Fruit fly)	7240	15361
UP000000305	Daphnia pulex (Water flea)	6669	30137
UP000000311	Camponotus floridanus (Florida carpenter ant)	104421	14787
UP000000673	Anopheles darlingi (Mosquito)	43151	10595
UP000001070	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	7222	14754
UP000001292	Drosophila sechellia (Fruit fly)	7238	16129
UP000001307	Oikopleura dioica (Tunicate)	34765	17050
UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	38650
UP000001593	Nematostella vectensis (Starlet sea anemone)	45351	24435
UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	23331
UP000002282	Drosophila yakuba (Fruit fly)	7245	20727
UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	18868
UP000002358	Nasonia vitripennis (Parasitic wasp)	7425	24858
UP000005203	Apis mellifera (Honeybee)	7460	19057
UP000005204	Bombyx mori (Silk moth)	7091	23640
UP000005205	Atta cephalotes (Leafcutter ant)	12957	10634
UP000005237	Caenorhabditis japonica	281687	35024
UP000005239	Pristionchus pacificus (Parasitic nematode worm)	54126	26122
UP000005408	Magallana gigas (Pacific oyster) (Crassostrea gigas)	29159	57874
UP000006672	Brugia malayi (Filarial nematode worm)	6279	15168
UP000007062	Anopheles gambiae (African malaria mosquito)	7165	14559
UP000007110	Strongylocentrotus purpuratus (Purple sea urchin)	7668	34417
UP000007151	Danaus plexippus plexippus	278856	15140
UP000007266	Tribolium castaneum (Red flour beetle)	7070	18505
UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	13962
UP000007798	Drosophila willistoni (Fruit fly)	7260	14806
UP000007801	Drosophila ananassae (Fruit fly)	7217	19362
UP000007819	Acyrthosiphon pisum (Pea aphid)	7029	23442
UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	20004
UP000007879	Amphimedon queenslandica (Sponge)	400682	22831
UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	29982
UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	17311
UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	15029
UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	31252
UP000008711	Drosophila erecta (Fruit fly)	7220	17348
UP000008744	Drosophila persimilis (Fruit fly)	7234	16754
UP000008792	Drosophila virilis (Fruit fly)	7244	18316
UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	20643
UP000008854	Schistosoma mansoni (Blood fluke)	6183	10771
UP000008909	Clonorchis sinensis (Chinese liver fluke)	79923	13606
UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	11520
UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	10776
UP000009192	Drosophila mojavensis (Fruit fly)	7230	18165
UP000014500	Strigamia maritima (European centipede) (Geophilus maritimus)	126957	14972
UP000014760	Capitella teleta (Polychaete worm)	283909	31857
UP000015101	Helobdella robusta (Californian leech)	6412	23328
UP000015102	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	11463
UP000015103	Rhodnius prolixus (Triatomid bug)	13249	14974
UP000015104	Tetranychus urticae (Two-spotted spider mite)	32264	17526
UP000017246	Echinococcus multilocularis (Fox tapeworm)	6211	10472
UP000019118	Dendroctonus ponderosae (Mountain pine beetle)	77166	17726
UP000019149	Echinococcus granulosus (Hydatid tapeworm)	6210	11279
UP000024404	Onchocerca volvulus	6282	12223
UP000024635	Ancylostoma ceylanicum	53326	65375
UP000025227	Haemonchus contortus (Barber pole worm)	6289	20964
UP000027135	Zootermopsis nevadensis (Dampwood termite)	136037	14539
UP000030665	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	9624
