paralog	accession	organism	vclass	vorder	mp_id	bait	coverage	identity	aligned_aa	frameshifts	stop_codons	integrity	seq_len	source	kept	reason	name
ITPR1	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes			0.3343	0.9925					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR2	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes			0.387	0.9542					0	sweep_model	False	below_quality_bar(fragment)	
ITPR3	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	MP000028	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.8239	0.9903	2195	1	0	intact	2195	sweep_model	True	ok	ITPR3|Podiceps_cristatus|GCA_000699545.1
ITPR1	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR2	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes			0.3752	0.9852					0	sweep_model	False	below_quality_bar(fragment)	
ITPR3	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes			0.7477	0.9781					0	sweep_model	False	below_quality_bar(found_annotated)	
ITPR1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	MP000001	Q14643|ITPR1|Homo_sapiens|ITPR1	1.0	0.8879	2758	1	0	intact	2672	sweep_model	True	ok	ITPR1|Cervus_elaphus_hippelaphus|GCA_002197005.1
ITPR2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	MP000007	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.8296	2701	1	0	intact	2661	sweep_model	True	ok	ITPR2|Cervus_elaphus_hippelaphus|GCA_002197005.1
ITPR3	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR1	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR2	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes									0	sweep_model	False	below_quality_bar(tblastn_trace)	
ITPR3	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	MP000014	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9801	0.8623	2611	2	1	intact	2474	sweep_model	True	ok	ITPR3|Limosa_lapponica_baueri|GCA_002844005.1
ITPR1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes			0.3516	1.0					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR2	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes			0.2111	0.9					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR3	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes			0.6295	0.9988					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR1	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9975	0.9524	2772	0	0	intact	2759	sweep_model	True	ok	ITPR1|Sphenodon_punctatus|GCA_003113815.1
ITPR2	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	MP000010	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1.0	0.9338	2700	0	0	intact	2703	sweep_model	True	ok	ITPR2|Sphenodon_punctatus|GCA_003113815.1
ITPR3	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	MP000017	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9415	2664	0	0	intact	2666	sweep_model	True	ok	ITPR3|Sphenodon_punctatus|GCA_003113815.1
ITPR1	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata			0.5817	0.9671					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR2	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata			0.5616	0.913					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR3	GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata			0.5911	0.9385					0	sweep_model	False	below_quality_bar(assembly_gap)	
ITPR1	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9412	2779	1	0	intact	2779	sweep_model	True	ok	ITPR1|Anomalopteryx_didiformis|GCA_006937325.1
ITPR2	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	MP000010	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1.0	0.9404	2700	0	0	intact	2712	sweep_model	True	ok	ITPR2|Anomalopteryx_didiformis|GCA_006937325.1
ITPR3	GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9589	2664	0	0	intact	2676	sweep_model	True	ok	ITPR3|Anomalopteryx_didiformis|GCA_006937325.1
ITPR1	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	MP000001	Q14643|ITPR1|Homo_sapiens|ITPR1	1.0	0.9797	2758	0	0	intact	2760	sweep_model	True	ok	ITPR1|Sousa_chinensis|GCA_007760645.1
ITPR2	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	MP000008	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.9594	2701	0	0	intact	2733	sweep_model	True	ok	ITPR2|Sousa_chinensis|GCA_007760645.1
ITPR3	GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	MP000016	Q14573|ITPR3|Homo_sapiens|ITPR3	1.0	0.9738	2671	0	0	intact	2671	sweep_model	True	ok	ITPR3|Sousa_chinensis|GCA_007760645.1
ITPR1	GCA_008658365.1	Alca torda	Aves	Charadriiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9903	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Alca_torda|GCA_008658365.1
ITPR2	GCA_008658365.1	Alca torda	Aves	Charadriiformes	MP000051	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9772	2700	5	1	elevated_lesions	2695	sweep_model	False	s15a_elevated_lesions	
ITPR3	GCA_008658365.1	Alca torda	Aves	Charadriiformes	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9831	2664	15	0	elevated_lesions	2655	sweep_model	False	s15a_elevated_lesions	
ITPR1	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9888	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Bucorvus_abyssinicus|GCA_009769605.1
ITPR2	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	MP000049	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9767	2700	0	0	intact	2700	sweep_model	True	ok	ITPR2|Bucorvus_abyssinicus|GCA_009769605.1
ITPR3	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9865	2664	0	0	intact	2664	sweep_model	True	ok	ITPR3|Bucorvus_abyssinicus|GCA_009769605.1
ITPR1	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9928	2779	0	0	intact	2778	sweep_model	True	ok	ITPR1|Phoenicopterus_ruber_ruber|GCA_009819775.1
ITPR2	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	MP000050	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9865	2700	3	0	intact	2698	sweep_model	True	ok	ITPR2|Phoenicopterus_ruber_ruber|GCA_009819775.1
ITPR3	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9899	2664	0	0	intact	2664	sweep_model	True	ok	ITPR3|Phoenicopterus_ruber_ruber|GCA_009819775.1
ITPR1	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	MP000001	Q14643|ITPR1|Homo_sapiens|ITPR1	1.0	0.9815	2758	0	0	intact	2760	sweep_model	True	ok	ITPR1|Cervus_hanglu_yarkandensis|GCA_010411085.1
ITPR2	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	MP000008	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.9785	2701	0	0	intact	2701	sweep_model	True	ok	ITPR2|Cervus_hanglu_yarkandensis|GCA_010411085.1
ITPR3	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	MP000016	Q14573|ITPR3|Homo_sapiens|ITPR3	1.0	0.9715	2671	0	0	intact	2671	sweep_model	True	ok	ITPR3|Cervus_hanglu_yarkandensis|GCA_010411085.1
ITPR1	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	MP000083	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9528	2748	4	0	intact	2739	sweep_model	False	s15a_elevated_lesions	
ITPR2	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	MP000085	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	1.0	0.8622	2701	4	0	intact	2685	sweep_model	True	ok	ITPR2|Dissostichus_mawsoni|GCA_011823955.1
