accession	organism	vclass	vorder	group	cell	copy_id	label	contig	start	end	n_informative	keys
GCA_008658365.1	Alca torda	Aves	Charadriiformes	non_actinopterygian	ITPR1	Alca_torda|GCA_008658365.1|ITPR1.0	Alca_torda|GCA_008658365.1|ITPR1.0	CM018086.1	14511323	14687739	17	ARL8B;BHLHE40;CAV3;CHL1;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
GCA_008658365.1	Alca torda	Aves	Charadriiformes	non_actinopterygian	ITPR2	Alca_torda|GCA_008658365.1|ITPR2.0	Alca_torda|GCA_008658365.1|ITPR2.0	CM018076.1	74630781	74897326	17	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;LDHB;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
GCA_008658365.1	Alca torda	Aves	Charadriiformes	non_actinopterygian	ITPR3	Alca_torda|GCA_008658365.1|ITPR3.0	Alca_torda|GCA_008658365.1|ITPR3.0	CM018095.1	3506405	3555552	12	APOBEC2;BAK1;GRM4;HMGA1;IP6K3;LEMD2;MLN;NFYA;NUDT3;OARD1;PACSIN1;SMIM29
GCA_008658365.1	Alca torda	Aves	Charadriiformes	non_actinopterygian	RYR	Alca_torda|GCA_008658365.1|RYR.0	Alca_torda|GCA_008658365.1|RYR.0	CM018078.1	42099162	42521409	20	ACTN2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
GCA_008658365.1	Alca torda	Aves	Charadriiformes	non_actinopterygian	RYR	Alca_torda|GCA_008658365.1|RYR.1	Alca_torda|GCA_008658365.1|RYR.1	CM018080.1	32535056	32770773	19	ARHGAP11A;AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	non_actinopterygian	ITPR1	Bucorvus_abyssinicus|GCA_009769605.1|ITPR1.0	Bucorvus_abyssinicus|GCA_009769605.1|ITPR1.0	CM020037.1	21025145	21185024	18	ARL8B;BHLHE40;CAV3;CHL1;CNTN4;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	non_actinopterygian	ITPR2	Bucorvus_abyssinicus|GCA_009769605.1|ITPR2.0	Bucorvus_abyssinicus|GCA_009769605.1|ITPR2.0	CM020053.1	12089772	12346833	16	BHLHE41;CCDC22;FGFR1OP2;GABARAPL1;INTS13;KRAS;LMNTD1;MRPL51;RASSF8;SCNN1A;SSPN;STYK1;SYCE3;TMEM52B;VAMP1;YBX3
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	non_actinopterygian	ITPR3	Bucorvus_abyssinicus|GCA_009769605.1|ITPR3.0	Bucorvus_abyssinicus|GCA_009769605.1|ITPR3.0	CM020055.1	2991828	3045426	16	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;LEMD2;MDFI;MLN;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SMIM29;SPDEF;TSPO2
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	non_actinopterygian	RYR	Bucorvus_abyssinicus|GCA_009769605.1|RYR.0	Bucorvus_abyssinicus|GCA_009769605.1|RYR.0	CM020031.1	30080173	30383635	19	ACTN2;B3GALNT2;CHRM3;EDARADD;ERO1B;EXO1;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	non_actinopterygian	RYR	Bucorvus_abyssinicus|GCA_009769605.1|RYR.1	Bucorvus_abyssinicus|GCA_009769605.1|RYR.1	CM020042.1	5133878	5346665	18	AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SPRED1;SRP14;THBS1;ZNF770
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	non_actinopterygian	ITPR1	Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR1.0	Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR1.0	CM020224.1	2238597	2413674	16	ARL8B;BHLHE40;CAV3;CHL1;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
