paralog	tip	contact_span_n_ref	contact_span_n_covered	contact_span_coverage	contact_span_identity	ibc_literature_n_ref	ibc_literature_n_covered	ibc_literature_coverage	ibc_literature_identity	channel_minus_luminal_n_ref	channel_minus_luminal_n_covered	channel_minus_luminal_coverage	channel_minus_luminal_identity	channel_all_n_ref	channel_all_n_covered	channel_all_coverage	channel_all_identity
ITPR1	ITPR1|Cervus_elaphus_hippelaphus|GCA_002197005.1	305	305	1.0	1.0	381	381	1.0	0.9973753280839895	195	195	1.0	0.9948717948717949	246	246	1.0	0.9634146341463414
ITPR1	ITPR1|Sphenodon_punctatus|GCA_003113815.1	305	305	1.0	0.940983606557377	381	381	1.0	0.952755905511811	195	195	1.0	0.958974358974359	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Anomalopteryx_didiformis|GCA_006937325.1	305	305	1.0	0.9508196721311475	381	381	1.0	0.958005249343832	195	195	1.0	0.9692307692307692	246	242	0.983739837398374	0.8801652892561983
ITPR1	ITPR1|Sousa_chinensis|GCA_007760645.1	305	305	1.0	0.9934426229508196	381	381	1.0	0.994750656167979	195	195	1.0	0.9948717948717949	246	246	1.0	0.9634146341463414
ITPR1	ITPR1|Alca_torda|GCA_008658365.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.889795918367347
ITPR1	ITPR1|Bucorvus_abyssinicus|GCA_009769605.1	305	305	1.0	0.9540983606557377	381	381	1.0	0.963254593175853	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Phoenicopterus_ruber_ruber|GCA_009819775.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8938775510204081
ITPR1	ITPR1|Cervus_hanglu_yarkandensis|GCA_010411085.1	305	305	1.0	1.0	381	381	1.0	1.0	195	195	1.0	0.9948717948717949	246	246	1.0	0.9634146341463414
ITPR1	ITPR1|Crypturellus_undulatus|GCA_013389825.1	305	305	1.0	0.9540983606557377	381	381	1.0	0.963254593175853	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8938775510204081
ITPR1	ITPR1|Geococcyx_californianus|GCA_013389885.1	305	305	1.0	0.9540983606557377	381	381	1.0	0.963254593175853	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8816326530612245
ITPR1	ITPR1|Dryoscopus_gambensis|GCA_013389985.1	305	304	0.9967213114754099	0.9506578947368421	381	380	0.9973753280839895	0.9605263157894737	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8816326530612245
ITPR1	ITPR1|Chloropsis_hardwickii|GCA_013390065.1	305	304	0.9967213114754099	0.9473684210526315	381	380	0.9973753280839895	0.9578947368421052	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8816326530612245
ITPR1	ITPR1|Menura_novaehollandiae|GCA_013396355.1	305	304	0.9967213114754099	0.9539473684210527	381	380	0.9973753280839895	0.9631578947368421	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Smithornis_capensis|GCA_013396465.1	305	305	1.0	0.9540983606557377	381	381	1.0	0.963254593175853	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Ptilorrhoa_leucosticta|GCA_013396485.1	305	304	0.9967213114754099	0.9506578947368421	381	380	0.9973753280839895	0.9605263157894737	195	3	0.015384615384615385	0.6666666666666666	246	3	0.012195121951219513	0.6666666666666666
ITPR1	ITPR1|Eubucco_bourcierii|GCA_013396675.1	305	305	1.0	0.9508196721311475	381	381	1.0	0.9606299212598425	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Psilopogon_haemacephalus|GCA_013396835.1	305	305	1.0	0.9475409836065574	381	381	1.0	0.958005249343832	195	0	0.0		246	0	0.0	
ITPR1	ITPR1|Vireo_altiloquus|GCA_013396875.1	305	304	0.9967213114754099	0.9539473684210527	381	380	0.9973753280839895	0.9631578947368421	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Bucco_capensis|GCA_013396975.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Myiagra_hebetior|GCA_013397015.1	305	303	0.9934426229508196	0.9537953795379538	381	379	0.994750656167979	0.9630606860158312	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Sinosuthora_webbiana|GCA_013397395.1	305	304	0.9967213114754099	0.9506578947368421	381	380	0.9973753280839895	0.9605263157894737	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Furnarius_figulus|GCA_013397465.1	305	305	1.0	0.9475409836065574	381	381	1.0	0.958005249343832	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Pterocles_burchelli|GCA_013397535.1	305	305	1.0	0.9540983606557377	381	381	1.0	0.963254593175853	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.889795918367347
ITPR1	ITPR1|Columbina_picui|GCA_013397635.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.889795918367347
ITPR1	ITPR1|Aleadryas_rufinucha|GCA_013397815.1	305	304	0.9967213114754099	0.9539473684210527	381	380	0.9973753280839895	0.9631578947368421	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Origma_solitaria|GCA_013397895.1	305	304	0.9967213114754099	0.9506578947368421	381	380	0.9973753280839895	0.9605263157894737	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Grantiella_picta|GCA_013397955.1	305	304	0.9967213114754099	0.9539473684210527	381	380	0.9973753280839895	0.9631578947368421	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Aegotheles_bennettii|GCA_013398125.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Pedionomus_torquatus|GCA_013398155.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.889795918367347
ITPR1	ITPR1|Climacteris_rufus|GCA_013398175.1	305	303	0.9934426229508196	0.9405940594059405	381	379	0.994750656167979	0.9525065963060686	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Loxia_curvirostra|GCA_013398455.1	305	304	0.9967213114754099	0.944078947368421	381	380	0.9973753280839895	0.9552631578947368	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Certhia_familiaris|GCA_013398575.1	305	304	0.9967213114754099	0.9506578947368421	381	380	0.9973753280839895	0.9605263157894737	195	0	0.0		246	0	0.0	
ITPR1	ITPR1|Brachypodius_melanocephalos|GCA_013398615.1	305	304	0.9967213114754099	0.9539473684210527	381	380	0.9973753280839895	0.9631578947368421	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Elachura_formosa|GCA_013398795.1	305	304	0.9967213114754099	0.9506578947368421	381	380	0.9973753280839895	0.9605263157894737	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Ceuthmochares_aereus|GCA_013398935.1	305	305	1.0	0.9540983606557377	381	381	1.0	0.963254593175853	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8734693877551021
ITPR1	ITPR1|Chloroceryle_aenea|GCA_013399075.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Rostratula_benghalensis|GCA_013399305.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
ITPR1	ITPR1|Nyctiprogne_leucopyga|GCA_013399395.1	305	305	1.0	0.9573770491803278	381	381	1.0	0.9658792650918635	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.889795918367347
ITPR1	ITPR1|Anthoscopus_minutus|GCA_013399455.1	305	304	0.9967213114754099	0.944078947368421	381	380	0.9973753280839895	0.9552631578947368	195	195	1.0	0.9743589743589743	246	245	0.9959349593495935	0.8857142857142857
