accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	group
A0A010QJH6	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.9	56.9	1.0		2.1e-13	2.1e-13	0.0	0.015	0	74	0.769	169	CFIO01_09442	Colletotrichum fioriniae PJ7	1445577	0	Calmodulin	fungi
A0A010QUZ0	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	31.8	31.8	1.0		7.6e-06	7.6e-06	0.0	0.012	0	59	0.743	113	CFIO01_08110	Colletotrichum fioriniae PJ7	1445577	0	Calmodulin	fungi
A0A010R1W1	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	35.5	35.5	1.0		5.9e-07	5.9e-07	0.0	0.011	0	54	0.743	136	CFIO01_06199	Colletotrichum fioriniae PJ7	1445577	0	Calmodulin	fungi
A0A015JTK5	unassigned	none	module	ryr.hmm matched only 158 profile positions (< 200) — a shared module, not a family assignment	0.0	41.8	41.8	1.0		7.6e-09	7.6e-09	0.0	0.032	0	158	0.627	244	RirG_198380	Rhizophagus irregularis (strain DAOM 197198w)	1432141	0	Glucose-induced degradation complex subunit VID30	fungi
A0A015K5Q5	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	70.8	70.8	1.0		1.4e-17	1.4e-17	0.0	0.027	0	133	0.242	587	RirG_158500	Rhizophagus irregularis (strain DAOM 197198w)	1432141	0	SPRY-domain-containing protein	fungi
A0A015M0V0	unassigned	none	module	ryr.hmm matched only 79 profile positions (< 200) — a shared module, not a family assignment	0.0	37.6	37.6	1.0		1.4e-07	1.4e-07	0.0	0.016	0	79	0.123	733	RirG_013490	Rhizophagus irregularis (strain DAOM 197198w)	1432141	0	Bre2p	fungi
A0A015MQV2	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	34.7	34.7	1.0		1e-06	1e-06	0.0	0.026	0	128	0.568	220	RirG_098970	Rhizophagus irregularis (strain DAOM 197198w)	1432141	0	Glucose-induced degradation complex subunit VID30	fungi
A0A015NDN8	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	57.6	57.6	1.0		1.3e-13	1.3e-13	0.0	0.015	0	74	0.878	148	RirG_024270	Rhizophagus irregularis (strain DAOM 197198w)	1432141	0	Calmodulin	fungi
A0A017SSD8	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	58.0	58.0	1.0		1e-13	1e-13	0.0	0.015	0	74	0.872	149	EURHEDRAFT_33313	Aspergillus ruber (strain CBS 135680)	1388766	0	Calmodulin	fungi
A0A022Y066	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	58.0	58.0	1.0		1e-13	1e-13	0.0	0.015	0	74	0.872	149	H105_02652	Trichophyton soudanense CBS 452.61	1215331	0	Calmodulin	fungi
A0A059EXG5	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	43.2	43.2	1.0		2.8e-09	2.8e-09	0.0	0.025	0	123	0.634	186	H312_02881	Anncaliia algerae PRA339	1288291	0	B30.2/SPRY domain-containing protein	fungi
A0A059JES1	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	45.4	45.4	1.0		6e-10	6e-10	0.0	0.015	0	74	0.665	188	H109_01914	Trichophyton interdigitale (strain MR816)	1215338	0	Calmodulin (Fragment)	fungi
A0A060SMY7	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	56.7	56.7	1.0		2.3e-13	2.3e-13	0.0	0.013	0	64	0.88	142	BN946_scf184833.g13	Pycnoporus cinnabarinus	5643	0	EF-hand domain-containing protein	fungi
