number	figure	format	caption	sources	bytes	sha256	drawn_from
1	SuppFig1_representative_alignment	png	The representative alignment, and the columns the tree actually saw	msa_v2/aln.fasta;msa_v2/trimmed.fasta;msa_v2/column_map.tsv;msa_v2/representatives.tsv	422053	cfe246904a031aa8e8d04f790310e899a5e13dcba16ec71e9ef1d3f3101d3444	"{""groups"": {""ITPR1"": 15, ""ITPR2"": 11, ""ITPR3"": 18, ""RYR"": 6, ""fungi"": 2, ""invert_metazoa"": 47, ""plant"": 3, ""protist"": 19, ""vertebrate_basal"": 13}, ""input_columns"": 11777, ""kept_columns"": 1797, ""median_occupancy_cut"": 0.0299, ""median_occupancy_kept"": 0.9776, ""sequences"": 134}"
1	SuppFig1_representative_alignment	pdf	The representative alignment, and the columns the tree actually saw	msa_v2/aln.fasta;msa_v2/trimmed.fasta;msa_v2/column_map.tsv;msa_v2/representatives.tsv	100757	8b17c842ef8018afb188e0932cd530d12b7bcdc059761c3a0e9efc4bd8cb536d	
2	SuppFig2_labelled_positions	png	The ligand core and the pore module at residue resolution across the three paralogues	constraint/variants.tsv;constraint/paralog_variant_positions.tsv;constraint/constraint_ITPR1_Q14643.tsv;constraint/constraint_ITPR2_Q14571.tsv;constraint/constraint_ITPR3_Q14573.tsv	500492	d01f7302091a6ee290c7bb3c3e8c915dd5a50f4ed73b28a216d95b2234e0e5b6	"{""by_element"": {""MIR"": 8, ""channel"": 8, ""gate"": 2, ""nterm_trefoil"": 2, ""selectivity_filter"": 2}, ""conserved_across_all_three"": 20, ""ligand_positions"": 10, ""pore_positions"": 12, ""positions_drawn"": 22}"
2	SuppFig2_labelled_positions	pdf	The ligand core and the pore module at residue resolution across the three paralogues	constraint/variants.tsv;constraint/paralog_variant_positions.tsv;constraint/constraint_ITPR1_Q14643.tsv;constraint/constraint_ITPR2_Q14571.tsv;constraint/constraint_ITPR3_Q14573.tsv	51358	2e74f1332c6d518b00265cf6fe19f914774eac596a996cb44217a0cee45f9ca6	
3	SuppFig3_paralog_alignments	png	The within-paralogue alignments the constraint map is computed on	constraint/ortholog_shape.tsv;constraint/layer_sizes.tsv;constraint/orthologs_manifest.tsv	368577	458e6c0238e40112b04d07ec66858bf8eeb88745db71580804efe5ee0c0bd730	"{""dropped"": [""ITPR2|Lissotriton_helveticus|GCF_964261635.1""], ""layer_sizes"": {""deep:ITPR1"": 264, ""deep:ITPR2"": 249, ""deep:ITPR3"": 265, ""family:all"": 128, ""shallow:ITPR1"": 19, ""shallow:ITPR2"": 13, ""shallow:ITPR3"": 19, ""vert:all three"": 57}, ""manifest_rows"": 970, ""sequences_dropped"": 1, ""sequences_screened"": 779}"
3	SuppFig3_paralog_alignments	pdf	The within-paralogue alignments the constraint map is computed on	constraint/ortholog_shape.tsv;constraint/layer_sizes.tsv;constraint/orthologs_manifest.tsv	25338	7340572e480fc3455b837aede3869539c4ec523f5f1e553280b339c2b112326b	
4	SuppFig4_codon_alignment	png	The trimmed codon alignment behind every omega estimate	selection/codon_aln.fasta;selection/codon_trimmed.fasta;selection/tip_codes.tsv;selection/cds_status.tsv	402457	a9ef3892793c2cf238a0b362867a63a8448ceb797876eeaccc7c9ff16306935d	"{""codons_in"": 3253, ""codons_kept"": 2459, ""codons_masked_total"": 24, ""pct_kept"": 75.6, ""routes"": {""miniprot"": 14, ""uniprot"": 43}, ""sets"": {""ITPR1"": 19, ""ITPR2"": 13, ""ITPR3"": 19, ""background"": 6}, ""tips"": 57}"
4	SuppFig4_codon_alignment	pdf	The trimmed codon alignment behind every omega estimate	selection/codon_aln.fasta;selection/codon_trimmed.fasta;selection/tip_codes.tsv;selection/cds_status.tsv	24141	57defe427452e15a14dd1f6a78b2594f82625cd1cc181cdc7c1ce3807a3945b6	
5	SuppFig5_constraint_on_channel	png	The constraint map painted onto the channel	constraint/painted/constraint_reference_ITPR1_7LHF.pdb;constraint/painted/constraint_reference_ITPR2_9YKK.pdb;constraint/painted/constraint_reference_ITPR3_8TKG.pdb;constraint/painted/selection_reference_ITPR3_8TKG.pdb	1861343	896eedce8ef0fc771f9a52e3a92aa2d345f2cecca059317beedda957c9396928	"{""ITPR1"": {""file"": ""constraint_reference_ITPR1_7LHF.pdb"", ""median_b"": 77.36, ""residues"": 2300, ""scored"": 2299}, ""ITPR2"": {""file"": ""constraint_reference_ITPR2_9YKK.pdb"", ""median_b"": 78.6, ""residues"": 2168, ""scored"": 2165}, ""ITPR3"": {""file"": ""constraint_reference_ITPR3_8TKG.pdb"", ""median_b"": 78.32, ""residues"": 2210, ""scored"": 2208}, ""ITPR3_selection"": {""file"": ""selection_reference_ITPR3_8TKG.pdb"", ""median_b"": 100.0, ""residues"": 2210, ""scored"": 2157}}"
5	SuppFig5_constraint_on_channel	pdf	The constraint map painted onto the channel	constraint/painted/constraint_reference_ITPR1_7LHF.pdb;constraint/painted/constraint_reference_ITPR2_9YKK.pdb;constraint/painted/constraint_reference_ITPR3_8TKG.pdb;constraint/painted/selection_reference_ITPR3_8TKG.pdb	312188	b7a8141c2adf604152ed6861797762e2e209dd3f74ee5034891b0760e49ed556	
6	SuppFig6_variants_on_structure	png	Every labelled variant, and the per-element enrichment test	constraint/painted/constraint_reference_ITPR2_9YKK.pdb;constraint/painted/constraint_reference_ITPR3_8TKG.pdb;constraint/variant_by_element.tsv;constraint/variants.tsv	542222	3d5782d05b9083b3bac763ffc528291dc6808081b4021875cc86574591beb9d0	"{""element_tests"": 15, ""infinite_odds_ratios"": 1, ""numbering_checks"": [{""agree"": 2168, ""carries_human_numbering"": true, ""file"": ""constraint_reference_ITPR2_9YKK.pdb"", ""frac_agree"": 1.0, ""paralog"": ""ITPR2"", ""residues"": 2168}, {""agree"": 2210, ""carries_human_numbering"": true, ""file"": ""constraint_reference_ITPR3_8TKG.pdb"", ""frac_agree"": 1.0, ""paralog"": ""ITPR3"", ""residues"": 2210}, {""agree"": 2671, ""carries_human_numbering"": true, ""file"": ""constraint_model_Q14573.pdb"", ""frac_agree"": 1.0, ""paralog"": ""ITPR3"", ""residues"": 2671}, {""agree"": 736, ""carries_human_numbering"": false, ""file"": ""constraint_reference_ITPR1_7LHF.pdb"", ""frac_agree"": 0.32, ""paralog"": ""ITPR1"", ""residues"": 2300}, {""agree"": 479, ""carries_human_numbering"": false, ""file"": ""constraint_model_Q14643.pdb"", ""frac_agree"": 0.1777, ""paralog"": ""ITPR1"", ""residues"": 2695}], ""positions_drawn"": {""ITPR2"": {""B/LB"": 7, ""P/LP"": 1}, ""ITPR3"": {""B/LB"": 11, ""P/LP"": 5}}, ""significant_after_bh"": 4, ""structures_drawn"": {""ITPR2"": ""constraint_reference_ITPR2_9YKK.pdb"", ""ITPR3"": ""constraint_reference_ITPR3_8TKG.pdb""}}"
6	SuppFig6_variants_on_structure	pdf	Every labelled variant, and the per-element enrichment test	constraint/painted/constraint_reference_ITPR2_9YKK.pdb;constraint/painted/constraint_reference_ITPR3_8TKG.pdb;constraint/variant_by_element.tsv;constraint/variants.tsv	134729	334feb47a24cad54c109bb25ddb0936b4022c5abcd872fc8dc2ff47c1e4b6454	
