rank	against	contig	start	end	n_genes	n_families	n_paralog_hits	n_query_genes_hit	carries_family_gene	hit_symbols
1	ITPR1	NC_000007.14	105963264	116561185	41	5	6	7	no	CAV1;CAV2;GPR22;LRRN3;NRCAM;TES
2	ITPR1	NC_000001.11	203765183	206464436	41	5	5	6	no	AVPR1B;CNTN2;LRRN2;NFASC;SRGAP2
3	ITPR1	NC_000023.11	152133310	153926264	41	4	4	6	no	ARHGAP4;AVPR2;L1CAM;PNCK
4	ITPR1	NC_000023.11	276356	10237660	41	4	4	4	no	CRLF2;CSF2RA;IL3RA;MXRA5
5	ITPR1	NC_000005.10	34839164	42721878	41	4	4	1	no	GHR;LIFR;OSMR;PRLR
6	ITPR1	NC_000012.12	27710832	42589746	41	3	3	5	no	CNTN1;CPNE8;PRICKLE1
7	ITPR1	NC_000003.12	69019827	97801242	41	3	5	4	no	ARL13B;ARL6;CNTN3;ROBO1;ROBO2
8	ITPR1	NC_000005.10	52989352	62581446	41	3	4	3	no	ARL15;IL31RA;IL6ST;LRRC70
9	ITPR1	NC_000006.12	33453083	36232790	41	3	3	3	yes	BRPF3;GRM4;LHFPL5
10	ITPR1	NC_000008.11	75407649	86561498	41	3	3	3	no	CPNE3;HEY1;PSKH2
11	ITPR1	NC_000009.12	27546546	34661902	41	3	3	2	no	CNTFR;IL11RA;LINGO2
12	ITPR1	NC_000024.10	275294	18588963	41	3	3	1	no	CRLF2;CSF2RA;IL3RA
13	ITPR1	NC_000003.12	151432432	160678448	41	2	2	4	no	ARL14;IGSF10
14	ITPR1	NC_000012.12	117453012	121297819	41	2	2	4	no	CAMKK2;VSIG10
15	ITPR1	NC_000011.10	124183345	126063335	41	2	3	3	no	CDON;ROBO3;ROBO4
16	ITPR1	NC_000011.10	112084800	117817514	41	2	2	3	no	DSCAML1;NCAM1
17	ITPR1	NC_000001.11	116514534	145095380	41	2	3	2	no	MAN1A2;SRGAP2B;SRGAP2C
18	ITPR1	NC_000023.11	107980864	118805228	41	2	3	2	no	IL13RA1;IL13RA2;LHFPL1
19	ITPR1	NC_000001.11	36088892	39639643	41	2	2	2	no	CSF3R;HEYL
20	ITPR1	NC_000002.12	233060342	238240038	41	2	2	2	no	ARL4C;HES6
21	ITPR1	NC_000003.12	49719916	51718613	41	2	2	2	no	CAMKV;GRM2
22	ITPR1	NC_000003.12	186546067	194399266	41	2	2	2	no	GP5;HES1
23	ITPR1	NC_000004.12	13367724	26490484	41	2	2	2	no	CCKAR;SLIT2
24	ITPR1	NC_000004.12	52051304	67754388	41	2	2	2	no	ARL9;GNRHR
25	ITPR1	NC_000004.12	108808725	121381018	41	2	2	2	no	CAMK2D;QRFPR
1	ITPR2	NC_000011.10	13009316	18479601	41	10	10	8	no	ABCC8;BMAL1;FAR1;KCNJ11;LDHA;LDHAL6A;LDHC;RASSF10;RRAS2;SOX6
2	ITPR2	NC_000001.11	201464278	204152044	41	5	5	5	no	ETNK2;IPO9;KLHL12;PPFIA4;SOX13
3	ITPR2	NC_000013.11	78598362	100675075	41	4	4	4	no	ABCC4;RAP2A;SOX21;TMTC4
4	ITPR2	NC_000017.11	41189887	42025641	41	3	18	3	no	KLHL10;KRT13;KRT14;KRT15;KRT16;KRT17;KRT19;KRT31;KRT32;KRT33A;KRT33B;KRT34;KRT35;KRT36;KRT37;KRT38;KRT9;NKIRAS2
5	ITPR2	NC_000001.11	2403974	6602869	41	3	5	3	no	HES2;HES3;HES5;KLHL21;TTC34
6	ITPR2	NC_000003.12	171600404	184017884	41	3	4	3	no	ABCC5;KLHL24;KLHL6;SOX2
7	ITPR2	NC_000012.12	71938845	88199887	41	3	4	3	no	PPFIA2;RASSF9;TMTC2;TMTC3
8	ITPR2	NC_000003.12	131013875	138405535	41	3	3	3	no	BFSP2;MRAS;SOX14
9	ITPR2	NC_000011.10	6997085	10693755	41	3	3	3	no	IPO7;IRAG1;PPFIBP2
10	ITPR2	NC_000011.10	67452403	70384396	41	3	3	3	no	C11orf24;CHKA;PPFIA1
11	ITPR2	NC_000012.12	48935723	50887884	41	3	3	3	no	PRPH;RHEBL1;TMPRSS12
12	ITPR2	NC_000015.10	59206843	65079948	41	3	3	3	no	KBTBD13;LDHAL6B;RASL12
13	ITPR2	NC_000018.10	32018825	46757053	41	3	3	3	no	KLHL14;RIT2;ST8SIA5
14	ITPR2	NC_000019.10	47994632	48993309	41	3	3	3	no	BCAT2;GYS1;KCNJ14
15	ITPR2	NC_000001.11	111227659	114780685	41	3	3	2	no	NRAS;RAP1A;SIKE1
16	ITPR2	NC_000001.11	155277463	156677407	41	3	3	2	no	LMNA;NES;RIT1
17	ITPR2	NC_000012.12	12049861	18090193	41	3	3	2	no	MANSC1;RERG;RERGL
18	ITPR2	NC_000017.11	64002595	72126416	41	2	3	2	no	KCNJ16;KCNJ2;SOX9
19	ITPR2	NC_000001.11	65419	1540624	41	2	2	2	no	HES4;KLHL17
20	ITPR2	NC_000002.12	218264129	219426734	41	2	2	2	no	CFAP65;DES
21	ITPR2	NC_000002.12	233060342	238240038	41	2	2	2	no	HES6;KLHL30
22	ITPR2	NC_000003.12	44680128	47346816	41	2	2	2	no	KLHL18;PRSS50
23	ITPR2	NC_000004.12	44622088	55546909	41	2	2	2	no	CLOCK;RASL11B
24	ITPR2	NC_000007.14	30496621	39708120	41	2	2	2	no	KBTBD2;RALA
25	ITPR2	NC_000010.11	8045333	17454595	41	2	2	2	no	ST8SIA6;VIM
1	ITPR3	NC_000012.12	89519412	100142874	41	5	5	5	no	ANKS1B;BLTP3B;ELK3;NR2C1;NUDT4
2	ITPR3	NC_000009.12	113313222	121785530	41	4	4	4	no	B3GALT9;DAB2IP;KIF12;PHF19
3	ITPR3	NC_000011.10	26188808	34663288	41	4	4	3	no	EHF;ELF5;KIF18A;TCP11L1
4	ITPR3	NC_000012.12	56309844	57586633	41	4	4	2	no	HSD17B6;KIF5A;RDH16;SDR9C7
5	ITPR3	NC_000008.11	67173511	80526265	41	3	3	4	no	HNF4G;RDH10;ZBTB10
6	ITPR3	NC_000001.11	182573634	193186613	41	3	3	3	no	B3GALT2;RGL1;RNF2
7	ITPR3	NC_000002.12	166403573	173052893	41	3	3	3	no	B3GALT1;DHRS9;RAPGEF4
8	ITPR3	NC_000003.12	49719916	51718613	41	3	3	3	no	C3orf18;GRM2;IP6K1
9	ITPR3	NC_000005.10	78777209	93594611	41	3	3	3	no	NR2F1;RASA1;RASGRF2
10	ITPR3	NC_000011.10	43921068	47416500	41	3	3	3	no	PACSIN3;SLC39A13;SPI1
11	ITPR3	NC_000019.10	15451624	17287646	41	3	3	3	no	ANKLE1;NR2F6;RASAL3
12	ITPR3	NC_000019.10	40467001	41928449	41	3	3	3	no	B3GNT8;ERFL;ITPKC
13	ITPR3	NC_000009.12	131545523	134440585	41	3	3	2	no	RALGDS;RAPGEF1;RXRA
14	ITPR3	NC_000021.9	33543038	39673137	41	3	3	2	no	B3GALT5;ERG;ETS2
15	ITPR3	NC_000016.10	75528530	84145177	41	3	3	1	no	HSD17B2;HSDL1;WWOX
16	ITPR3	NC_000017.11	41436154	42555214	41	2	2	3	no	C17orf113;HSD17B1
17	ITPR3	NC_000001.11	196652043	202017183	41	2	3	2	no	ELF3;KIF14;KIF21B
18	ITPR3	NC_000004.12	78057323	87391188	41	2	3	2	no	HSD17B11;HSD17B13;RASGEF1B
19	ITPR3	NC_000023.11	49579949	53434376	41	2	3	2	no	HSD17B10;NUDT10;NUDT11
20	ITPR3	NC_000001.11	9922118	12618210	41	2	2	2	no	DHRS3;KIF1B
21	ITPR3	NC_000001.11	161118105	165445126	41	2	2	2	no	HSD17B7;RXRG
22	ITPR3	NC_000001.11	171248494	178921840	41	2	2	2	no	RALGPS2;RASAL2
23	ITPR3	NC_000002.12	237798779	241574131	41	2	2	2	no	BOK;KIF1A
24	ITPR3	NC_000003.12	46574535	48717221	41	2	2	2	no	IP6K2;KIF9
25	ITPR3	NC_000003.12	183122215	186109089	41	2	2	2	no	B3GNT5;ETV5
1	RYR1	NC_000015.10	34851782	40858207	41	6	6	7	no	FAM98B;PAK6;PPP1R14D;RASGRP1;SPINT1;SPRED1
2	RYR1	NC_000011.10	64784918	65719604	41	6	6	6	no	CAPN1;DPF2;KAT5;KCNK7;MAP4K2;SIPA1
3	RYR1	NC_000001.11	230314490	236764631	41	5	5	7	no	ACTN2;CAPN9;KCNK1;LGALS8;SIPA1L2
4	RYR1	NC_000002.12	31234152	39437285	41	5	5	5	no	FAM98A;HNRNPLL;MAP4K3;RASGRP3;SOS1
5	RYR1	NC_000020.11	44247099	45725830	41	5	6	4	no	EPPIN;KCNK15;SPINT4;STK4;WFDC6;WFDC8
6	RYR1	NC_000006.12	144139963	152637362	41	5	5	4	no	ADGB;LRP11;PPP1R14C;SYNE1;UTRN
7	RYR1	NC_000019.10	39243455	40576464	41	4	8	9	no	CLC;LGALS13;LGALS14;LGALS16;SPTBN4;ZNF546;ZNF780A;ZNF780B
8	RYR1	NC_000019.10	55488436	56840726	41	4	7	7	no	SBK2;ZFP28;ZIM2;ZNF470;ZNF471;ZNF71;ZNF835
9	RYR1	NC_000008.11	143579728	144444440	41	4	4	7	no	EPPK1;PLEC;TONSL;ZNF623
10	RYR1	NC_000011.10	63289903	64745456	41	4	4	6	no	KCNK4;LGALS12;PPP1R14B;RASGRP2
11	RYR1	NC_000011.10	65879837	66744682	41	4	4	3	no	ACTN3;RIN1;SPTBN2;YIF1A
12	RYR1	NC_000014.9	94280460	100530303	41	4	4	3	no	CLMN;EVL;SYNE3;WDR25
13	RYR1	NC_000010.11	28050993	43648881	41	3	7	8	no	MAP3K8;RASGEF1A;ZNF239;ZNF32;ZNF33A;ZNF33B;ZNF37A
14	RYR1	NC_000017.11	3714628	5096374	41	3	3	8	no	MINK1;SMTNL2;ZFP3
15	RYR1	NC_000001.11	222522264	227679669	41	3	4	7	no	CAPN2;CAPN8;ENAH;ZNF678
16	RYR1	NC_000009.12	109375694	114078300	41	3	4	7	no	AMBP;PTBP3;ZNF483;ZNF883
17	RYR1	NC_000019.10	35754566	37248740	41	3	14	6	no	CAPNS1;ZFP14;ZFP82;ZNF146;ZNF260;ZNF345;ZNF383;ZNF461;ZNF565;ZNF568;ZNF585A;ZNF585B;ZNF790;ZNF829
18	RYR1	NC_000005.10	177402141	180209211	41	3	7	6	no	RASGEF1C;ZFP2;ZNF354A;ZNF354B;ZNF354C;ZNF454;ZNF879
19	RYR1	NC_000008.11	133454848	143299952	41	3	3	6	no	GLI4;KCNK9;ZNF696
20	RYR1	NC_000014.9	49893082	55145430	41	3	3	6	no	LGALS3;MAP4K5;SOS2
21	RYR1	NC_000011.10	74012718	77872232	41	3	3	4	no	CAPN5;PAK1;RSF1
22	RYR1	NC_000006.12	4706138	13615158	41	3	3	3	no	CDYL;DSP;SIRT5
23	RYR1	NC_000009.12	122628125	127393660	41	3	3	3	no	GAPVD1;GARNL3;RALGPS1
24	RYR1	NC_000014.9	67241435	72894101	41	3	3	3	no	ACTN1;DPF3;SIPA1L1
25	RYR1	NC_000023.11	104157066	111270483	41	3	3	3	no	CAPN6;NRK;PAK3
1	RYR2	NC_000014.9	101964573	104937785	41	6	6	6	no	ADSS1;AKT1;CEP170B;INF2;PLD4;ZBTB42
2	RYR2	NC_000014.9	49893082	55145430	41	5	5	5	no	ERO1A;GNG2;GPR137C;LGALS3;NID2
3	RYR2	NC_000014.9	58200149	64533693	41	5	5	5	no	ARID4A;DAAM1;SYNE2;TOMM20L;ZBTB1
4	RYR2	NC_000019.10	39243455	40576464	41	5	7	4	no	AKT2;CLC;LGALS13;LGALS14;LGALS16;PLD3;SPTBN4
5	RYR2	NC_000008.11	47260878	58659853	41	4	4	4	no	NSMAF;RGS20;SNAI2;ST18
6	RYR2	NC_000008.11	99877865	109537207	41	4	4	4	no	LRP12;PABPC1;PKHD1L1;RGS22
7	RYR2	NC_000023.11	78945391	101264502	41	4	4	4	no	CHM;DIAPH2;DRP2;PABPC5
8	RYR2	NC_000008.11	143291417	144336482	41	4	4	3	no	EPPK1;PLEC;PUF60;SCRT1
9	RYR2	NC_000001.11	185045558	200410036	41	3	7	3	no	B3GALT2;RGS1;RGS13;RGS18;RGS2;RGS21;ZNF281
10	RYR2	NC_000023.11	153317680	154443467	41	3	6	3	no	FLNA;GDI1;OPN1LW;OPN1MW;OPN1MW2;OPN1MW3
11	RYR2	NC_000001.11	36084094	39576790	41	3	3	3	no	MACF1;MTF1;PABPC4
12	RYR2	NC_000002.12	53864069	64461381	41	3	3	3	no	B3GNT2;LGALSL;SPTBN1
