subset	query	target	accession	alntmscore	qtmscore	ttmscore	fident	alnlen	query_length	query_coverage	evalue	bits	taxid	taxname	census_call	census_group	census_gene	target_name	target_gene	target_pfams	verdict
afdb_swissprot	reference_ITPR1_7LHF	AF-Q14571-2-F1-model_v6	Q14571	9.294E-01	7.240E-02	8.658E-01	0.798	169	2300	0.0735	5.592E-14	695	9606	Homo sapiens	ITPR	Vertebrata	ITPR2				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q14643-4-F1-model_v6	Q14643	9.255E-01	9.251E-01	7.947E-01	0.844	2689	2300	1.1691	0.000E+00	10296	9606	Homo sapiens	ITPR	Vertebrata	ITPR1				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-P11881-8-F1-model_v6	P11881	9.236E-01	9.228E-01	7.931E-01	0.845	2687	2300	1.1683	0.000E+00	10388	10090	Mus musculus	ITPR	Vertebrata	Itpr1				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-P29994-8-F1-model_v6	P29994	9.202E-01	9.198E-01	7.908E-01	0.847	2689	2300	1.1691	0.000E+00	10462	10116	Rattus norvegicus	ITPR	Vertebrata	Itpr1				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q8WN95-F1-model_v6	Q8WN95	9.197E-01	9.170E-01	7.958E-01	0.593	2682	2300	1.1661	0.000E+00	8321	9913	Bos taurus	ITPR	Vertebrata	ITPR3				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q14573-F1-model_v6	Q14573	9.091E-01	9.064E-01	7.857E-01	0.592	2683	2300	1.1665	0.000E+00	8321	9606	Homo sapiens	ITPR	Vertebrata	ITPR3				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q8WSR4-F1-model_v6	Q8WSR4	9.063E-01	9.059E-01	7.776E-01	0.621	2717	2300	1.1813	0.000E+00	8363	7594	Patiria pectinifera	ITPR	Metazoa (non-vertebrate)	IP3R				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-P70227-F1-model_v6	P70227	9.016E-01	8.994E-01	7.794E-01	0.589	2684	2300	1.167	0.000E+00	8100	10090	Mus musculus	ITPR	Vertebrata	Itpr3				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q63269-F1-model_v6	Q63269	8.962E-01	8.940E-01	7.746E-01	0.592	2680	2300	1.1652	0.000E+00	8054	10116	Rattus norvegicus	ITPR	Vertebrata	Itpr3				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9Z329-3-F1-model_v6	Q9Z329	8.888E-01	8.881E-01	7.710E-01	0.627	2711	2300	1.1787	0.000E+00	8286	10090	Mus musculus	ITPR	Vertebrata	Itpr2				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9Z329-2-F1-model_v6	Q9Z329	6.416E-01	4.545E-01	6.363E-01	0.410	2526	2300	1.0983	7.353E-88	3445	10090	Mus musculus	ITPR	Vertebrata	Itpr2				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9Y0A1-5-F1-model_v6	Q9Y0A1	5.931E-01	3.807E-01	4.960E-01	0.332	1731	2300	0.7526	3.925E-68	2442	6239	Caenorhabditis elegans	ITPR	Metazoa (non-vertebrate)	itr-1				confirms census ITPR
afdb_swissprot	reference_ITPR1_7LHF	AF-Q8BGQ4-F1-model_v6	Q8BGQ4	3.753E-01	6.445E-02	1.674E-01	0.140	406	2300	0.1765	7.809E-04	124	10090	Mus musculus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q8SPJ1-F1-model_v6	Q8SPJ1	3.728E-01	1.068E-01	2.855E-01	0.105	713	2300	0.31	7.202E-04	120	9913	Bos taurus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9UKY4-F1-model_v6	Q9UKY4	3.727E-01	6.432E-02	1.806E-01	0.130	415	2300	0.1804	9.957E-04	121	9606	Homo sapiens	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q8BGQ4-3-F1-model_v6	Q8BGQ4	3.654E-01	6.445E-02	1.813E-01	0.134	415	2300	0.1804	4.804E-04	126	10090	Mus musculus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-O22161-F1-model_v6	O22161	3.550E-01	1.136E-01	2.497E-01	0.094	877	2300	0.3813	2.514E-04	124	3702	Arabidopsis thaliana	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q5R6S3-F1-model_v6	Q5R6S3	3.300E-01	1.076E-01	3.221E-01	0.104	867	2300	0.377	1.546E-04	131	9601	Pongo abelii	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-P14923-F1-model_v6	P14923	3.232E-01	1.079E-01	2.849E-01	0.098	884	2300	0.3843	4.255E-04	111	9606	Homo sapiens	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q05AL1-F1-model_v6	Q05AL1	3.161E-01	1.070E-01	3.067E-01	0.110	868	2300	0.3774	2.053E-04	125	7955	Danio rerio	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q8IUR7-F1-model_v6	Q8IUR7	3.088E-01	1.035E-01	3.018E-01	0.108	875	2300	0.3804	3.078E-04	119	9606	Homo sapiens	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9DBR3-F1-model_v6	Q9DBR3	3.080E-01	1.040E-01	3.008E-01	0.104	871	2300	0.3787	3.924E-04	118	10090	Mus musculus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q14974-2-F1-model_v6	Q14974	2.620E-01	9.671E-02	2.579E-01	0.118	946	2300	0.4113	9.562E-04	94	9606	Homo sapiens	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-P70168-F1-model_v6	P70168	2.329E-01	1.017E-01	2.299E-01	0.106	1223	2300	0.5317	6.125E-04	91	10090	Mus musculus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-P52296-F1-model_v6	P52296	2.327E-01	1.016E-01	2.293E-01	0.106	1223	2300	0.5317	6.125E-04	91	10116	Rattus norvegicus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-P52297-F1-model_v6	P52297	2.301E-01	9.798E-02	2.266E-01	0.103	1211	2300	0.5265	6.642E-04	92	8355	Xenopus laevis	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-O13864-F1-model_v6	O13864	2.289E-01	9.253E-02	2.195E-01	0.094	1172	2300	0.5096	8.091E-05	107	284812	Schizosaccharomyces pombe 972h-	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q14974-F1-model_v6	Q14974	2.279E-01	9.773E-02	2.244E-01	0.101	1218	2300	0.5296	5.209E-04	93	9606	Homo sapiens	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9CAA7-F1-model_v6	Q9CAA7	2.262E-01	9.067E-02	1.700E-01	0.110	910	2300	0.3957	1.032E-04	106	3702	Arabidopsis thaliana	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9EPL8-F1-model_v6	Q9EPL8	2.240E-01	1.098E-01	2.086E-01	0.112	1230	2300	0.5348	7.166E-05	103	10090	Mus musculus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q1RLU1-F1-model_v6	Q1RLU1	2.156E-01	9.188E-02	2.130E-01	0.106	1126	2300	0.4896	6.125E-04	88	7955	Danio rerio	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-P32337-F1-model_v6	P32337	2.123E-01	1.131E-01	1.970E-01	0.088	1352	2300	0.5878	2.306E-05	113	559292	Saccharomyces cerevisiae S288C	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-A0JMW2-F1-model_v6	A0JMW2	2.103E-01	8.874E-02	2.057E-01	0.108	1170	2300	0.5087	4.780E-05	108	8355	Xenopus laevis	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q8K0C1-2-F1-model_v6	Q8K0C1	2.059E-01	9.684E-02	2.013E-01	0.102	1323	2300	0.5752	1.737E-05	108	10090	Mus musculus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9TVM2-F1-model_v6	Q9TVM2	2.010E-01	1.089E-01	1.931E-01	0.078	1425	2300	0.6196	1.746E-04	91	7227	Drosophila melanogaster	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-O60100-F1-model_v6	O60100	2.009E-01	1.075E-01	1.982E-01	0.104	1395	2300	0.6065	2.138E-04	91	284812	Schizosaccharomyces pombe 972h-	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-Q9NRP7-2-F1-model_v6	Q9NRP7	1.947E-01	9.386E-02	1.485E-01	0.105	1182	2300	0.5139	2.402E-05	103	9606	Homo sapiens	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-B9EJR8-F1-model_v6	B9EJR8	1.932E-01	8.452E-02	1.917E-01	0.093	1421	2300	0.6178	2.726E-04	90	10090	Mus musculus	not_in_census						below the same-fold bar
afdb_swissprot	reference_ITPR1_7LHF	AF-P49955-F1-model_v6	P49955	1.927E-01	9.439E-02	1.884E-01	0.091	1316	2300	0.5722	3.924E-04	84	559292	Saccharomyces cerevisiae S288C	not_in_census						below the same-fold bar
