accession	organism	vclass	cell	bait	bait_species	bait_band	bait_group	bait_origin	identity	coverage	aligned	found
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.7359	0.8169	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7351	0.8167	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8291	0.8197	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.9835	0.824	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.9903	0.8239	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.7838	0.8202	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.8787	0.8243	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.8819	0.8244	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.9216	0.8248	1	1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.7654	0.8217	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.7354	0.7412	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7422	0.7381	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8284	0.7464	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.9737	0.7479	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.9781	0.7477	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.777	0.7494	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.871	0.7468	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.8769	0.7469	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.9194	0.7464	1	1
GCA_000699945.1	Cathartes aura	Aves	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.7451	0.7514	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.7702	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7362	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.7882	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.8438	0.996	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.8504	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.8888	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.8879	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.8371	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.7645	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.647	0.9992	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	Astatotilapia_calliptera	actinopteri	ray-finned fish	s5_addition	0.6349	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.7433	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	A0A672UP22|ITPR2|Strigops_habroptila	Strigops_habroptila	aves	bird	s5_addition	0.7867	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	F1P1X4|ITPR2|Gallus_gallus|ITPR2	Gallus_gallus	aves	bird	s3_seed	0.7858	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	Q14571|ITPR2|Homo_sapiens|ITPR2	Homo_sapiens	mammalia	mammal	s3_seed	0.8296	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	Q9Z329|Itpr2|Mus_musculus|ITPR2	Mus_musculus	mammalia	mammal	s3_seed	0.8068	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	A0ABM1LG32|ITPR2|Gekko_japonicus	Gekko_japonicus	reptilia	reptile	s5_addition	0.7726	1.0	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7687	0.9976	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.6127	0.9974	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.8355	0.993	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.6163	0.9972	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6182	0.9975	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.8775	0.9974	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.8279	0.9962	1	1
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.5993	1.0	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.6778	0.9056	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.6491	0.9727	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.7236	0.9761	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.8602	0.9801	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.8623	0.9801	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.6795	0.9757	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.7689	0.9801	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.7739	0.9802	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.8047	0.9801	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.664	0.975	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8606	0.997	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.6753	0.9968	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.9845	1.0	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.6801	0.9972	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6875	0.9969	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9374	0.9968	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.9631	0.996	1	1
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.6651	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.8497	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8199	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8818	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.9524	0.9975	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.9571	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.9379	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.9316	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.9551	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.8444	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7459	0.9992	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	Astatotilapia_calliptera	actinopteri	ray-finned fish	s5_addition	0.7521	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8798	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	A0A672UP22|ITPR2|Strigops_habroptila	Strigops_habroptila	aves	bird	s5_addition	0.9334	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	F1P1X4|ITPR2|Gallus_gallus|ITPR2	Gallus_gallus	aves	bird	s3_seed	0.9338	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	Q14571|ITPR2|Homo_sapiens|ITPR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9197	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	Q9Z329|Itpr2|Mus_musculus|ITPR2	Mus_musculus	mammalia	mammal	s3_seed	0.9068	1.0	1	1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	A0ABM1LG32|ITPR2|Gekko_japonicus	Gekko_japonicus	reptilia	reptile	s5_addition	0.9226	1.0	1	1
