chapter	number	slug	source	formats	width_in	height_in	caption_stub	sha256_png
1	1.1	receptor_overview	docs/figures/receptor_overview	png,pdf	6.31	4.30	The pathway, the channel and the sequence, in one figure	92522d7b0c59d4502cd3dd3c57f750850b1d3ee7cdd7487f4f3f26bcf0199b06
1	1.3	channel_structure	docs/figures/channel_structure	png,pdf	6.00	3.97	The channel, measured on PDB 6DQN	ea5aa96818f2788b0c0e4bfc194d74127e9aff9902ab7602b4afcc33abd9d640
1	1.5	gating_logic	docs/figures/gating_logic	png,pdf	6.05	2.19	What opens the channel and what closes it	55066af5286a9c3c34cc6300a8e992fa5c0a432793a3121678528a6ad1e0def3
1	1.6	signal_hierarchy	docs/figures/signal_hierarchy	png,pdf	5.67	2.19	Blips, puffs and waves, and what carries the dose	49220372c84e61f302550ab22beb04d79141fc4076883b6dde62e737fd1b65de
1	1.4	domain_architecture	docs/figures/domain_architecture	png,pdf	5.87	3.82	The domain architecture the two families share	c53ea4e11f8d2f44a25224857aed48700cfc2c79efca7715cf82e76edbd35799
1	1.2	discovery_timeline	docs/figures/discovery_timeline	png,pdf	5.88	3.51	Fifty years of the receptor, as the literature records it	53caee200468dcbd755e29e30b359d9c1fd61d1fae2215b04674fafad02a7bba
2	2.2	review_gene_architecture	docs/figures/gene_architecture	png,pdf	6.40	2.46	Exon counts and genomic spans for the three human paralogues	acf9a89a284d649b5df1deb0882238097d12376ab113333bdcae58eefe025e57
2	2.3	review_taxonomic_range	docs/figures/taxonomic_range	png,pdf	6.51	2.54	What the databases said the family's range was	309bc726a0edc851e38406bd4f45a95107d96c4f430ede435ed2a97c21fb05b8
2	2.4	review_family_separation	docs/figures/family_separation	png,pdf	6.46	2.49	Identity between and within the two families	a5e6f0fe7dc97ccfade2517f3ba6b490e9cd7b48f34368deacfdf90078392ab3
2	2.5	review_conservation	docs/figures/conservation_profile	png,pdf	6.23	4.57	Per-column conservation on human ITPR1 numbering	70be7d033ee38ee91decd50947c010d27c77449ca4a402ce2b05fc813e94dde9
2	2.6	review_alignment_windows	docs/figures/alignment_windows	png,pdf	6.09	3.14	The measured functional sites, in alignment windows	34990e118de96c08b16939cc2889ac13837b696f5f7bc8b7e68807a38fb7bab3
2	2.7	review_regulation	docs/figures/regulation_map	png,pdf	5.59	3.48	The curated regulator map	fd90a862b1159ac8522bdd0de12ad246673baeb3ac141225a5ca41b5b61f4e9d
2	2.1	review_disease	docs/figures/disease_map	png,pdf	5.59	3.47	The curated disease-variant map, by how far each source localises	5b4ebe194b2141bac146a36e5ee2e9b5bde9c40354c0fe2b2f67464630b3d257
3	3.2	census_space	results/census_v2/figures/census_space	png,pdf	6.57	3.10	The enumerated search space, by signature	0ed60bcf89b4c88e855ebc2ec0baa0698fb859073f40b63216c23691868cc4e8
3	3.3	census_lineage	results/census_v2/figures/census_lineage	png,pdf	6.57	4.50	The census by lineage, with both family calls	06d83dfa3076194603529732a2dba9f4b655bccdbc669d5ce76498bd2fb7e205
3	3.4	census_lengths	results/census_v2/figures/census_lengths	png,pdf	6.60	2.80	Length distributions of the two families	49c79fa1dae4c9139ab3b15d47e63636fbe22d51fb516c42210d17504216e55c
