paralog	name	curated	frac_in_ref_columns	bar	kept
ITPR1	ITPR1|Petromyzon_marinus|GCF_048934315.1	False	0.9501	0.7133	True
ITPR1	ITPR1|Chiloscyllium_punctatum|GCF_047496795.1	False	0.9674	0.7133	True
ITPR1	ITPR1|Rhinatrema_bivittatum|GCF_901001135.2	False	0.9708	0.7133	True
ITPR1	ITPR1|Myxine_glutinosa|GCF_964187855.1	False	0.9741	0.7133	True
ITPR1	ITPR1|Sphaerodactylus_townsendi|GCF_021028975.2	False	0.9762	0.7133	True
ITPR1	ITPR1|Somniosus_microcephalus|GCF_052327205.1	False	0.9769	0.7133	True
ITPR1	ITPR1|Gopherus_flavomarginatus|GCF_025201925.1	False	0.9778	0.7133	True
ITPR1	ITPR1|Latimeria_chalumnae|GCF_037176945.1	False	0.9795	0.7133	True
ITPR1	ITPR1|Chloropsis_hardwickii|GCA_013390065.1	False	0.9807	0.7133	True
ITPR1	ITPR1|Anomalopteryx_didiformis|GCA_006937325.1	False	0.9809	0.7133	True
ITPR1	ITPR1|Protopterus_annectens|GCF_019279795.1	False	0.9811	0.7133	True
ITPR1	ITPR1|Nannobrachium_achirus|GCF_963921795.1	False	0.9822	0.7133	True
ITPR1	ITPR1|Channa_argus|GCF_033026475.1	False	0.9823	0.7133	True
ITPR1	ITPR1|Ptilorrhoa_leucosticta|GCA_013396485.1	False	0.9825	0.7133	True
ITPR1	ITPR1|Diretmus_argenteus|GCA_048569125.1	False	0.983	0.7133	True
ITPR1	ITPR1|Takifugu_rubripes|GCF_901000725.3	False	0.983	0.7133	True
ITPR1	ITPR1|Raja_brachyura|GCF_963514005.1	False	0.9831	0.7133	True
ITPR1	ITPR1|Notolepis_coatsorum|GCF_963971535.1	False	0.9836	0.7133	True
ITPR1	ITPR1|Entelurus_aequoreus|GCF_033978785.1	False	0.9837	0.7133	True
ITPR1	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	True	0.9839	0.7133	True
ITPR1	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	True	0.984	0.7133	True
ITPR1	ITPR1|Cervus_elaphus_hippelaphus|GCA_002197005.1	False	0.9847	0.7133	True
ITPR1	ITPR1|Serilophus_lunatus|GCA_013399895.1	False	0.9849	0.7133	True
ITPR1	ITPR1|Muraenolepis_orangiensis|GCA_027704905.1	False	0.9851	0.7133	True
ITPR1	ITPR1|Crypturellus_soui|GCA_032275445.1	False	0.9852	0.7133	True
ITPR1	ITPR1|Chloroceryle_aenea|GCA_013399075.1	False	0.9855	0.7133	True
ITPR1	ITPR1|Polyodon_spathula|GCF_017654505.1	False	0.9855	0.7133	True
ITPR1	ITPR1|Aplochiton_taeniatus|GCA_017639675.1	False	0.9858	0.7133	True
ITPR1	ITPR1|Columbina_picui|GCA_013397635.1	False	0.9859	0.7133	True
ITPR1	ITPR1|Pedionomus_torquatus|GCA_013398155.1	False	0.986	0.7133	True
ITPR1	ITPR1|Genypterus_blacodes|GCF_046128005.1	False	0.9866	0.7133	True
ITPR1	ITPR1|Alligator_mississippiensis|GCF_030867095.1	False	0.9867	0.7133	True
ITPR1	ITPR1|Struthio_camelus|GCF_040807025.1	False	0.9871	0.7133	True
ITPR1	ITPR1|Certhia_familiaris|GCA_013398575.1	False	0.9873	0.7133	True
ITPR1	ITPR1|Polymixia_lowei|GCA_047511595.1	False	0.9873	0.7133	True
ITPR1	ITPR1|Megalops_cyprinoides|GCF_013368585.1	False	0.9873	0.7133	True
