accession	contig	frac
GCA_002269645.1	NIVC01003111.1	0.0
GCF_000186865.1	NW_008705561.1	0.0376
GCF_020536995.1	NC_068359.1	0.0
GCF_041260155.1	NC_091946.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_963678975.1	NC_089278.1	0.0
GCF_964194025.1	NC_134474.1	0.0
GCF_978046115.1	NC_140641.1	0.0
