cell	vclass	n_loci	n_genomes	n_exons_median	n_exons_p10	n_exons_p90	n_exons_min	n_exons_max	cds_bp_median	cds_bp_p10	cds_bp_p90	cds_bp_min	cds_bp_max	span_bp_median	span_bp_p10	span_bp_p90	span_bp_min	span_bp_max	median_intron_bp_median	median_intron_bp_p10	median_intron_bp_p90	median_intron_bp_min	median_intron_bp_max	max_intron_bp_median	max_intron_bp_p10	max_intron_bp_p90	max_intron_bp_min	max_intron_bp_max	mean_exon_bp_median	mean_exon_bp_p10	mean_exon_bp_p90	mean_exon_bp_min	mean_exon_bp_max	total_intron_bp_median	total_intron_bp_p10	total_intron_bp_p90	total_intron_bp_min	total_intron_bp_max
ITPR1	Actinopteri	153	78	58	57.2	58	43	63	8220	8166	8280	7601	8369	93058	60284.8	164941	28317	510366	556	288	1135.4	137.5	4730.5	12107	7552.4	25802.4	1682	83954	141.7	140.7	143.6	130.1	176.8	84835	52113.2	156746	20170	502202
ITPR1	Amphibia	7	7	58	53.6	59.8	50	61	8193	7894.2	8262.6	7842	8268	152713	75229.8	809675	65019	1.39551e+06	455	396.1	4719.2	385	9225.5	50703	9451	152879	6814	209131	141.2	138	147.7	134.9	156.8	144784	67024.8	801412	56787	1.38724e+06
ITPR1	Aves	51	51	62	62	62	61	63	8337	8337	8337	8313	8346	170880	155945	175823	145519	185681	1338	1069	1362	1012	1383	31730	27822	33523	21451	34314	134.5	134.5	134.5	132.3	136.3	162543	147608	167486	137179	177368
ITPR1	Chondrichthyes	12	12	59	58.1	59	58	60	8280	8261.4	8291.1	8259	8358	513004	436824	565723	131393	727000	3010	2174.4	3521.8	1000	3717.5	115644	94022.8	139426	22743	156333	140.3	140	142.3	138.2	142.8	504734	428474	557462	123101	718720
ITPR1	Cladistia	1	1	58	58	58	58	58	8199	8199	8199	8199	8199	151865	151865	151865	151865	151865	1387	1387	1387	1387	1387	19154	19154	19154	19154	19154	141.4	141.4	141.4	141.4	141.4	143666	143666	143666	143666	143666
ITPR1	Coelacanthimorpha	1	1	62	62	62	62	62	8191	8191	8191	8191	8191	208715	208715	208715	208715	208715	1740	1740	1740	1740	1740	40281	40281	40281	40281	40281	132.1	132.1	132.1	132.1	132.1	200524	200524	200524	200524	200524
ITPR1	Crocodylia	1	1	61	61	61	61	61	8352	8352	8352	8352	8352	203055	203055	203055	203055	203055	1571	1571	1571	1571	1571	42888	42888	42888	42888	42888	136.9	136.9	136.9	136.9	136.9	194703	194703	194703	194703	194703
ITPR1	Dipnoi	1	1	56	56	56	56	56	8262	8262	8262	8262	8262	2.30083e+06	2.30083e+06	2.30083e+06	2.30083e+06	2.30083e+06	29794	29794	29794	29794	29794	309641	309641	309641	309641	309641	147.5	147.5	147.5	147.5	147.5	2.29256e+06	2.29256e+06	2.29256e+06	2.29256e+06	2.29256e+06
ITPR1	Hyperoartia	3	1	55	54.2	56.6	54	57	8328	8246.4	8446.4	8226	8476	138019	132535	245723	131164	272649	1297.5	900.3	1474.3	801	1518.5	48798	18482.8	53764.4	10904	55006	152.3	147.4	153.8	146.1	154.1	129691	124289	237277	122938	264173
ITPR1	Lepidosauria	3	3	56	53.6	57.6	53	58	8211	8036.6	8247	7993	8256	237997	194606	270303	183758	278379	1896.5	1450.5	2205.7	1339	2283	44373	40078.6	62689	39005	67268	142.7	142.4	152.5	142.3	154.9	229786	186569	262056	175765	270123
