group	accession	species	clade	length	protein_name
fungi	A0A433P6E3	Jimgerdemannia flammicorona	Mucoromycota	260	Uncharacterized protein (Fragment)
fungi	G8BQA4	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5)	Ascomycota	756	Dolichyl-phosphate-mannose--protein mannosyltransferase
fungi	H2AW46	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)	Ascomycota	759	Dolichyl-phosphate-mannose--protein mannosyltransferase
viridiplantae	A0A150FXB1	Gonium pectorale	Chlorophyta	1735	Uncharacterized protein
viridiplantae	A0A2J7ZQW2	Tetrabaena socialis	Chlorophyta	450	Uncharacterized protein
viridiplantae	A0A8J4D7B9	Volvox reticuliferus	Chlorophyta	142	Uncharacterized protein (Fragment)
viridiplantae	A0AAE0F7T8	Cymbomonas tetramitiformis	Chlorophyta	114	Uncharacterized protein (Fragment)
viridiplantae	A0AAE0F895	Cymbomonas tetramitiformis	Chlorophyta	324	MIR domain-containing protein (Fragment)
viridiplantae	A0AAE0G568	Cymbomonas tetramitiformis	Chlorophyta	300	RyR/IP3R Homology associated domain-containing protein (Fragment)
