panel	accession	organism	vclass	cell	full_found	full_coverage	full_bait	panel_found	panel_coverage	panel_bait	direction	full_coverage_distance_from_bar
basal_only	GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	1	0.8239	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.1239
drop_ITPR3_baits	GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	0	0.387	A0A672UP22|ITPR2|Strigops_habroptila	1	0.8212	A0ABM1LG32|ITPR2|Gekko_japonicus	gain	0.313
drop_ITPR3_baits	GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	1	0.8239	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.1239
basal_only	GCA_000699945.1	Cathartes aura	Aves	ITPR3	1	0.7477	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.0477
drop_ITPR3_baits	GCA_000699945.1	Cathartes aura	Aves	ITPR2	0	0.3752	A0A672UP22|ITPR2|Strigops_habroptila	1	0.7456	Q14571|ITPR2|Homo_sapiens|ITPR2	gain	0.3248
drop_ITPR3_baits	GCA_000699945.1	Cathartes aura	Aves	ITPR3	1	0.7477	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.0477
basal_only	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	1	1.0	Q14643|ITPR1|Homo_sapiens|ITPR1	0	0.0		loss	0.3
basal_only	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	0	0.0		loss	0.3
basal_only	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	1	0.9974	Q92736|RYR2|Homo_sapiens|RYR2	0	0.0		loss	0.2974
no_ryr_control	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	1	0.9974	Q92736|RYR2|Homo_sapiens|RYR2	0	0.0		loss	0.2974
drop_ITPR1_baits	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	1	1.0	Q14643|ITPR1|Homo_sapiens|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	1	1.0	Q14571|ITPR2|Homo_sapiens|ITPR2	0	0.0		loss	0.3
basal_only	GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	1	0.9801	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2801
basal_only	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	0	0.0		1	0.9104	A0ABM1LG32|ITPR2|Gekko_japonicus	gain	0.7
drop_ITPR3_baits	GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	1	0.9801	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2801
basal_only	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	1	0.9975	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2975
basal_only	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	1	1.0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.3
basal_only	GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
