species	band	family	symbol	gene_id	seq_region	genome_bp	span_bp	n_exons_canonical	n_coding_transcripts	median_intron_canonical	max_intron_canonical	max_intron_any_transcript	intron_per_gbp
anolis_carolinensis	reptilia	ITPR	ITPR1	ENSACAG00000009987	2	1799143587	259389	57	10	1775	26160	38459	21376.3
gallus_gallus	aves	ITPR	ITPR1	ENSGALG00010021688	12	1053332251	150741	62	6	1236	21451	21451	20364.9
homo_sapiens	mammalia	ITPR	ITPR1	ENSG00000150995	3	3099750718	354174	62	22	2209	106668	152216	49105.9
latimeria_chalumnae	sarcopterygian_fish	ITPR	ITPR1	ENSLACG00000003176	JH128555.1	2860591921	212972	68	1	1517	44199	44199	15451.0
mus_musculus	mammalia	ITPR	ITPR1	ENSMUSG00000030102	6	2728222451	338023	62	6	2235	98172	98172	35983.9
oryzias_latipes	actinopteri	ITPR	ITPR1	ENSORLG00000012718	5	734057086	107145	58	1	288	15290	15290	20829.4
taeniopygia_guttata	aves	ITPR	ITPR1	ENSTGUG00000010241	12	1057995280	159759	61	2	1042	28499	28499	26936.8
xenopus_tropicalis	amphibia	ITPR	ITPR1	ENSXETG00000005153	4	1451301209	96863	62	4	480	28532	30590	21077.6
anolis_carolinensis	reptilia	ITPR	ITPR2	ENSACAG00000011690	5	1799143587	269403	57	10	2103	37153	48853	27153.5
callorhinchus_milii	chondrichthyes	ITPR	ITPR2	ENSCMIG00000012787	KI636089.1	974498586	89053	56	10	660	18059	18059	18531.6
danio_rerio	actinopteri	ITPR	ITPR2	ENSDARG00000011909	18	1373471384	104895	42	2	1199	28285	28285	20593.8
gallus_gallus	aves	ITPR	ITPR2	ENSGALG00010014477	1	1053332251	261808	57	4	1592	39008	39008	37032.9
homo_sapiens	mammalia	ITPR	ITPR2	ENSG00000123104	12	3099750718	497888	57	5	3676	64391	64391	20773.0
latimeria_chalumnae	sarcopterygian_fish	ITPR	ITPR2	ENSLACG00000009907	JH127283.1	2860591921	221482	57	1	2170	51120	51120	17870.4
mus_musculus	mammalia	ITPR	ITPR2	ENSMUSG00000030287	6	2728222451	393925	57	7	2789	50279	50279	18429.2
oryzias_latipes	actinopteri	ITPR	ITPR2	ENSORLG00000011375	6	734057086	38035	33	1	141	11176	11176	15225.0
taeniopygia_guttata	aves	ITPR	ITPR2	ENSTGUG00000012196	1A	1057995280	240515	57	4	1516	34205	34205	32330.0
xenopus_tropicalis	amphibia	ITPR	ITPR2	ENSXETG00000016448	3	1451301209	123991	57	6	677	16776	19517	13447.9
