group	seed_tag	accession	round	new_targets	n_included	n_own	n_sister	n_offfamily	sister_frac	sister_rise	growth	converged	verdict	kill_rule
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	1	1952	1952	1081	635	236	0.3253	0.0		False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	2	407	2358	1174	807	377	0.3422	0.0169	1.21	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	3	188	2541	1188	925	428	0.364	0.0387	1.08	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	4	50	2585	1188	941	456	0.364	0.0387	1.02	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	5	69	2646	1194	971	481	0.367	0.0417	1.02	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	6	73	2716	1194	982	540	0.3616	0.0363	1.03	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	7	70	2786	1194	991	601	0.3557	0.0304	1.03	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	8	42	2828	1194	1001	633	0.354	0.0287	1.02	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	9	62	2888	1194	1004	690	0.3476	0.0223	1.02	False	killed	K3
metazoa_nonvert	s20_metazoa_nonvert	A0AAV1LM52	10	34	2921	1194	1005	722	0.3441	0.0188	1.01	False	killed	K3
fungi	s20_fungi	A0ABR2W6A1	1	39	39	33	0	6	0.0	0.0		False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	2	3	42	33	0	9	0.0	0.0	1.08	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	3	1400	1442	33	0	1409	0.0	0.0	34.33	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	4	3990	5432	35	0	5397	0.0	0.0	3.77	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	5	533	5964	35	0	5929	0.0	0.0	1.1	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	6	265	6229	35	0	6194	0.0	0.0	1.04	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	7	59	6282	35	0	6247	0.0	0.0	1.01	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	8	8	6289	35	0	6254	0.0	0.0	1.0	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	9	9	6297	35	0	6262	0.0	0.0	1.0	False	killed	K2
fungi	s20_fungi	A0ABR2W6A1	10	5	6302	35	0	6267	0.0	0.0	1.0	False	killed	K2
viridiplantae	s20_viridiplantae	A0AAE0LDZ1	1	56	56	49	0	7	0.0	0.0		True	clean	
viridiplantae	s20_viridiplantae	A0AAE0LDZ1	2	12	68	54	0	14	0.0	0.0	1.21	True	clean	
viridiplantae	s20_viridiplantae	A0AAE0LDZ1	3	1	69	54	0	15	0.0	0.0	1.01	True	clean	
viridiplantae	s20_viridiplantae	A0AAE0LDZ1	4	1	70	54	0	16	0.0	0.0	1.01	True	clean	
viridiplantae	s20_viridiplantae	A0AAE0LDZ1	5	0	70	54	0	16	0.0	0.0	1.0	True	clean	
protista_other	s20_protista_other	A0A0D2UGF9	1	721	721	686	2	33	0.0028	0.0		False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	2	182	903	728	2	173	0.0022	-0.0006	1.25	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	3	1096	1995	729	2	1264	0.001	-0.0018	2.21	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	4	4356	6351	729	42	5580	0.0066	0.0038	3.18	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	5	1449	7796	729	43	7024	0.0055	0.0027	1.23	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	6	553	8346	729	43	7574	0.0052	0.0024	1.07	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	7	559	8894	729	43	8122	0.0048	0.002	1.07	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	8	7657	16530	729	43	15758	0.0026	-0.0002	1.86	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	9	6364	22248	729	43	21476	0.0019	-0.0009	1.35	False	killed	K3
protista_other	s20_protista_other	A0A0D2UGF9	10	4767	26148	729	43	25376	0.0016	-0.0012	1.18	False	killed	K3
