Proteome Id	Organism	Organism Id	Protein count
UP000000242	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	399549	2256
UP000000254	Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1)	399550	1570
UP000000262	Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125)	453591	1434
UP000000345	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	79929	1756
UP000000346	Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)	666510	1499
UP000000365	Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)	410358	1739
UP000000391	Methanohalobium evestigatum (strain ATCC BAA-1072 / DSM 3721 / NBRC 107634 / OCM 161 / Z-7303)	644295	2250
UP000000536	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	69014	2301
UP000000554	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	64091	2427
UP000000578	Nanoarchaeum equitans (strain Kin4-M)	228908	536
UP000000590	Methanococcus maripaludis (strain DSM 14266 / JCM 13030 / NBRC 101832 / S2 / LL)	267377	1722
UP000000595	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	192952	3303
UP000000641	Thermofilum pendens (strain DSM 2475 / Hrk 5)	368408	1876
UP000000663	Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50)	351160	3071
UP000000674	Methanothrix thermoacetophila (strain DSM 6194 / JCM 14653 / NBRC 101360 / PT) (Methanosaeta thermophila)	349307	1673
UP000000740	Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34)	416348	3495
UP000000752	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	70601	2077
UP000000758	Cenarchaeum symbiosum (strain A)	414004	2022
UP000000792	Nitrosopumilus maritimus (strain SCM1)	436308	1795
UP000000805	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	243232	1786
UP000000810	Pyrococcus abyssi (strain GE5 / Orsay)	272844	1788
UP000001013	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	186497	2044
UP000001015	Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii)	273063	2805
UP000001017	Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1)	273116	1523
UP000001018	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	330779	2223
UP000001024	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	273075	1482
UP000001037	Pyrolobus fumarii (strain DSM 11204 / 1A)	694429	1967
UP000001059	Methanohalophilus mahii (strain ATCC 35705 / DSM 5219 / SLP)	547558	1986
UP000001068	Desulfurococcus mucosus (strain ATCC 35584 / DSM 2162 / JCM 9187 / O7/1)	765177	1345
UP000001106	Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3)	419665	1490
UP000001107	Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB)	406327	1661
UP000001137	Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167)	397948	1962
UP000001169	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) (Halobacterium marismortui)	272569	4235
UP000001304	Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)	583356	1929
UP000001400	Aciduliprofundum boonei (strain DSM 19572 / T469)	439481	1539
UP000001431	Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1)	410359	2151
UP000001488	Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3)	593117	2157
UP000001495	Methanocaldococcus fervens (strain DSM 4213 / JCM 15782 / AG86) (Methanococcus fervens)	573064	1581
UP000001686	Korarchaeum cryptofilum (strain OPF8)	374847	1602
UP000001694	Pyrobaculum neutrophilum (strain DSM 2338 / JCM 9278 / NBRC 100436 / V24Sta) (Thermoproteus neutrophilus)	444157	1965
UP000001746	Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei)	485914	3343
UP000001826	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	190192	1687
UP000001879	Natrialba magadii (strain ATCC 43099 / DSM 3394 / CCM 3739 / CIP 104546 / IAM 13178 / JCM 8861 / NBRC 102185 / NCIMB 2190 / MS3) (Natronobacterium magadii)	547559	4203
UP000001882	Methanocella paludicola (strain DSM 17711 / JCM 13418 / NBRC 101707 / SANAE)	304371	2993
UP000001901	Archaeoglobus profundus (strain DSM 5631 / JCM 9629 / NBRC 100127 / Av18)	572546	1822
UP000001903	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k) (Halococcus turkmenicus)	543526	5113
UP000001931	Methanosphaera stadtmanae (strain ATCC 43021 / DSM 3091 / JCM 11832 / MCB-3)	339860	1533
UP000001941	Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1)	323259	3087
UP000001974	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	273057	2938
UP000001975	Haloquadratum walsbyi (strain DSM 16790 / HBSQ001)	362976	2558
UP000001979	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	259564	2242
UP000001992	Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS)	420247	1783
UP000002061	Methanocaldococcus infernus (strain DSM 11812 / JCM 15783 / ME)	573063	1439
UP000002063	Methanocaldococcus vulcanius (strain ATCC 700851 / DSM 12094 / M7) (Methanococcus vulcanius)	579137	1740
UP000002071	Halorhabdus utahensis (strain DSM 12940 / JCM 11049 / AX-2)	519442	2998
UP000002146	Methanoculleus marisnigri (strain ATCC 35101 / DSM 1498 / JR1)	368407	2476
UP000002199	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	224325	2394
UP000002315	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	523846	1283
UP000002376	Thermosphaera aggregans (strain DSM 11486 / M11TL)	633148	1387
UP000002408	Methanoregula boonei (strain DSM 21154 / JCM 14090 / 6A8)	456442	2450
UP000002439	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)	178306	2590
UP000002457	Methanosphaerula palustris (strain ATCC BAA-1556 / DSM 19958 / E1-9c)	521011	2655
UP000002487	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	188937	4468
