species	organism	accession	cell	role	junction_index	intron_class	annotated	splice_class	probe_len	deposit_status	deposit_hits	deposit_spanning	deposit_spanning_anchor_only	deposit_best_identity	deposit_best_subject	control_hits	control_spanning
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	57	unannotated	0	canonical	177	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	56	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	55	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	54	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	53	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	52	unannotated	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	51	model_to_gap	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	7	model_to_gap	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	6	model_to_gap	0	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	50	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	49	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	48	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	47	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	46	within_one_model	1	canonical	180	cached	0	0	0			2	0
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1	failed	45	within_one_model	1	canonical	180	cached	0	0	0			2	0
