accession	organism	vclass	vorder	contig_spans_gene	ITPR1_copies	ITPR2_copies	ITPR3_copies	ITPR_copies	RYR_copies	ITPR_intact	RYR_intact
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	0	0	0	1	1	0	1	0
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	0	0	0	1	1	0	1	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	0	1	1	0	2	3	2	3
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	0	0	0	1	1	2	1	2
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	0	0	0	1	1	0	1	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	0	1	1	1	3	3	3	2
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	0	1	1	1	3	1	3	1
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	0	1	1	1	3	2	3	2
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	0	1	1	1	3	3	3	3
GCA_008658365.1	Alca torda	Aves	Charadriiformes	1	1	1	1	3	2	1	2
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	1	1	1	1	3	2	3	2
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	1	1	1	1	3	2	3	2
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	1	1	1	1	3	3	3	3
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	2	1	1	4	6	2	1
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	0	1	1	0	2	2	2	2
GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	0	1	0	0	1	2	1	2
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	0	0	0	1	1	1	1	1
GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	0	1	1	1	3	0	3	0
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	0	0	0	1	1	0	1	0
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	0	1	1	1	3	2	3	2
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	0	1	1	1	3	2	3	2
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	0	1	1	1	3	0	3	0
GCA_013396975.1	Bucco capensis	Aves	Piciformes	0	1	0	1	2	1	2	1
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	0	0	1	1	2	2	2	2
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	0	1	1	1	3	1	3	1
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	0	1	1	0	2	2	2	2
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	0	1	1	1	3	1	3	1
GCA_013397635.1	Columbina picui	Aves	Columbiformes	0	1	1	0	2	2	2	2
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	0	1	1	1	3	2	3	2
GCA_013398155.1	Pedionomus torquatus	Aves	Charadriiformes	0	1	1	1	3	1	3	1
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	1	1	1	1	3	2	3	2
GCA_013398575.1	Certhia familiaris	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	0	1	1	0	2	2	2	2
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013398935.1	Ceuthmochares aereus	Aves	Cuculiformes	0	1	1	0	2	2	2	2
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013399075.1	Chloroceryle aenea	Aves	Coraciiformes	0	1	1	1	3	1	3	1
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	0	1	1	1	3	2	3	2
GCA_013399395.1	Nyctiprogne leucopyga	Aves	Caprimulgiformes	0	1	1	1	3	0	3	0
GCA_013399455.1	Anthoscopus minutus	Aves	Passeriformes	0	1	1	1	3	1	3	1
