accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	group
A0A0K9Z1H9	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	35.2	35.2	1.0		5.7e-07	5.7e-07	0.0	0.026	0	128	0.147	822	BRE01_17970	Brevibacillus reuszeri	54915	0	B30.2/SPRY domain-containing protein	bacteria_genus
A0A0P8YT23	unassigned	none	module	ryr.hmm matched only 143 profile positions (< 200) — a shared module, not a family assignment	0.0	33.9	33.9	1.0		1.4e-06	1.4e-06	0.0	0.029	0	143	0.174	860	OXPF_35890	Oxobacter pfennigii	36849	0	RyR domain protein	bacteria_genus
A0A1M6JYJ3	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	36.5	36.5	1.0		2.3e-07	2.3e-07	0.0	0.014	0	69	0.12	567	SAMN02745691_02088	Parasporobacterium paucivorans DSM 15970	1122934	0	RyR domain-containing protein	bacteria_genus
A0A1M6JYS0	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	104.8	104.8	1.0		6.4e-28	6.4e-28	0.0	0.018	0	89	0.968	93	SAMN02745691_02089	Parasporobacterium paucivorans DSM 15970	1122934	0	RyR domain-containing protein	bacteria_genus
A0A1T4S0J8	unassigned	none	module	ryr.hmm matched only 143 profile positions (< 200) — a shared module, not a family assignment	0.0	42.3	42.3	1.0		4.3e-09	4.3e-09	0.0	0.029	0	143	0.183	783	SAMN02745126_04245	Enhydrobacter aerosaccus	225324	0	RyR domain-containing protein	bacteria_genus
A0A1Y3XYI8	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	32.6	32.6	1.0		3.4e-06	3.4e-06	0.0	0.014	0	69	0.133	512	B5G02_02505	[Collinsella] massiliensis	1232426	0	Protein kinase domain-containing protein	bacteria_genus
A0A1Y6CYG0	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	101.8	101.8	1.0		5e-27	5e-27	0.0	0.019	0	94	0.979	94	SAMN02949497_3082	Methylomagnum ishizawai	1760988	0	RyR domain-containing protein	bacteria_genus
A0A1Z3HTW6	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	63.3	63.3	1.0		2e-15	2e-15	0.0	0.019	0	94	0.123	746	XM38_047160	Halomicronema hongdechloris C2206	1641165	0	Guanylate cyclase domain-containing protein	bacteria_genus
A0A225E4Z5	unassigned	none	module	ryr.hmm matched only 79 profile positions (< 200) — a shared module, not a family assignment	0.0	87.3	87.3	1.0		1.1e-22	1.1e-22	0.0	0.016	0	79	0.952	83	FRUB_03354	Fimbriiglobus ruber	1908690	0	Putative ryanodine receptor	bacteria_genus
A0A239FMM3	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	31.7	31.7	1.0		6.4e-06	6.4e-06	0.0	0.012	0	59	0.517	116	SAMN05421642_103372	Rhodococcoides kyotonense	398843	0	RyR domain-containing protein	bacteria_genus
A0A2T0S7M1	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	36.1	36.1	1.0		3.1e-07	3.1e-07	0.0	0.026	0	128	0.21	596	CLV70_10620	Pseudosporangium ferrugineum	439699	0	TrkA family protein	bacteria_genus
A0A2V3ZXE3	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	74.4	74.4	1.0		8.9e-19	8.9e-19	0.0	0.015	0	74	0.864	88	DF185_13585	Marinifilum breve	2184082	0	Ryanodine receptor Ryr	bacteria_genus
A0A316EBE7	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	37.5	37.5	1.0		1.2e-07	1.2e-07	0.0	0.009	0	44	0.395	114	LV89_01816	Arcicella aurantiaca	591202	0	RyR domain-containing protein	bacteria_genus
A0A317CGD3	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	98.6	98.6	1.0		4.7e-26	4.7e-26	0.0	0.019	0	94	0.941	102	DKW60_10430	Leucothrix pacifica	1247513	0	Ryanodine receptor Ryr	bacteria_genus
A0A323UR12	unassigned	none	module	ryr.hmm matched only 79 profile positions (< 200) — a shared module, not a family assignment	0.0	35.1	35.1	1.0		6.3e-07	6.3e-07	0.0	0.016	0	79	0.279	272	DNK49_19055	Parazoarcus communis SWub3 = DSM 12120	1121029	0	Ryanodine receptor Ryr domain-containing protein	bacteria_genus
A0A3L7E116	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	83.6	83.6	1.0		1.5e-21	1.5e-21	0.0	0.019	0	94	0.237	401	DWB85_06490	Seongchinamella sediminis	2283635	0	Protein kinase domain-containing protein	bacteria_genus
A0A3M7TP65	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	96.6	96.6	1.0		1.8e-25	1.8e-25	0.0	0.019	0	94	0.968	95	EBO34_17800	Alteribacter keqinensis	2483800	0	Ryanodine receptor Ryr	bacteria_genus
A0A3N6NJE3	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	96.0	96.0	1.0		2.8e-25	2.8e-25	0.0	0.025	0	123	0.162	755	D5R40_09930	Okeania hirsuta	1458930	0	DUF4071 domain-containing protein	bacteria_genus
A0A402D5M6	unassigned	none	module	ryr.hmm matched only 44 profile positions (< 200) — a shared module, not a family assignment	0.0	37.1	37.1	1.0		1.6e-07	1.6e-07	0.0	0.009	0	44	0.208	221	CCAX7_54950	Capsulimonas corticalis	2219043	0	Uncharacterized protein	bacteria_genus
A0A4P7VGW9	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	112.0	112.0	1.0		4.1e-30	4.1e-30	0.0	0.019	0	94	0.979	94	E7746_03090	Muribaculum gordoncarteri	2530390	0	Ryanodine receptor Ryr	bacteria_genus
A0A4Q7L2Y2	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	33.5	33.5	1.0		1.9e-06	1.9e-06	0.0	0.012	0	59	0.822	73	EV193_102504	Herbihabitans rhizosphaerae	1872711	0	EF hand domain-containing protein	bacteria_genus
A0A501XII9	unassigned	none	module	ryr.hmm matched only 79 profile positions (< 200) — a shared module, not a family assignment	0.0	40.1	40.1	1.0		2e-08	2e-08	0.0	0.016	0	79	0.128	639	FJQ54_11975	Sandaracinobacter neustonicus	1715348	0	Ryanodine receptor Ryr domain-containing protein	bacteria_genus
A0A517XWI9	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	34.3	34.3	1.0		1.1e-06	1.1e-06	0.0	0.011	0	54	0.466	118	ETAA1_38450	Urbifossiella limnaea	2528023	0	RyR domain protein	bacteria_genus
A0A517XZX4	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	91.0	91.0	1.0		9.2e-24	9.2e-24	0.0	0.019	0	94	0.949	98	ETAA1_50230	Urbifossiella limnaea	2528023	0	RyR domain protein	bacteria_genus
A0A517ZAU2	unassigned	none	module	ryr.hmm matched only 148 profile positions (< 200) — a shared module, not a family assignment	0.0	57.9	57.9	1.0		8.2e-14	8.2e-14	0.0	0.03	0	148	0.171	864	Mal4_39710	Maioricimonas rarisocia	2528026	0	RyR domain protein	bacteria_genus
A0A543I0Z8	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	35.7	35.7	1.0		4e-07	4e-07	0.0	0.014	0	69	0.075	915	FBY41_0624	Humibacillus xanthopallidus	412689	0	ATPase family protein associated with various cellular activities (AAA)	bacteria_genus
A0A5C5XKI2	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	104.3	104.3	1.0		8.6e-28	8.6e-28	0.0	0.019	0	94	0.979	94	Pan54_44950	Rubinisphaera italica	2527969	0	RyR domain protein	bacteria_genus
A0A6C2UAK4	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	66.2	66.2	1.0		2.6e-16	2.6e-16	0.0	0.015	0	74	0.88	83	PDESU_05747	Pontiella desulfatans	2750659	0	Ryanodine receptor Ryr domain-containing protein	bacteria_genus
A0A6C2UD68	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	32.5	32.5	1.0		3.7e-06	3.7e-06	0.0	0.026	0	128	0.2	624	PDESU_05751	Pontiella desulfatans	2750659	0	Ryanodine receptor Ryr domain-containing protein	bacteria_genus
