accession	organism	vclass	cell	ledger_status	state	rule	reason	best_coverage	contig_n50	contig_spans_gene	control_ok	n_spare_itpr_loci	recon_coverage	recon_gene_equiv	recon_n_contigs	synteny_state	synteny_call	synteny_n_regions	synteny_n_keys	synteny_reason
GCA_980438365.1	Acanthurus tractus	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	31041855	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_980438365.1	Acanthurus tractus	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	31041855	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_980438365.1	Acanthurus tractus	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	31041855	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR1	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	36502201	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR2	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	36502201	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR3	found_no_annotation	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	36502201	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	17514905	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR2	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	17514905	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR3	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	17514905	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR1	found_annotated	present_single_locus	R1	one locus at coverage 1.00 >= 0.7	1	2000165	1	1	1	0	0	0	not_asked		0	0	the aligner placed this gene; synteny was not asked to
