species	paralog	n_gene_tree_tips	gene_tree_tips	s5_ledger_status	verdict	n_tree_unplaced_tips	n_ledger_itpr_loci	n_spare_loci
Apteryx mantelli	ITPR1	1	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	found_annotated	sampled_in_gene_tree	0	3	0
Apteryx mantelli	ITPR2	0		found_annotated	sampling_artefact	0	3	0
Apteryx mantelli	ITPR3	0		found_annotated	sampling_artefact	0	3	0
Astatotilapia calliptera	ITPR1	0			no_genome_in_manifest	0		
Astatotilapia calliptera	ITPR2	1	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1		sampled_in_gene_tree	0		
Astatotilapia calliptera	ITPR3	0			no_genome_in_manifest	0		
Athene cunicularia	ITPR1	0			no_genome_in_manifest	0		
Athene cunicularia	ITPR2	0			no_genome_in_manifest	0		
Athene cunicularia	ITPR3	1	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9		sampled_in_gene_tree	0		
Bos taurus	ITPR1	1	ITPR1_Bos_taurus_Bovine_Q9TU34		sampled_in_gene_tree	0		
Bos taurus	ITPR2	0			no_genome_in_manifest	0		
Bos taurus	ITPR3	0			no_genome_in_manifest	0		
Callorhinchus milii	ITPR1	2	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0;vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	found_annotated	sampled_in_gene_tree	0	3	0
Callorhinchus milii	ITPR2	1	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	found_annotated	sampled_in_gene_tree	0	3	0
Callorhinchus milii	ITPR3	1	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	found_annotated	sampled_in_gene_tree	0	3	0
Chanos chanos	ITPR1	2	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0;ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	found_annotated	sampled_in_gene_tree	0	4	1
Chanos chanos	ITPR2	0		found_annotated	sampling_artefact	0	4	1
Chanos chanos	ITPR3	0		found_annotated	sampling_artefact	0	4	1
Chiloscyllium punctatum	ITPR1	1	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	found_annotated	sampled_in_gene_tree	0	3	0
