group	window_n	locus_note	contig	start	end	strand	symbol	ensembl_gene	map_status	index_in_window
ITPR1	10	ITPR1	NC_000003.12	196763	409417	+	CHL1	ENSG00000134121	mapped	0
ITPR1	10	ITPR1	NC_000003.12	1093024	1404217	+	CNTN6	ENSG00000134115	mapped	1
ITPR1	10	ITPR1	NC_000003.12	2098866	3057959	+	CNTN4	ENSG00000144619	mapped	2
ITPR1	10	ITPR1	NC_000003.12	3066324	3110374	-	IL5RA	ENSG00000091181	mapped	3
ITPR1	10	ITPR1	NC_000003.12	3126940	3153435	+	TRNT1	ENSG00000072756	mapped	4
ITPR1	10	ITPR1	NC_000003.12	3149633	3179717	-	CRBN	ENSG00000113851	mapped	5
ITPR1	10	ITPR1	NC_000003.12	3799431	3849834	+	LRRN1	ENSG00000175928	mapped	6
ITPR1	10	ITPR1	NC_000003.12	4034486	4467269	-	SUMF1	ENSG00000144455	mapped	7
ITPR1	10	ITPR1	NC_000003.12	4303369	4317265	+	SETMAR	ENSG00000170364	mapped	8
ITPR1	10	ITPR1	NC_000003.12	4979437	4985323	+	BHLHE40	ENSG00000134107	mapped	9
ITPR1	10	ITPR1	NC_000003.12	5122292	5180911	+	ARL8B	ENSG00000134108	mapped	10
ITPR1	10	ITPR1	NC_000003.12	5187707	5219958	+	EDEM1	ENSG00000134109	mapped	11
ITPR1	10	ITPR1	NC_000003.12	6861115	7741533	+	GRM7	ENSG00000196277	mapped	12
ITPR1	10	ITPR1	NC_000003.12	8501823	8574668	+	LMCD1	ENSG00000071282	mapped	13
ITPR1	10	ITPR1	NC_000003.12	8619386	8681927	-	SSUH2	ENSG00000125046	mapped	14
ITPR1	10	ITPR1	NC_000003.12	8733802	8746758	+	CAV3	ENSG00000182533	mapped	15
ITPR1	10	ITPR1	NC_000003.12	8741269	8769613	-	OXTR	ENSG00000180914	mapped	16
ITPR1	10	ITPR1	NC_000003.12	8877075	8963472	-	RAD18	ENSG00000070950	mapped	17
ITPR1	10	ITPR1	NC_000003.12	8980591	9363027	-	SRGAP3	ENSG00000196220	mapped	18
ITPR2	10	ITPR2	NC_000012.12	24810024	24949340	-	BCAT1	ENSG00000060982	mapped	0
ITPR2	10	ITPR2	NC_000012.12	24901970	24907905	+	LOC124902898		unmapped	1
ITPR2	10	ITPR2	NC_000012.12	24997575	25108335	+	IRAG2	ENSG00000118308	mapped	2
ITPR2	10	ITPR2	NC_000012.12	25107047	25195160	-	DNAI7	ENSG00000118307	mapped	3
ITPR2	10	ITPR2	NC_000012.12	25195237	25205143	+	ETFRF1	ENSG00000205707	mapped	4
ITPR2	10	ITPR2	NC_000012.12	25205246	25250929	-	KRAS	ENSG00000133703	mapped	5
ITPR2	10	ITPR2	NC_000012.12	25476082	25648578	-	LMNTD1	ENSG00000152936	mapped	6
ITPR2	10	ITPR2	NC_000012.12	25958232	26079889	+	RASSF8	ENSG00000123094	mapped	7
ITPR2	10	ITPR2	NC_000012.12	26120030	26125037	-	BHLHE41	ENSG00000123095	mapped	8
ITPR2	10	ITPR2	NC_000012.12	26121991	26234777	+	SSPN	ENSG00000123096	mapped	9
ITPR2	10	ITPR2	NC_000012.12	26905181	26938332	-	INTS13	ENSG00000064102	mapped	10
ITPR2	10	ITPR2	NC_000012.12	26938470	26966648	+	FGFR1OP2	ENSG00000111790	mapped	11
ITPR2	10	ITPR2	NC_000012.12	26971579	27014384	-	TM7SF3	ENSG00000064115	mapped	12
ITPR2	10	ITPR2	NC_000012.12	27022558	27038951	+	MED21	ENSG00000152944	mapped	13
ITPR2	10	ITPR2	NC_000012.12	27081057	27084127	-	C12orf71	ENSG00000214700	mapped	14
ITPR2	10	ITPR2	NC_000012.12	27244286	27325959	+	STK38L	ENSG00000211455	mapped	15
ITPR2	10	ITPR2	NC_000012.12	27332836	27425286	+	BMAL2	ENSG00000029153	mapped	16
ITPR2	10	ITPR2	NC_000012.12	27423316	27502185	+	SMCO2	ENSG00000165935	mapped	17
ITPR2	10	ITPR2	NC_000012.12	27524206	27695564	+	PPFIBP1	ENSG00000110841	mapped	18
ITPR2	10	ITPR2	NC_000012.12	27696447	27697596	+	REP15	ENSG00000174236	mapped	19
ITPR3	10	ITPR3	NC_000006.12	33299694	33314078	-	TAPBP	ENSG00000231925	mapped	0
ITPR3	10	ITPR3	NC_000006.12	33314418	33317942	-	ZBTB22	ENSG00000236104	mapped	1
ITPR3	10	ITPR3	NC_000006.12	33318558	33322959	-	DAXX	ENSG00000204209	mapped	2
ITPR3	10	ITPR3	NC_000006.12	33323628	33329279	-	SMIM40	ENSG00000286920	mapped	3
ITPR3	10	ITPR3	NC_000006.12	33391461	33409896	+	KIFC1	ENSG00000237649	mapped	4
ITPR3	10	ITPR3	NC_000006.12	33410412	33416439	+	PHF1	ENSG00000112511	mapped	5
ITPR3	10	ITPR3	NC_000006.12	33416442	33418107	-	CUTA	ENSG00000112514	mapped	6
ITPR3	10	ITPR3	NC_000006.12	33418167	33453689	+	SYNGAP1	ENSG00000197283	mapped	7
ITPR3	10	ITPR3	NC_000006.12	33453083	33457544	+	ZBTB9	ENSG00000213588	mapped	8
ITPR3	10	ITPR3	NC_000006.12	33572552	33580276	-	BAK1	ENSG00000030110	mapped	9
ITPR3	10	ITPR3	NC_000006.12	33696764	33711700	-	UQCC2	ENSG00000137288	mapped	10
