accession	call	confidence	rule	core	gene	species	taxon_id	group	phylum	class	order	length
L8GF85	ITPR	high	longest per species	1	ACA1_256780	Acanthamoeba castellanii (strain ATCC 30010 / Neff)	1257118	Amoebozoa	Discosea		Longamoebia	3344
F4Q324	ITPR	medium	longest per species	0	iplA	Cavenderia fasciculata (Slime mold) (Dictyostelium fasciculatum)	261658	Amoebozoa	Evosea	Eumycetozoa	Acytosteliales	2843
A0AAN7YWK4	ITPR	medium	longest per species	1	RB653_003929	Dictyostelium firmibasis	79012	Amoebozoa	Evosea	Eumycetozoa	Dictyosteliales	3071
D3AX88	ITPR	medium	longest per species	0	iplA	Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Cellular slime mold) (Polysphondylium pallidum)	670386	Amoebozoa	Evosea	Eumycetozoa	Acytosteliales	2616
A0A2P6NT28	ITPR	medium	longest per species	0	PROFUN_04764	Planoprotostelium fungivorum	1890364	Amoebozoa	Evosea	Variosea	Cavosteliida	2332
A0A8J4VAF2	ITPR	medium	longest per species	0	CYY_001636	Polysphondylium violaceum	133409	Amoebozoa	Evosea	Eumycetozoa	Dictyosteliales	2866
A0A151Z3P6	ITPR	medium	longest per species	0	DLAC_11299	Tieghemostelium lacteum (Slime mold) (Dictyostelium lacteum)	361077	Amoebozoa	Evosea	Eumycetozoa	Dictyosteliales	2929
A0A0S4INB1	ITPR	medium	longest per species	0	BSAL_56455	Bodo saltans (Flagellated protozoan)	75058	Discoba	Euglenozoa	Kinetoplastea	Eubodonida	2655
A0A3S7WTR9	ITPR	medium	longest per species	0	LdCL_160007800	Leishmania donovani	5661	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2874
A0A836KP41	ITPR	medium	longest per species	0	CUR178_05618	Leishmania enriettii	5663	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2901
A4HWS7	ITPR	medium	longest per species	0	LINJ_16_0290	Leishmania infantum	5671	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2874
Q4QEZ2	ITPR	medium	longest per species	0	LMJF_16_0280	Leishmania major	5664	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2874
A0A836HD65	ITPR	medium	longest per species	0	LSCM1_05662	Leishmania martiniquensis	1580590	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2853
E9AQI5	ITPR	medium	longest per species	0	LMXM_16_0280	Leishmania mexicana (strain MHOM/GT/2001/U1103)	929439	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2873
A0A836GHV8	ITPR	medium	longest per species	0	LSCM4_05560	Leishmania orientalis	2249476	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2900
A0A0N0DTZ2	ITPR	medium	longest per species	0	ABB37_06626	Leptomonas pyrrhocoris (Firebug parasite)	157538	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2978
A0A0N0P7Y1	ITPR	medium	longest per species	0	ABL78_1548	Leptomonas seymouri	5684	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2946
A0A6A5C524	ITPR	high	longest per species	0	FDP41_012062	Naegleria fowleri (Brain eating amoeba)	5763	Discoba	Heterolobosea	Eutetramitea	Acrasida	3056
D2VKL2	ITPR	medium	longest per species	0	NAEGRDRAFT_80324	Naegleria gruberi (Amoeba)	5762	Discoba	Heterolobosea	Eutetramitea	Acrasida	2827
A0AA88KEU5	ITPR	high	longest per species	1	C9374_011999	Naegleria lovaniensis (Amoeba)	51637	Discoba	Heterolobosea	Eutetramitea	Acrasida	3074
A0AAW0EUE4	ITPR	medium	longest per species	0	NESM_000719400	Novymonas esmeraldas	1808958	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	2930
Q57XB2	ITPR	medium	longest per species	0	Tb08.26A17.880	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	185431	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	3099
A0A422P9J5	ITPR	medium	longest per species	0	Tco025E_05866	Trypanosoma conorhini	83891	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	3023
K7ZR76	ITPR	medium	longest per species	0		Trypanosoma cruzi	5693	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	3011
Q4DBL7	ITPR	medium	longest per species	0	Tc00.1047053509461.90	Trypanosoma cruzi (strain CL Brener)	353153	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	3011
K2LW12	ITPR	medium	longest per species	0	MOQ_009372	Trypanosoma cruzi marinkellei	85056	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	3014
A0A1G4I324	ITPR	medium	longest per species	0	TEOVI_000592500	Trypanosoma equiperdum	5694	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	3099
A0A1X0NWX8	ITPR	medium	longest per species	1	TM35_000132200	Trypanosoma theileri	67003	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	3141
A0A0D2UGF9	ITPR	high	longest per species	0	CAOG_004826	Capsaspora owczarzaki (strain ATCC 30864)	595528	Eukaryota (other)		Filasterea		3232
A0A0M0J4V2	ITPR	medium	longest per species	1	Ctob_001957	Chrysochromulina tobinii	1460289	Eukaryota (other)	Haptophyta		Prymnesiales	3272
A0A0D3J326	ITPR	medium	longest per species	0		Emiliania huxleyi (strain CCMP1516)	280463	Eukaryota (other)	Haptophyta		Isochrysidales	2712
A0A058ZDJ2	ITPR	high	longest per species	1	H696_01395	Fonticula alba (Slime mold)	691883	Eukaryota (other)			Rotosphaerida	3443
L1JC12	ITPR	medium	longest per species	0		Guillardia theta (strain CCMP2712) (Cryptophyte)	905079	Eukaryota (other)		Cryptophyceae	Pyrenomonadales	3048
A9VBU8	ITPR	medium	longest per species	0	MONBRDRAFT_29689	Monosiga brevicollis (Choanoflagellate)	81824	Eukaryota (other)		Choanoflagellata	Craspedida	2869
