accession	organism	vclass	contig_n50	contig_spans_gene	control_ok	state_ITPR1	state_ITPR2	state_ITPR3	synteny_ITPR1	synteny_ITPR2	synteny_ITPR3
GCA_980438365.1	Acanthurus tractus	Actinopteri	31041855	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_056783665.1	Albula glossodonta	Actinopteri	36502201	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_022829145.1	Albula goreensis	Actinopteri	17514905	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_029706075.1	Aldrovandia affinis	Actinopteri	2000165	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	731605	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	3811240	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_040091285.1	Ameca splendens	Actinopteri	16857	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_036373705.1	Amia ocellicauda	Actinopteri	17465777	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_949987685.1	Ammodytes marinus	Actinopteri	2041615	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_040054535.1	Antennarius striatus	Actinopteri	21047747	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	956540	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_054883375.1	Arapaima gigas	Actinopteri	27159801	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_036250305.1	Ataeniobius toweri	Actinopteri	16136	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCA_043380575.1	Atractosteus spatula	Actinopteri	15716625	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_949987555.1	Borostomias antarcticus	Actinopteri	959230	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_965364685.1	Capros aper	Actinopteri	12853060	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	1500626	1	1	present_single_locus	present_single_locus	present_partial	not_asked	not_asked	not_asked
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	21327470	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_033026475.1	Channa argus	Actinopteri	16561385	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_902362185.1	Chanos chanos	Actinopteri	23134051	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_036250325.1	Characodon lateralis	Actinopteri	18129	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_018320785.1	Cheilinus undulatus	Actinopteri	16477222	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_963514085.1	Chelon labrosus	Actinopteri	2544200	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	3631979	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_033807715.1	Cololabis saira	Actinopteri	8087617	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_963514075.1	Conger conger	Actinopteri	3090688	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_052040795.1	Danio rerio	Actinopteri	59431669	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_054883175.1	Datnioides polota	Actinopteri	16887846	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_048569125.1	Diretmus argenteus	Actinopteri	542425	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	4228958	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	3015437	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_041902795.1	Electrophorus electricus	Actinopteri	22449376	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	1448200	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_033978785.1	Entelurus aequoreus	Actinopteri	2039131	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_011004845.1	Esox lucius	Actinopteri	22630263	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_902167405.1	Gadus morhua	Actinopteri	1015663	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_019740435.1	Gambusia affinis	Actinopteri	12906370	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_046128005.1	Genypterus blacodes	Actinopteri	4774482	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_951799975.1	Gobius niger	Actinopteri	3365000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_040091325.1	Goodea atripinnis	Actinopteri	16062	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_900634775.2	Gouania willdenowi	Actinopteri	1838341	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_900312595.1	Guentherus altivela	Actinopteri	2928	0	1	present_truncated	present_fragmented	present_truncated	not_asked	not_asked	not_asked
GCA_056783565.1	Hiodon alosoides	Actinopteri	15034530	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_029633855.1	Hoplias malabaricus	Actinopteri	3626585	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_054491055.1	Hypomesus nipponensis	Actinopteri	20232928	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_040091305.1	Ilyodon furcidens	Actinopteri	11867	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_029633865.1	Lampris incognitus	Actinopteri	917127	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_033238685.1	Lates japonicus	Actinopteri	285591	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	1446	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_040954835.1	Lepisosteus oculatus	Actinopteri	20019514	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_050084785.1	Liparis tanakae	Actinopteri	1346787	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_056507025.1	Lutjanus erythropterus	Actinopteri	37725332	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_900324485.3	Mastacembelus armatus	Actinopteri	8014513	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_013368585.1	Megalops cyprinoides	Actinopteri	26850664	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_963457635.1	Microchirus variegatus	Actinopteri	2444644	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_021292245.1	Micropterus dolomieu	Actinopteri	46775	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	636888	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_902150065.1	Myripristis murdjan	Actinopteri	14475636	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_963921795.1	Nannobrachium achirus	Actinopteri	1305851	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_963989245.1	Nansenia antarctica	Actinopteri	750607	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_027579695.1	Neoarius graeffei	Actinopteri	14859289	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
